model,project,bug_id,status,log
Claude,Closure,1,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Closure/Closure-1-buggy.log
Claude,Closure,2,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Closure/Closure-2-buggy.log
Claude,Closure,3,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Closure/Closure-3-buggy.log
Claude,Closure,4,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Closure/Closure-4-buggy.log
Claude,Closure,5,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Closure/Closure-5-buggy.log
Claude,Closure,6,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Closure/Closure-6-buggy.log
Claude,Closure,7,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Closure/Closure-7-buggy.log
Claude,Closure,8,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Closure/Closure-8-buggy.log
Claude,Closure,9,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Closure/Closure-9-buggy.log
Claude,Closure,10,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Closure/Closure-10-buggy.log
Claude,Closure,11,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Closure/Closure-11-buggy.log
Claude,Closure,12,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Closure/Closure-12-buggy.log
Claude,Closure,13,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Closure/Closure-13-buggy.log
Claude,Closure,14,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Closure/Closure-14-buggy.log
Claude,Closure,15,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Closure/Closure-15-buggy.log
Claude,Closure,16,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Closure/Closure-16-buggy.log
