model,project,bug_id,status,log
Claude,Jsoup,1,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-1-buggy.log
Claude,Jsoup,2,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-2-buggy.log
Claude,Jsoup,3,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-3-buggy.log
Claude,Jsoup,4,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-4-buggy.log
Claude,Jsoup,5,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-5-buggy.log
Claude,Jsoup,6,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-6-buggy.log
Claude,Jsoup,7,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-7-buggy.log
Claude,Jsoup,8,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-8-buggy.log
Claude,Jsoup,10,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-10-buggy.log
Claude,Jsoup,11,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-11-buggy.log
Claude,Jsoup,12,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-12-buggy.log
Claude,Jsoup,13,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-13-buggy.log
Claude,Jsoup,14,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-14-buggy.log
Claude,Jsoup,15,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-15-buggy.log
Claude,Jsoup,16,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-16-buggy.log
Claude,Jsoup,18,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-18-buggy.log
Claude,Jsoup,19,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-19-buggy.log
Claude,Jsoup,20,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-20-buggy.log
Claude,Jsoup,21,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-21-buggy.log
Claude,Jsoup,22,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-22-buggy.log
Claude,Jsoup,23,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-23-buggy.log
Claude,Jsoup,24,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-24-buggy.log
Claude,Jsoup,26,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-26-buggy.log
Claude,Jsoup,27,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-27-buggy.log
Claude,Jsoup,28,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-28-buggy.log
Claude,Jsoup,29,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/Claude/Jsoup/Jsoup-29-buggy.log
