model,project,bug_id,status,log
DeepSeek,Math,1,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-1-buggy.log
DeepSeek,Math,2,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-2-buggy.log
DeepSeek,Math,3,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-3-buggy.log
DeepSeek,Math,4,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-4-buggy.log
DeepSeek,Math,5,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-5-buggy.log
DeepSeek,Math,6,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-6-buggy.log
DeepSeek,Math,7,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-7-buggy.log
DeepSeek,Math,8,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-8-buggy.log
DeepSeek,Math,9,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-9-buggy.log
DeepSeek,Math,10,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-10-buggy.log
DeepSeek,Math,11,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-11-buggy.log
DeepSeek,Math,13,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-13-buggy.log
DeepSeek,Math,14,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-14-buggy.log
DeepSeek,Math,15,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-15-buggy.log
DeepSeek,Math,16,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-16-buggy.log
DeepSeek,Math,17,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-17-buggy.log
DeepSeek,Math,18,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-18-buggy.log
DeepSeek,Math,19,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-19-buggy.log
DeepSeek,Math,20,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-20-buggy.log
DeepSeek,Math,21,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-21-buggy.log
DeepSeek,Math,22,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-22-buggy.log
DeepSeek,Math,23,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-23-buggy.log
DeepSeek,Math,24,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-24-buggy.log
DeepSeek,Math,25,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-25-buggy.log
DeepSeek,Math,26,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-26-buggy.log
DeepSeek,Math,27,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-27-buggy.log
DeepSeek,Math,28,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-28-buggy.log
DeepSeek,Math,29,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-29-buggy.log
DeepSeek,Math,30,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-30-buggy.log
DeepSeek,Math,31,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-31-buggy.log
DeepSeek,Math,32,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-32-buggy.log
DeepSeek,Math,33,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-33-buggy.log
DeepSeek,Math,34,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Math/Math-34-buggy.log
