model,project,bug_id,status,log
GPT5,Chart,7,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Chart/Chart-7-buggy.log
GPT5,Chart,26,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Chart/Chart-26-buggy.log
GPT5,Cli,2,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Cli/Cli-2-buggy.log
GPT5,Cli,5,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Cli/Cli-5-buggy.log
GPT5,Cli,9,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Cli/Cli-9-buggy.log
GPT5,Cli,21,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Cli/Cli-21-buggy.log
GPT5,Cli,23,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Cli/Cli-23-buggy.log
GPT5,Closure,9,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-9-buggy.log
GPT5,Closure,18,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-18-buggy.log
GPT5,Closure,19,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-19-buggy.log
GPT5,Closure,27,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-27-buggy.log
GPT5,Closure,32,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-32-buggy.log
GPT5,Closure,33,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-33-buggy.log
GPT5,Closure,37,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-37-buggy.log
GPT5,Closure,41,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-41-buggy.log
GPT5,Closure,42,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-42-buggy.log
GPT5,Closure,52,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-52-buggy.log
GPT5,Closure,66,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-66-buggy.log
GPT5,Closure,81,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-81-buggy.log
GPT5,Closure,99,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-99-buggy.log
GPT5,Closure,103,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-103-buggy.log
GPT5,Closure,106,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-106-buggy.log
GPT5,Closure,136,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-136-buggy.log
GPT5,Closure,143,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-143-buggy.log
GPT5,Closure,155,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-155-buggy.log
GPT5,Closure,161,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-161-buggy.log
GPT5,Closure,164,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-164-buggy.log
GPT5,Closure,166,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-166-buggy.log
GPT5,Closure,170,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-170-buggy.log
GPT5,Closure,175,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-175-buggy.log
GPT5,Codec,4,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Codec/Codec-4-buggy.log
GPT5,Codec,18,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Codec/Codec-18-buggy.log
GPT5,Collections,21,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Collections/Collections-21-buggy.log
GPT5,Compress,4,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Compress/Compress-4-buggy.log
GPT5,Compress,7,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Compress/Compress-7-buggy.log
GPT5,Compress,19,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Compress/Compress-19-buggy.log
GPT5,Compress,23,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Compress/Compress-23-buggy.log
GPT5,Gson,5,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Gson/Gson-5-buggy.log
GPT5,Gson,9,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Gson/Gson-9-buggy.log
GPT5,Gson,13,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Gson/Gson-13-buggy.log
GPT5,JacksonCore,6,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonCore/JacksonCore-6-buggy.log
GPT5,JacksonCore,10,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonCore/JacksonCore-10-buggy.log
GPT5,JacksonCore,13,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonCore/JacksonCore-13-buggy.log
GPT5,JacksonCore,16,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonCore/JacksonCore-16-buggy.log
GPT5,JacksonCore,22,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonCore/JacksonCore-22-buggy.log
GPT5,JacksonDatabind,4,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-4-buggy.log
GPT5,JacksonDatabind,6,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-6-buggy.log
GPT5,JacksonDatabind,48,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-48-buggy.log
GPT5,JacksonDatabind,51,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-51-buggy.log
GPT5,JacksonDatabind,80,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-80-buggy.log
GPT5,JacksonDatabind,85,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-85-buggy.log
GPT5,JacksonDatabind,93,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-93-buggy.log
GPT5,Jsoup,24,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Jsoup/Jsoup-24-buggy.log
GPT5,Jsoup,57,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Jsoup/Jsoup-57-buggy.log
GPT5,Jsoup,67,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Jsoup/Jsoup-67-buggy.log
GPT5,Jsoup,74,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Jsoup/Jsoup-74-buggy.log
GPT5,Jsoup,83,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Jsoup/Jsoup-83-buggy.log
GPT5,JxPath,8,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JxPath/JxPath-8-buggy.log
GPT5,JxPath,20,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JxPath/JxPath-20-buggy.log
GPT5,JxPath,21,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JxPath/JxPath-21-buggy.log
GPT5,Lang,12,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-12-buggy.log
GPT5,Lang,14,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-14-buggy.log
GPT5,Lang,32,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-32-buggy.log
GPT5,Lang,42,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-42-buggy.log
GPT5,Lang,50,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-50-buggy.log
GPT5,Lang,54,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-54-buggy.log
GPT5,Lang,65,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-65-buggy.log
GPT5,Math,13,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Math/Math-13-buggy.log
GPT5,Math,22,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Math/Math-22-buggy.log
GPT5,Math,28,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Math/Math-28-buggy.log
GPT5,Math,50,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Math/Math-50-buggy.log
GPT5,Math,54,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Math/Math-54-buggy.log
GPT5,Math,57,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Math/Math-57-buggy.log
GPT5,Math,69,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Math/Math-69-buggy.log
GPT5,Math,83,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Math/Math-83-buggy.log
GPT5,Math,90,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Math/Math-90-buggy.log
GPT5,Math,94,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Math/Math-94-buggy.log
GPT5,Math,95,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Math/Math-95-buggy.log
GPT5,Mockito,8,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Mockito/Mockito-8-buggy.log
GPT5,Mockito,12,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Mockito/Mockito-12-buggy.log
GPT5,Mockito,14,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Mockito/Mockito-14-buggy.log
GPT5,Mockito,21,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Mockito/Mockito-21-buggy.log
GPT5,Mockito,29,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Mockito/Mockito-29-buggy.log
GPT5,Time,5,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Time/Time-5-buggy.log
GPT5,Time,10,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Time/Time-10-buggy.log
GPT5,Time,14,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Time/Time-14-buggy.log
GPT5,Time,17,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Time/Time-17-buggy.log
