model,project,bug_id,status,log
GPT5,Closure,1,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-1-buggy.log
GPT5,Closure,2,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-2-buggy.log
GPT5,Closure,3,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-3-buggy.log
GPT5,Closure,4,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-4-buggy.log
GPT5,Closure,5,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-5-buggy.log
GPT5,Closure,6,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-6-buggy.log
GPT5,Closure,7,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-7-buggy.log
GPT5,Closure,8,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-8-buggy.log
GPT5,Closure,9,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-9-buggy.log
GPT5,Closure,10,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-10-buggy.log
GPT5,Closure,11,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-11-buggy.log
GPT5,Closure,12,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-12-buggy.log
GPT5,Closure,13,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-13-buggy.log
GPT5,Closure,14,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-14-buggy.log
GPT5,Closure,15,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-15-buggy.log
GPT5,Closure,16,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-16-buggy.log
GPT5,Closure,17,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-17-buggy.log
GPT5,Closure,18,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-18-buggy.log
GPT5,Closure,19,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-19-buggy.log
GPT5,Closure,20,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-20-buggy.log
GPT5,Closure,21,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-21-buggy.log
GPT5,Closure,22,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-22-buggy.log
GPT5,Closure,23,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-23-buggy.log
GPT5,Closure,24,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-24-buggy.log
GPT5,Closure,25,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-25-buggy.log
GPT5,Closure,26,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-26-buggy.log
GPT5,Closure,27,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-27-buggy.log
GPT5,Closure,28,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-28-buggy.log
GPT5,Closure,29,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-29-buggy.log
GPT5,Closure,30,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-30-buggy.log
GPT5,Closure,31,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-31-buggy.log
GPT5,Closure,32,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-32-buggy.log
GPT5,Closure,33,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-33-buggy.log
GPT5,Closure,34,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-34-buggy.log
GPT5,Closure,35,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-35-buggy.log
GPT5,Closure,36,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-36-buggy.log
GPT5,Closure,37,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-37-buggy.log
GPT5,Closure,38,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Closure/Closure-38-buggy.log
