model,project,bug_id,status,log
GPT5,Csv,1,timeout,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Csv/Csv-1-buggy.log
GPT5,Csv,2,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Csv/Csv-2-buggy.log
GPT5,Csv,3,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Csv/Csv-3-buggy.log
GPT5,Csv,4,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Csv/Csv-4-buggy.log
GPT5,Csv,5,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Csv/Csv-5-buggy.log
GPT5,Csv,6,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Csv/Csv-6-buggy.log
GPT5,Csv,7,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Csv/Csv-7-buggy.log
GPT5,Csv,8,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Csv/Csv-8-buggy.log
GPT5,Csv,9,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Csv/Csv-9-buggy.log
GPT5,Csv,10,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Csv/Csv-10-buggy.log
GPT5,Csv,11,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Csv/Csv-11-buggy.log
GPT5,Csv,13,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Csv/Csv-13-buggy.log
GPT5,Csv,14,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Csv/Csv-14-buggy.log
GPT5,Csv,15,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Csv/Csv-15-buggy.log
GPT5,Csv,16,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Csv/Csv-16-buggy.log
