model,project,bug_id,status,log
GPT5,JacksonDatabind,1,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-1-buggy.log
GPT5,JacksonDatabind,2,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-2-buggy.log
GPT5,JacksonDatabind,3,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-3-buggy.log
GPT5,JacksonDatabind,4,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-4-buggy.log
GPT5,JacksonDatabind,5,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-5-buggy.log
GPT5,JacksonDatabind,6,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-6-buggy.log
GPT5,JacksonDatabind,7,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-7-buggy.log
GPT5,JacksonDatabind,8,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-8-buggy.log
GPT5,JacksonDatabind,9,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-9-buggy.log
GPT5,JacksonDatabind,10,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-10-buggy.log
GPT5,JacksonDatabind,11,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-11-buggy.log
GPT5,JacksonDatabind,12,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-12-buggy.log
GPT5,JacksonDatabind,13,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-13-buggy.log
GPT5,JacksonDatabind,14,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-14-buggy.log
GPT5,JacksonDatabind,15,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-15-buggy.log
GPT5,JacksonDatabind,16,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-16-buggy.log
GPT5,JacksonDatabind,17,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-17-buggy.log
GPT5,JacksonDatabind,18,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-18-buggy.log
GPT5,JacksonDatabind,19,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-19-buggy.log
GPT5,JacksonDatabind,20,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-20-buggy.log
GPT5,JacksonDatabind,21,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-21-buggy.log
GPT5,JacksonDatabind,22,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-22-buggy.log
GPT5,JacksonDatabind,23,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-23-buggy.log
GPT5,JacksonDatabind,24,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-24-buggy.log
GPT5,JacksonDatabind,25,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-25-buggy.log
GPT5,JacksonDatabind,27,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-27-buggy.log
GPT5,JacksonDatabind,28,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-28-buggy.log
GPT5,JacksonDatabind,29,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-29-buggy.log
GPT5,JacksonDatabind,30,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-30-buggy.log
GPT5,JacksonDatabind,31,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-31-buggy.log
GPT5,JacksonDatabind,32,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-32-buggy.log
GPT5,JacksonDatabind,33,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-33-buggy.log
GPT5,JacksonDatabind,34,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-34-buggy.log
GPT5,JacksonDatabind,35,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-35-buggy.log
GPT5,JacksonDatabind,36,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-36-buggy.log
GPT5,JacksonDatabind,37,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-37-buggy.log
GPT5,JacksonDatabind,38,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-38-buggy.log
GPT5,JacksonDatabind,39,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-39-buggy.log
GPT5,JacksonDatabind,41,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-41-buggy.log
GPT5,JacksonDatabind,42,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-42-buggy.log
GPT5,JacksonDatabind,43,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-43-buggy.log
GPT5,JacksonDatabind,44,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/JacksonDatabind/JacksonDatabind-44-buggy.log
