model,project,bug_id,variant,status,trigger_appear,n_trigger_total,n_trigger_appear,n_trigger_pred_success,matched_triggers,pred_success_triggers
Claude,Closure,1,1,not pass,yes,8,4,0,com.google.javascript.jscomp.CommandLineRunnerTest::testDebugFlag1; com.google.javascript.jscomp.CommandLineRunnerTest::testForwardDeclareDroppedTypes; com.google.javascript.jscomp.CommandLineRunnerTest::testSimpleModeLeavesUnusedParams; com.google.javascript.jscomp.IntegrationTest::testIssue787,
Claude,Closure,1,1_1,not compilable,yes,8,4,4,com.google.javascript.jscomp.RemoveUnusedVarsTest::testIssue168b; com.google.javascript.jscomp.RemoveUnusedVarsTest::testRemoveGlobal1; com.google.javascript.jscomp.RemoveUnusedVarsTest::testRemoveGlobal2; com.google.javascript.jscomp.RemoveUnusedVarsTest::testRemoveGlobal3,com.google.javascript.jscomp.RemoveUnusedVarsTest::testIssue168b; com.google.javascript.jscomp.RemoveUnusedVarsTest::testRemoveGlobal1; com.google.javascript.jscomp.RemoveUnusedVarsTest::testRemoveGlobal2; com.google.javascript.jscomp.RemoveUnusedVarsTest::testRemoveGlobal3
Claude,Closure,2,2,not compilable,no,1,0,0,,
Claude,Closure,2,2_1,pass,no,1,0,0,,
Claude,Closure,2,2_10,pass,no,1,0,0,,
Claude,Closure,2,2_11,pass,no,1,0,0,,
Claude,Closure,2,2_12,not compilable,no,1,0,0,,
Claude,Closure,2,2_13,not compilable,no,1,0,0,,
Claude,Closure,2,2_14,pass,no,1,0,0,,
Claude,Closure,2,2_15,not compilable,no,1,0,0,,
Claude,Closure,2,2_16,not compilable,no,1,0,0,,
Claude,Closure,2,2_17,not compilable,no,1,0,0,,
Claude,Closure,2,2_18,pass,yes,1,1,0,com.google.javascript.jscomp.TypeCheckTest::testBadInterfaceExtendsNonExistentInterfaces,
Claude,Closure,2,2_19,not compilable,no,1,0,0,,
Claude,Closure,2,2_2,not compilable,no,1,0,0,,
Claude,Closure,2,2_20,not compilable,no,1,0,0,,
Claude,Closure,2,2_21,pass,no,1,0,0,,
Claude,Closure,2,2_22,pass,no,1,0,0,,
Claude,Closure,2,2_3,not compilable,no,1,0,0,,
Claude,Closure,2,2_4,not compilable,no,1,0,0,,
Claude,Closure,2,2_5,pass,no,1,0,0,,
Claude,Closure,2,2_6,pass,no,1,0,0,,
Claude,Closure,2,2_7,pass,no,1,0,0,,
Claude,Closure,2,2_8,pass,no,1,0,0,,
Claude,Closure,2,2_9,not compilable,no,1,0,0,,
Claude,Closure,3,3,not pass,yes,3,3,0,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testDoNotInlineCatchExpression1; com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testDoNotInlineCatchExpression1a; com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testDoNotInlineCatchExpression3,
Claude,Closure,3,3_1,not pass,no,3,0,0,,
Claude,Closure,4,4,not pass,no,3,0,0,,
Claude,Closure,4,4_1,not pass,no,3,0,0,,
Claude,Closure,4,4_10,not pass,no,3,0,0,,
Claude,Closure,4,4_11,not pass,no,3,0,0,,
Claude,Closure,4,4_12,not pass,no,3,0,0,,
Claude,Closure,4,4_13,not pass,no,3,0,0,,
Claude,Closure,4,4_14,not pass,no,3,0,0,,
Claude,Closure,4,4_15,not pass,no,3,0,0,,
Claude,Closure,4,4_16,not pass,no,3,0,0,,
Claude,Closure,4,4_17,not pass,no,3,0,0,,
