model,project,bug_id,variant,status,trigger_appear,n_trigger_total,n_trigger_appear,n_trigger_pred_success,matched_triggers,pred_success_triggers
Claude,JacksonDatabind,1,1,not pass,no,1,0,0,,
Claude,JacksonDatabind,1,1_1,not pass,yes,1,1,0,com.fasterxml.jackson.databind.struct.TestPOJOAsArray::testNullColumn,
Claude,JacksonDatabind,2,2,not pass,no,1,0,0,,
Claude,JacksonDatabind,2,2_1,not pass,no,1,0,0,,
Claude,JacksonDatabind,2,2_2,not compilable,yes,1,1,0,com.fasterxml.jackson.databind.node.TestConversions::testConversionOfPojos,
Claude,JacksonDatabind,2,2_3,not pass,no,1,0,0,,
Claude,JacksonDatabind,2,2_4,not pass,no,1,0,0,,
Claude,JacksonDatabind,3,3,not pass,yes,1,1,0,com.fasterxml.jackson.databind.deser.TestArrayDeserialization::testStringArray,
Claude,JacksonDatabind,3,3_1,not pass,no,1,0,0,,
Claude,JacksonDatabind,3,3_2,not pass,no,1,0,0,,
Claude,JacksonDatabind,3,3_3,not pass,no,1,0,0,,
Claude,JacksonDatabind,3,3_4,not pass,no,1,0,0,,
Claude,JacksonDatabind,4,4,not pass,yes,1,1,0,com.fasterxml.jackson.databind.deser.TestCollectionDeserialization::testArrayIndexForExceptions,
Claude,JacksonDatabind,4,4_1,not pass,no,1,0,0,,
Claude,JacksonDatabind,4,4_2,not pass,no,1,0,0,,
Claude,JacksonDatabind,4,4_3,not pass,no,1,0,0,,
Claude,JacksonDatabind,4,4_4,not compilable,no,1,0,0,,
Claude,JacksonDatabind,5,5,not pass,no,1,0,0,,
Claude,JacksonDatabind,5,5_1,not pass,yes,1,1,1,com.fasterxml.jackson.databind.introspect.TestMixinMerging::testDisappearingMixins515,com.fasterxml.jackson.databind.introspect.TestMixinMerging::testDisappearingMixins515
Claude,JacksonDatabind,5,5_2,not pass,no,1,0,0,,
Claude,JacksonDatabind,5,5_3,not pass,no,1,0,0,,
Claude,JacksonDatabind,5,5_4,not pass,no,1,0,0,,
Claude,JacksonDatabind,6,6,not pass,yes,2,2,2,com.fasterxml.jackson.databind.deser.TestDateDeserialization::testISO8601MissingSeconds; com.fasterxml.jackson.databind.deser.TestDateDeserialization::testISO8601PartialMilliseconds,com.fasterxml.jackson.databind.deser.TestDateDeserialization::testISO8601MissingSeconds; com.fasterxml.jackson.databind.deser.TestDateDeserialization::testISO8601PartialMilliseconds
Claude,JacksonDatabind,6,6_1,not pass,no,2,0,0,,
Claude,JacksonDatabind,6,6_2,not pass,no,2,0,0,,
Claude,JacksonDatabind,6,6_3,not pass,no,2,0,0,,
Claude,JacksonDatabind,6,6_4,not pass,no,2,0,0,,
Claude,JacksonDatabind,7,7,not compilable,yes,1,1,1,com.fasterxml.jackson.databind.creators.TestCreatorsDelegating::testDelegateWithTokenBuffer,com.fasterxml.jackson.databind.creators.TestCreatorsDelegating::testDelegateWithTokenBuffer
Claude,JacksonDatabind,7,7_1,not pass,no,1,0,0,,
Claude,JacksonDatabind,7,7_2,not pass,no,1,0,0,,
Claude,JacksonDatabind,7,7_3,not pass,no,1,0,0,,
Claude,JacksonDatabind,7,7_4,not pass,no,1,0,0,,
Claude,JacksonDatabind,8,8,pass,no,1,0,0,,
Claude,JacksonDatabind,8,8_1,pass,yes,1,1,0,com.fasterxml.jackson.databind.deser.TestJdkTypes::testStringBuilder,
Claude,JacksonDatabind,8,8_2,pass,no,1,0,0,,
Claude,JacksonDatabind,8,8_3,pass,no,1,0,0,,
Claude,JacksonDatabind,9,9,not pass,yes,1,1,0,com.fasterxml.jackson.databind.ser.TestMapSerialization::testClassKey,
Claude,JacksonDatabind,9,9_1,not pass,no,1,0,0,,
Claude,JacksonDatabind,10,10,not pass,no,1,0,0,,
Claude,JacksonDatabind,10,10_1,not pass,no,1,0,0,,
Claude,JacksonDatabind,10,10_2,not pass,no,1,0,0,,
Claude,JacksonDatabind,10,10_3,not pass,yes,1,1,1,com.fasterxml.jackson.databind.ser.TestAnyGetter::testIssue705,com.fasterxml.jackson.databind.ser.TestAnyGetter::testIssue705
Claude,JacksonDatabind,10,10_4,not pass,no,1,0,0,,
Claude,JacksonDatabind,11,11,not pass,no,2,0,0,,
Claude,JacksonDatabind,11,11_1,not pass,no,2,0,0,,
Claude,JacksonDatabind,11,11_2,not pass,no,2,0,0,,
