model,project,bug_id,variant,status,trigger_appear,n_trigger_total,n_trigger_appear,n_trigger_pred_success,matched_triggers,pred_success_triggers
Claude,JxPath,1,1,not pass,yes,2,2,2,org.apache.commons.jxpath.ri.model.dom.DOMModelTest::testGetNode; org.apache.commons.jxpath.ri.model.jdom.JDOMModelTest::testGetNode,org.apache.commons.jxpath.ri.model.dom.DOMModelTest::testGetNode; org.apache.commons.jxpath.ri.model.jdom.JDOMModelTest::testGetNode
Claude,JxPath,2,2,not compilable,yes,1,1,0,org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest::testNodeSetReturn,
Claude,JxPath,3,3,not compilable,yes,1,1,0,org.apache.commons.jxpath.ri.model.beans.BadlyImplementedFactoryTest::testBadFactoryImplementation,
Claude,JxPath,4,4,not pass,yes,6,6,6,org.apache.commons.jxpath.ri.model.XMLSpaceTest::testNestedDOM; org.apache.commons.jxpath.ri.model.XMLSpaceTest::testNestedJDOM; org.apache.commons.jxpath.ri.model.XMLSpaceTest::testNestedWithCommentsDOM; org.apache.commons.jxpath.ri.model.XMLSpaceTest::testNestedWithCommentsJDOM; org.apache.commons.jxpath.ri.model.XMLSpaceTest::testPreserveDOM; org.apache.commons.jxpath.ri.model.XMLSpaceTest::testPreserveJDOM,org.apache.commons.jxpath.ri.model.XMLSpaceTest::testNestedDOM; org.apache.commons.jxpath.ri.model.XMLSpaceTest::testNestedJDOM; org.apache.commons.jxpath.ri.model.XMLSpaceTest::testNestedWithCommentsDOM; org.apache.commons.jxpath.ri.model.XMLSpaceTest::testNestedWithCommentsJDOM; org.apache.commons.jxpath.ri.model.XMLSpaceTest::testPreserveDOM; org.apache.commons.jxpath.ri.model.XMLSpaceTest::testPreserveJDOM
Claude,JxPath,5,5,not pass,yes,1,1,0,org.apache.commons.jxpath.ri.compiler.VariableTest::testUnionOfVariableAndNode,
Claude,JxPath,6,6,not pass,yes,1,1,0,org.apache.commons.jxpath.ri.compiler.VariableTest::testIterateVariable,
Claude,JxPath,7,7,not pass,yes,1,1,1,org.apache.commons.jxpath.ri.compiler.CoreOperationTest::testNodeSetOperations,org.apache.commons.jxpath.ri.compiler.CoreOperationTest::testNodeSetOperations
Claude,JxPath,8,8,not pass,yes,1,1,1,org.apache.commons.jxpath.ri.compiler.CoreOperationTest::testNan,org.apache.commons.jxpath.ri.compiler.CoreOperationTest::testNan
Claude,JxPath,9,9,not compilable,yes,1,1,1,org.apache.commons.jxpath.ri.compiler.CoreOperationTest::testNan,org.apache.commons.jxpath.ri.compiler.CoreOperationTest::testNan
Claude,JxPath,10,10,not pass,yes,1,1,0,org.apache.commons.jxpath.ri.compiler.CoreOperationTest::testEmptyNodeSetOperations,
Claude,JxPath,11,11,not pass,yes,1,1,0,org.apache.commons.jxpath.ri.model.XMLModelTestCase::testNamespaceMapping,
Claude,JxPath,12,12,not pass,yes,1,1,0,org.apache.commons.jxpath.ri.model.ExternalXMLNamespaceTest::testElementDOM,
Claude,JxPath,13,13,not pass,yes,1,1,1,org.apache.commons.jxpath.ri.model.ExternalXMLNamespaceTest::testCreateAndSetAttributeDOM,org.apache.commons.jxpath.ri.model.ExternalXMLNamespaceTest::testCreateAndSetAttributeDOM
Claude,JxPath,14,14,pass,yes,1,1,1,org.apache.commons.jxpath.ri.compiler.CoreFunctionTest::testCoreFunctions,org.apache.commons.jxpath.ri.compiler.CoreFunctionTest::testCoreFunctions
Claude,JxPath,15,15,not pass,yes,1,1,1,org.apache.commons.jxpath.ri.model.XMLModelTestCase::testUnion,org.apache.commons.jxpath.ri.model.XMLModelTestCase::testUnion
Claude,JxPath,16,16,not pass,yes,2,2,0,org.apache.commons.jxpath.ri.model.XMLModelTestCase::testAxisFollowing; org.apache.commons.jxpath.ri.model.XMLModelTestCase::testAxisPreceding,
Claude,JxPath,17,17,not compilable,yes,1,1,0,org.apache.commons.jxpath.ri.model.XMLModelTestCase::testAxisAttribute,
Claude,JxPath,18,18,not pass,yes,1,1,0,org.apache.commons.jxpath.ri.model.XMLModelTestCase::testAxisAttribute,
Claude,JxPath,19,19,not pass,yes,2,2,0,org.apache.commons.jxpath.ri.model.AliasedNamespaceIterationTest::testIterateDOM; org.apache.commons.jxpath.ri.model.AliasedNamespaceIterationTest::testIterateJDOM,
Claude,JxPath,20,20,not pass,yes,1,1,1,org.apache.commons.jxpath.ri.compiler.JXPath149Test::testComplexOperationWithVariables,org.apache.commons.jxpath.ri.compiler.JXPath149Test::testComplexOperationWithVariables
Claude,JxPath,21,21,not pass,yes,2,2,0,org.apache.commons.jxpath.ri.model.JXPath151Test::testMapValueEquality; org.apache.commons.jxpath.ri.model.MixedModelTest::testNull,
Claude,JxPath,22,22,not pass,yes,1,1,0,org.apache.commons.jxpath.ri.model.JXPath154Test::testInnerEmptyNamespaceDOM,
