model,project,bug_id,variant,status,trigger_appear,n_trigger_total,n_trigger_appear,n_trigger_pred_success,matched_triggers,pred_success_triggers
Claude,Lang,1,1,not pass,yes,1,1,0,org.apache.commons.lang3.math.NumberUtilsTest::TestLang747,
Claude,Lang,3,3,not pass,yes,1,1,0,org.apache.commons.lang3.math.NumberUtilsTest::testStringCreateNumberEnsureNoPrecisionLoss,
Claude,Lang,4,4,not pass,yes,1,1,1,org.apache.commons.lang3.text.translate.LookupTranslatorTest::testLang882,org.apache.commons.lang3.text.translate.LookupTranslatorTest::testLang882
Claude,Lang,5,5,pass,yes,1,1,1,org.apache.commons.lang3.LocaleUtilsTest::testLang865,org.apache.commons.lang3.LocaleUtilsTest::testLang865
Claude,Lang,6,6,not pass,yes,1,1,1,org.apache.commons.lang3.StringUtilsTest::testEscapeSurrogatePairs,org.apache.commons.lang3.StringUtilsTest::testEscapeSurrogatePairs
Claude,Lang,7,7,not pass,yes,1,1,0,org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber,
Claude,Lang,8,8,not pass,yes,1,1,1,org.apache.commons.lang3.time.FastDatePrinterTest::testCalendarTimezoneRespected,org.apache.commons.lang3.time.FastDatePrinterTest::testCalendarTimezoneRespected
Claude,Lang,9,9,not pass,yes,1,1,1,org.apache.commons.lang3.time.FastDateParserTest::testLANG_832,org.apache.commons.lang3.time.FastDateParserTest::testLANG_832
Claude,Lang,10,10,not pass,yes,1,1,1,org.apache.commons.lang3.time.FastDateParserTest::testLANG_831,org.apache.commons.lang3.time.FastDateParserTest::testLANG_831
Claude,Lang,11,11,pass,yes,1,1,1,org.apache.commons.lang3.RandomStringUtilsTest::testLANG807,org.apache.commons.lang3.RandomStringUtilsTest::testLANG807
Claude,Lang,12,12,pass,yes,2,2,1,org.apache.commons.lang3.RandomStringUtilsTest::testExceptions; org.apache.commons.lang3.RandomStringUtilsTest::testLANG805,org.apache.commons.lang3.RandomStringUtilsTest::testLANG805
Claude,Lang,13,13,pass,yes,1,1,1,org.apache.commons.lang3.SerializationUtilsTest::testPrimitiveTypeClassSerialization,org.apache.commons.lang3.SerializationUtilsTest::testPrimitiveTypeClassSerialization
Claude,Lang,14,14,pass,yes,1,1,1,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testEquals,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest::testEquals
Claude,Lang,14,14_1,pass,no,1,0,0,,
Claude,Lang,14,14_2,pass,no,1,0,0,,
Claude,Lang,15,15,not pass,yes,2,2,2,org.apache.commons.lang3.reflect.TypeUtilsTest::testGetTypeArguments; org.apache.commons.lang3.reflect.TypeUtilsTest::testIsAssignable,org.apache.commons.lang3.reflect.TypeUtilsTest::testGetTypeArguments; org.apache.commons.lang3.reflect.TypeUtilsTest::testIsAssignable
Claude,Lang,16,16,not pass,yes,1,1,1,org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber,org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber
Claude,Lang,17,17,pass,yes,1,1,0,org.apache.commons.lang3.StringEscapeUtilsTest::testLang720,
Claude,Lang,19,19,not pass,yes,2,2,2,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest::testOutOfBounds; org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest::testUnfinishedEntity,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest::testOutOfBounds; org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest::testUnfinishedEntity
Claude,Lang,20,20,not pass,no,2,0,0,,
Claude,Lang,20,20_1,not pass,yes,2,2,1,org.apache.commons.lang3.StringUtilsTest::testJoin_ArrayChar; org.apache.commons.lang3.StringUtilsTest::testJoin_Objectarray,org.apache.commons.lang3.StringUtilsTest::testJoin_ArrayChar
Claude,Lang,21,21,not pass,yes,1,1,1,org.apache.commons.lang3.time.DateUtilsTest::testIsSameLocalTime_Cal,org.apache.commons.lang3.time.DateUtilsTest::testIsSameLocalTime_Cal
Claude,Lang,22,22,pass,yes,2,2,2,org.apache.commons.lang3.math.FractionTest::testReduce; org.apache.commons.lang3.math.FractionTest::testReducedFactory_int_int,org.apache.commons.lang3.math.FractionTest::testReduce; org.apache.commons.lang3.math.FractionTest::testReducedFactory_int_int
Claude,Lang,24,24,pass,yes,1,1,1,org.apache.commons.lang3.math.NumberUtilsTest::testIsNumber,org.apache.commons.lang3.math.NumberUtilsTest::testIsNumber
Claude,Lang,26,26,not pass,yes,1,1,1,org.apache.commons.lang3.time.FastDateFormatTest::testLang645,org.apache.commons.lang3.time.FastDateFormatTest::testLang645
Claude,Lang,27,27,not pass,yes,1,1,1,org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber,org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber
Claude,Lang,28,28,pass,yes,1,1,1,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest::testSupplementaryUnescaping,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest::testSupplementaryUnescaping
Claude,Lang,29,29,not pass,yes,1,1,1,org.apache.commons.lang3.SystemUtilsTest::testJavaVersionAsInt,org.apache.commons.lang3.SystemUtilsTest::testJavaVersionAsInt
Claude,Lang,29,29_1,not pass,no,1,0,0,,
Claude,Lang,29,29_2,not pass,no,1,0,0,,
