model,project,bug_id,variant,status,trigger_appear,n_trigger_total,n_trigger_appear,n_trigger_pred_success,matched_triggers,pred_success_triggers
DeepSeek,Cli,1,1,not pass,yes,1,1,0,org.apache.commons.cli.bug.BugCLI13Test::testCLI13,
DeepSeek,Cli,2,2,not compilable,yes,1,1,0,org.apache.commons.cli.bug.BugCLI51Test::test,
DeepSeek,Cli,3,3,not pass,yes,1,1,0,org.apache.commons.cli.PatternOptionBuilderTest::testSimplePattern,
DeepSeek,Cli,4,4,pass,yes,2,2,2,org.apache.commons.cli.OptionsTest::testMissingOptionException; org.apache.commons.cli.OptionsTest::testMissingOptionsException,org.apache.commons.cli.OptionsTest::testMissingOptionException; org.apache.commons.cli.OptionsTest::testMissingOptionsException
DeepSeek,Cli,5,5,pass,yes,2,2,0,org.apache.commons.cli.UtilTest::testStripLeadingHyphens; org.apache.commons.cli.bug.BugCLI133Test::testOrder,
DeepSeek,Cli,8,8,not pass,yes,1,1,0,org.apache.commons.cli.HelpFormatterTest::testPrintWrapped,
DeepSeek,Cli,9,9,pass,yes,2,2,2,org.apache.commons.cli.OptionsTest::testMissingOptionsException; org.apache.commons.cli.ParseRequiredTest::testMissingRequiredOptions,org.apache.commons.cli.OptionsTest::testMissingOptionsException; org.apache.commons.cli.ParseRequiredTest::testMissingRequiredOptions
DeepSeek,Cli,10,10,not compilable,yes,1,1,1,org.apache.commons.cli.ParseRequiredTest::testReuseOptionsTwice,org.apache.commons.cli.ParseRequiredTest::testReuseOptionsTwice
DeepSeek,Cli,11,11,pass,yes,1,1,1,org.apache.commons.cli.HelpFormatterTest::testPrintOptionWithEmptyArgNameUsage,org.apache.commons.cli.HelpFormatterTest::testPrintOptionWithEmptyArgNameUsage
DeepSeek,Cli,12,12,not pass,yes,3,3,3,org.apache.commons.cli.GnuParserTest::testLongWithEqual; org.apache.commons.cli.GnuParserTest::testLongWithEqualSingleDash; org.apache.commons.cli.GnuParserTest::testShortWithEqual,org.apache.commons.cli.GnuParserTest::testLongWithEqual; org.apache.commons.cli.GnuParserTest::testLongWithEqualSingleDash; org.apache.commons.cli.GnuParserTest::testShortWithEqual
DeepSeek,Cli,13,13,not pass,yes,1,1,0,org.apache.commons.cli2.bug.BugLoopingOptionLookAlikeTest::testLoopingOptionLookAlike2,
DeepSeek,Cli,14,14,not pass,yes,1,1,0,org.apache.commons.cli2.bug.BugCLI144Test::testFileValidator,
DeepSeek,Cli,15,15,not pass,yes,2,2,0,org.apache.commons.cli2.bug.BugCLI158Test::testSingleOptionMaximumNumberOfArgument; org.apache.commons.cli2.bug.BugCLI158Test::testSingleOptionSingleArgument,
