model,project,bug_id,variant,status,trigger_appear,n_trigger_total,n_trigger_appear,n_trigger_pred_success,matched_triggers,pred_success_triggers
DeepSeek,Compress,1,1,not pass,yes,1,1,0,org.apache.commons.compress.archivers.CpioTestCase::testCpioUnarchive,
DeepSeek,Compress,2,2,not pass,yes,1,1,0,org.apache.commons.compress.archivers.ArTestCase::testArDelete,
DeepSeek,Compress,3,3,pass,yes,1,1,1,org.apache.commons.compress.archivers.ArchiveOutputStreamTest::testFinish,org.apache.commons.compress.archivers.ArchiveOutputStreamTest::testFinish
DeepSeek,Compress,4,4,not compilable,yes,10,10,0,org.apache.commons.compress.archivers.jar.JarArchiveOutputStreamTest::testJarMarker; org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testASCIIFileRoundtripExplicitUnicodeExtra; org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testASCIIFileRoundtripImplicitUnicodeExtra; org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testCP437FileRoundtripExplicitUnicodeExtra; org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testCP437FileRoundtripImplicitUnicodeExtra; org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testUtf8FileRoundtripExplicitUnicodeExtra; org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testUtf8FileRoundtripImplicitUnicodeExtra; org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testUtf8FileRoundtripNoEFSExplicitUnicodeExtra; org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testUtf8FileRoundtripNoEFSImplicitUnicodeExtra; org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testZipArchiveInputStreamReadsUnicodeFields,
DeepSeek,Compress,5,5,not pass,yes,1,1,0,org.apache.commons.compress.archivers.zip.Maven221MultiVolumeTest::testRead7ZipMultiVolumeArchiveForStream,
DeepSeek,Compress,6,6,not compilable,yes,1,1,0,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest::testNotEquals,
DeepSeek,Compress,7,7,pass,yes,1,1,1,org.apache.commons.compress.archivers.tar.TarUtilsTest::testRoundTripNames,org.apache.commons.compress.archivers.tar.TarUtilsTest::testRoundTripNames
DeepSeek,Compress,8,8,pass,yes,1,1,1,org.apache.commons.compress.archivers.tar.TarUtilsTest::testParseOctalInvalid,org.apache.commons.compress.archivers.tar.TarUtilsTest::testParseOctalInvalid
DeepSeek,Compress,9,9,not pass,yes,1,1,0,org.apache.commons.compress.archivers.tar.TarArchiveOutputStreamTest::testCount,
DeepSeek,Compress,10,10,not compilable,yes,1,1,0,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testReadWinZipArchive,
DeepSeek,Compress,11,11,not pass,yes,1,1,1,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest::shortTextFilesAreNoTARs,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest::shortTextFilesAreNoTARs
DeepSeek,Compress,12,12,not pass,yes,1,1,0,org.apache.commons.compress.archivers.TarTestCase::testCOMPRESS178,
DeepSeek,Compress,13,13,pass,yes,2,2,0,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest::winzipBackSlashWorkaround; org.apache.commons.compress.archivers.zip.ZipFileTest::testWinzipBackSlashWorkaround,
DeepSeek,Compress,14,14,not pass,yes,1,1,0,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest::workaroundForBrokenTimeHeader,
DeepSeek,Compress,15,15,not pass,yes,1,1,1,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest::testNullCommentEqualsEmptyComment,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest::testNullCommentEqualsEmptyComment
DeepSeek,Compress,16,16,not pass,yes,1,1,0,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest::aiffFilesAreNoTARs,
DeepSeek,Compress,17,17,not pass,yes,1,1,1,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest::testCompress197,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest::testCompress197
DeepSeek,Compress,18,18,not pass,yes,1,1,1,org.apache.commons.compress.archivers.tar.TarArchiveOutputStreamTest::testWriteNonAsciiDirectoryNamePosixMode,org.apache.commons.compress.archivers.tar.TarArchiveOutputStreamTest::testWriteNonAsciiDirectoryNamePosixMode
DeepSeek,Compress,19,19,pass,yes,1,1,1,org.apache.commons.compress.archivers.zip.ZipFileTest::testExcessDataInZip64ExtraField,org.apache.commons.compress.archivers.zip.ZipFileTest::testExcessDataInZip64ExtraField
DeepSeek,Compress,20,20,not pass,yes,1,1,1,org.apache.commons.compress.archivers.cpio.CpioArchiveInputStreamTest::testCpioUnarchiveCreatedByRedlineRpm,org.apache.commons.compress.archivers.cpio.CpioArchiveInputStreamTest::testCpioUnarchiveCreatedByRedlineRpm
DeepSeek,Compress,21,21,not pass,yes,8,8,2,org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest::testEightEmptyFiles; org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest::testEightFilesSomeNotEmpty; org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest::testNineEmptyFiles; org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest::testNineFilesSomeNotEmpty; org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest::testSevenEmptyFiles; org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest::testSevenFilesSomeNotEmpty; org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest::testSixEmptyFiles; org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest::testSixFilesSomeNotEmpty,org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest::testEightEmptyFiles; org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest::testEightFilesSomeNotEmpty
DeepSeek,Compress,22,22,not pass,yes,1,1,0,org.apache.commons.compress.compressors.bzip2.PythonTruncatedBzip2Test::testPartialReadTruncatedData,
DeepSeek,Compress,23,23,pass,yes,1,1,1,org.apache.commons.compress.archivers.sevenz.SevenZFileTest::testCompressedHeaderWithNonDefaultDictionarySize,org.apache.commons.compress.archivers.sevenz.SevenZFileTest::testCompressedHeaderWithNonDefaultDictionarySize
DeepSeek,Compress,24,24,pass,yes,1,1,1,org.apache.commons.compress.archivers.tar.TarUtilsTest::testParseOctal,org.apache.commons.compress.archivers.tar.TarUtilsTest::testParseOctal
DeepSeek,Compress,25,25,not compilable,yes,1,1,1,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest::testReadingOfFirstStoredEntry,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest::testReadingOfFirstStoredEntry
DeepSeek,Compress,26,26,pass,yes,2,2,2,org.apache.commons.compress.utils.IOUtilsTest::skipUsingRead; org.apache.commons.compress.utils.IOUtilsTest::skipUsingSkipAndRead,org.apache.commons.compress.utils.IOUtilsTest::skipUsingRead; org.apache.commons.compress.utils.IOUtilsTest::skipUsingSkipAndRead
DeepSeek,Compress,27,27,not pass,yes,1,1,1,org.apache.commons.compress.archivers.tar.TarUtilsTest::testParseOctal,org.apache.commons.compress.archivers.tar.TarUtilsTest::testParseOctal
DeepSeek,Compress,28,28,not pass,yes,1,1,0,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest::shouldThrowAnExceptionOnTruncatedEntries,
DeepSeek,Compress,29,29,not pass,yes,3,3,0,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest::testEncodingInputStream; org.apache.commons.compress.archivers.ArchiveStreamFactoryTest::testEncodingInputStreamAutodetect; org.apache.commons.compress.archivers.ArchiveStreamFactoryTest::testEncodingOutputStream,
DeepSeek,Compress,29,29_1,not pass,no,3,0,0,,
DeepSeek,Compress,30,30,pass,yes,1,1,1,org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStreamTest::readOfLength0ShouldReturn0,org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStreamTest::readOfLength0ShouldReturn0
DeepSeek,Compress,31,31,pass,yes,2,2,1,org.apache.commons.compress.archivers.TarTestCase::testCOMPRESS178; org.apache.commons.compress.archivers.tar.TarUtilsTest::testParseOctalInvalid,org.apache.commons.compress.archivers.tar.TarUtilsTest::testParseOctalInvalid
DeepSeek,Compress,32,32,pass,yes,1,1,0,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest::shouldReadBigGid,
DeepSeek,Compress,33,33,not compilable,yes,1,1,0,org.apache.commons.compress.compressors.DetectCompressorTestCase::testDetection,
DeepSeek,Compress,34,34,not compilable,yes,1,1,0,org.apache.commons.compress.archivers.zip.X7875_NewUnixTest::testParseReparse,
DeepSeek,Compress,35,35,not pass,yes,1,1,0,org.apache.commons.compress.DetectArchiverTestCase::testCOMPRESS335,
DeepSeek,Compress,36,36,not pass,yes,1,1,0,org.apache.commons.compress.archivers.sevenz.SevenZFileTest::readEntriesOfSize0,
DeepSeek,Compress,37,37,pass,yes,1,1,0,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest::survivesBlankLinesInPaxHeader,
DeepSeek,Compress,37,37_1,not pass,no,1,0,0,,
DeepSeek,Compress,38,38,not pass,yes,1,1,0,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest::survivesPaxHeaderWithNameEndingInSlash,
DeepSeek,Compress,39,39,not pass,yes,1,1,1,org.apache.commons.compress.ArchiveUtilsTest::sanitizeShortensString,org.apache.commons.compress.ArchiveUtilsTest::sanitizeShortensString
DeepSeek,Compress,40,40,not pass,yes,2,2,1,org.apache.commons.compress.utils.BitInputStreamTest::bigEndianWithOverflow; org.apache.commons.compress.utils.BitInputStreamTest::littleEndianWithOverflow,org.apache.commons.compress.utils.BitInputStreamTest::bigEndianWithOverflow
DeepSeek,Compress,41,41,not pass,yes,2,2,0,org.apache.commons.compress.archivers.ZipTestCase::testListAllFilesWithNestedArchive; org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest::testThrowOnInvalidEntry,
DeepSeek,Compress,41,41_1,not compilable,no,2,0,0,,
DeepSeek,Compress,42,42,not compilable,yes,1,1,0,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest::isUnixSymlinkIsFalseIfMoreThanOneFlagIsSet,
DeepSeek,Compress,43,43,not pass,yes,1,1,0,org.apache.commons.compress.archivers.zip.DataDescriptorTest::doesntWriteDataDescriptorWhenAddingRawEntries,
DeepSeek,Compress,43,43_1,not pass,no,1,0,0,,
DeepSeek,Compress,44,44,not compilable,yes,3,3,0,org.apache.commons.compress.utils.ChecksumCalculatingInputStreamTest::testClassInstantiationWithParameterBeingNullThrowsNullPointerExceptionOne; org.apache.commons.compress.utils.ChecksumCalculatingInputStreamTest::testClassInstantiationWithParameterBeingNullThrowsNullPointerExceptionThree; org.apache.commons.compress.utils.ChecksumCalculatingInputStreamTest::testClassInstantiationWithParameterBeingNullThrowsNullPointerExceptionTwo,
DeepSeek,Compress,45,45,not compilable,yes,1,1,0,org.apache.commons.compress.archivers.tar.TarUtilsTest::testRoundTripOctalOrBinary8,
DeepSeek,Compress,46,46,pass,yes,1,1,0,org.apache.commons.compress.archivers.zip.X5455_ExtendedTimestampTest::testGettersSetters,
DeepSeek,Compress,47,47,not pass,yes,1,1,1,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest::properlyMarksEntriesAsUnreadableIfUncompressedSizeIsUnknown,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest::properlyMarksEntriesAsUnreadableIfUncompressedSizeIsUnknown
DeepSeek,Compress,47,47_1,not pass,no,1,0,0,,
