model,project,bug_id,variant,status,trigger_appear,n_trigger_total,n_trigger_appear,n_trigger_pred_success,matched_triggers,pred_success_triggers
DeepSeek,Gson,1,1,not compilable,no,1,0,0,,
DeepSeek,Gson,1,1_1,not pass,yes,1,1,0,com.google.gson.functional.TypeVariableTest::testSingle,
DeepSeek,Gson,2,2,not pass,yes,1,1,0,com.google.gson.functional.DefaultTypeAdaptersTest::testJsonElementTypeMismatch,
DeepSeek,Gson,2,2_1,not pass,no,1,0,0,,
DeepSeek,Gson,2,2_2,not pass,no,1,0,0,,
DeepSeek,Gson,3,3,not pass,no,2,0,0,,
DeepSeek,Gson,3,3_1,not compilable,yes,2,2,2,com.google.gson.functional.MapTest::testConcurrentMap; com.google.gson.functional.MapTest::testConcurrentNavigableMap,com.google.gson.functional.MapTest::testConcurrentMap; com.google.gson.functional.MapTest::testConcurrentNavigableMap
DeepSeek,Gson,3,3_2,not pass,no,2,0,0,,
DeepSeek,Gson,4,4,not pass,no,3,0,0,,
DeepSeek,Gson,4,4_1,not pass,no,3,0,0,,
DeepSeek,Gson,4,4_2,not pass,yes,3,3,0,com.google.gson.stream.JsonReaderTest::testTopLevelValueTypeWithSkipValue; com.google.gson.stream.JsonReaderTest::testTopLevelValueTypes; com.google.gson.stream.JsonWriterTest::testTopLevelValueTypes,
DeepSeek,Gson,4,4_3,not pass,no,3,0,0,,
DeepSeek,Gson,5,5,pass,yes,1,1,0,com.google.gson.DefaultDateTypeAdapterTest::testDateDeserializationISO8601,
DeepSeek,Gson,6,6,pass,no,2,0,0,,
DeepSeek,Gson,6,6_1,pass,no,2,0,0,,
DeepSeek,Gson,6,6_2,not pass,yes,2,2,2,com.google.gson.regression.JsonAdapterNullSafeTest::testNullSafeBugDeserialize; com.google.gson.regression.JsonAdapterNullSafeTest::testNullSafeBugSerialize,com.google.gson.regression.JsonAdapterNullSafeTest::testNullSafeBugDeserialize; com.google.gson.regression.JsonAdapterNullSafeTest::testNullSafeBugSerialize
DeepSeek,Gson,7,7,not pass,no,3,0,0,,
DeepSeek,Gson,7,7_1,not pass,yes,3,2,0,com.google.gson.functional.MapTest::testMapDeserializationWithUnquotedIntegerKeys; com.google.gson.functional.MapTest::testMapDeserializationWithUnquotedLongKeys,
DeepSeek,Gson,7,7_2,not pass,yes,3,1,0,com.google.gson.stream.JsonReaderTest::testPeekingUnquotedStringsPrefixedWithIntegers,
DeepSeek,Gson,8,8,not pass,no,2,0,0,,
DeepSeek,Gson,8,8_1,not pass,yes,2,2,0,com.google.gson.internal.UnsafeAllocatorInstantiationTest::testAbstractClassInstantiation; com.google.gson.internal.UnsafeAllocatorInstantiationTest::testInterfaceInstantiation,
DeepSeek,Gson,9,9,not pass,no,1,0,0,,
DeepSeek,Gson,9,9_1,not pass,no,1,0,0,,
DeepSeek,Gson,9,9_2,not pass,yes,1,1,0,com.google.gson.stream.JsonWriterTest::testBoxedBooleans,
DeepSeek,Gson,10,10,not pass,no,1,0,0,,
DeepSeek,Gson,10,10_1,pass,yes,1,1,1,com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest::testPrimitiveFieldAnnotationTakesPrecedenceOverDefault,com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest::testPrimitiveFieldAnnotationTakesPrecedenceOverDefault
