model,project,bug_id,variant,status,trigger_appear,n_trigger_total,n_trigger_appear,n_trigger_pred_success,matched_triggers,pred_success_triggers
DeepSeek,JacksonDatabind,1,1,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,1,1_1,not pass,yes,1,1,0,com.fasterxml.jackson.databind.struct.TestPOJOAsArray::testNullColumn,
DeepSeek,JacksonDatabind,2,2,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,2,2_1,not compilable,no,1,0,0,,
DeepSeek,JacksonDatabind,2,2_2,not compilable,yes,1,1,0,com.fasterxml.jackson.databind.node.TestConversions::testConversionOfPojos,
DeepSeek,JacksonDatabind,2,2_3,not compilable,no,1,0,0,,
DeepSeek,JacksonDatabind,2,2_4,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,3,3,not pass,yes,1,1,0,com.fasterxml.jackson.databind.deser.TestArrayDeserialization::testStringArray,
DeepSeek,JacksonDatabind,3,3_1,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,3,3_2,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,3,3_3,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,3,3_4,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,4,4,not compilable,yes,1,1,0,com.fasterxml.jackson.databind.deser.TestCollectionDeserialization::testArrayIndexForExceptions,
DeepSeek,JacksonDatabind,4,4_1,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,4,4_2,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,4,4_3,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,4,4_4,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,5,5,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,5,5_1,not pass,yes,1,1,0,com.fasterxml.jackson.databind.introspect.TestMixinMerging::testDisappearingMixins515,
DeepSeek,JacksonDatabind,5,5_2,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,5,5_3,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,5,5_4,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,6,6,not pass,yes,2,2,2,com.fasterxml.jackson.databind.deser.TestDateDeserialization::testISO8601MissingSeconds; com.fasterxml.jackson.databind.deser.TestDateDeserialization::testISO8601PartialMilliseconds,com.fasterxml.jackson.databind.deser.TestDateDeserialization::testISO8601MissingSeconds; com.fasterxml.jackson.databind.deser.TestDateDeserialization::testISO8601PartialMilliseconds
DeepSeek,JacksonDatabind,6,6_1,not pass,no,2,0,0,,
DeepSeek,JacksonDatabind,6,6_2,not pass,no,2,0,0,,
DeepSeek,JacksonDatabind,6,6_3,not pass,no,2,0,0,,
DeepSeek,JacksonDatabind,6,6_4,not pass,no,2,0,0,,
DeepSeek,JacksonDatabind,7,7,not pass,yes,1,1,1,com.fasterxml.jackson.databind.creators.TestCreatorsDelegating::testDelegateWithTokenBuffer,com.fasterxml.jackson.databind.creators.TestCreatorsDelegating::testDelegateWithTokenBuffer
DeepSeek,JacksonDatabind,7,7_1,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,7,7_2,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,7,7_3,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,7,7_4,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,8,8,pass,no,1,0,0,,
DeepSeek,JacksonDatabind,8,8_1,not pass,yes,1,1,0,com.fasterxml.jackson.databind.deser.TestJdkTypes::testStringBuilder,
DeepSeek,JacksonDatabind,8,8_2,pass,no,1,0,0,,
DeepSeek,JacksonDatabind,8,8_3,pass,no,1,0,0,,
DeepSeek,JacksonDatabind,9,9,not pass,yes,1,1,0,com.fasterxml.jackson.databind.ser.TestMapSerialization::testClassKey,
DeepSeek,JacksonDatabind,9,9_1,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,10,10,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,10,10_1,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,10,10_2,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,10,10_3,not compilable,yes,1,1,1,com.fasterxml.jackson.databind.ser.TestAnyGetter::testIssue705,com.fasterxml.jackson.databind.ser.TestAnyGetter::testIssue705
DeepSeek,JacksonDatabind,10,10_4,not compilable,no,1,0,0,,
DeepSeek,JacksonDatabind,11,11,not pass,no,2,0,0,,
DeepSeek,JacksonDatabind,11,11_1,not compilable,no,2,0,0,,
DeepSeek,JacksonDatabind,11,11_2,not compilable,no,2,0,0,,
DeepSeek,JacksonDatabind,11,11_3,not pass,no,2,0,0,,
DeepSeek,JacksonDatabind,11,11_4,not pass,yes,2,2,1,com.fasterxml.jackson.databind.type.TestJavaType::testLocalType728; com.fasterxml.jackson.databind.type.TestLocalType609::testLocalPartialType609,com.fasterxml.jackson.databind.type.TestLocalType609::testLocalPartialType609
DeepSeek,JacksonDatabind,12,12,not compilable,yes,1,1,0,com.fasterxml.jackson.databind.deser.TestCustomDeserializers::testCustomMapValueDeser735,
DeepSeek,JacksonDatabind,12,12_1,not compilable,no,1,0,0,,
DeepSeek,JacksonDatabind,12,12_2,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,12,12_3,not compilable,no,1,0,0,,
DeepSeek,JacksonDatabind,12,12_4,not compilable,no,1,0,0,,
DeepSeek,JacksonDatabind,13,13,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,13,13_1,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,13,13_2,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,13,13_3,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,13,13_4,not pass,yes,1,1,1,com.fasterxml.jackson.databind.struct.TestObjectIdDeserialization::testNullObjectId,com.fasterxml.jackson.databind.struct.TestObjectIdDeserialization::testNullObjectId
DeepSeek,JacksonDatabind,14,14,not pass,yes,1,1,0,com.fasterxml.jackson.databind.convert.TestUpdateValue::testIssue744,
DeepSeek,JacksonDatabind,14,14_1,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,14,14_2,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,14,14_3,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,14,14_4,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,15,15,not pass,yes,1,1,1,com.fasterxml.jackson.databind.convert.TestConvertingSerializer::testIssue731,com.fasterxml.jackson.databind.convert.TestConvertingSerializer::testIssue731
DeepSeek,JacksonDatabind,15,15_1,not compilable,no,1,0,0,,
DeepSeek,JacksonDatabind,15,15_2,not compilable,no,1,0,0,,
DeepSeek,JacksonDatabind,15,15_3,not compilable,no,1,0,0,,
DeepSeek,JacksonDatabind,15,15_4,not compilable,no,1,0,0,,
DeepSeek,JacksonDatabind,16,16,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,16,16_1,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,16,16_2,not pass,yes,1,1,0,com.fasterxml.jackson.databind.mixins.MixinsWithBundlesTest::testMixinWithBundles,
DeepSeek,JacksonDatabind,16,16_3,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,16,16_4,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,17,17,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,17,17_1,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,17,17_2,not pass,yes,1,1,0,com.fasterxml.jackson.databind.node.TestJsonNode::testArrayWithDefaultTyping,
DeepSeek,JacksonDatabind,17,17_3,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,17,17_4,not pass,no,1,0,0,,
DeepSeek,JacksonDatabind,18,18,not pass,yes,3,3,3,com.fasterxml.jackson.databind.seq.ReadRecoveryTest::testRootBeans; com.fasterxml.jackson.databind.seq.ReadRecoveryTest::testSimpleArrayRecovery; com.fasterxml.jackson.databind.seq.ReadRecoveryTest::testSimpleRootRecovery,com.fasterxml.jackson.databind.seq.ReadRecoveryTest::testRootBeans; com.fasterxml.jackson.databind.seq.ReadRecoveryTest::testSimpleArrayRecovery; com.fasterxml.jackson.databind.seq.ReadRecoveryTest::testSimpleRootRecovery
DeepSeek,JacksonDatabind,19,19,not compilable,yes,3,1,1,com.fasterxml.jackson.databind.convert.TestMapConversions::testMapToProperties,com.fasterxml.jackson.databind.convert.TestMapConversions::testMapToProperties
DeepSeek,JacksonDatabind,19,19_1,not compilable,yes,3,1,1,com.fasterxml.jackson.databind.deser.TestMapDeserialization::testReadProperties,com.fasterxml.jackson.databind.deser.TestMapDeserialization::testReadProperties
DeepSeek,JacksonDatabind,19,19_2,not pass,no,3,0,0,,
DeepSeek,JacksonDatabind,19,19_3,not pass,no,3,0,0,,
