model,project,bug_id,variant,status,trigger_appear,n_trigger_total,n_trigger_appear,n_trigger_pred_success,matched_triggers,pred_success_triggers
DeepSeek,JxPath,1,1,pass,yes,2,2,2,org.apache.commons.jxpath.ri.model.dom.DOMModelTest::testGetNode; org.apache.commons.jxpath.ri.model.jdom.JDOMModelTest::testGetNode,org.apache.commons.jxpath.ri.model.dom.DOMModelTest::testGetNode; org.apache.commons.jxpath.ri.model.jdom.JDOMModelTest::testGetNode
DeepSeek,JxPath,2,2,not pass,yes,1,1,1,org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest::testNodeSetReturn,org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest::testNodeSetReturn
DeepSeek,JxPath,3,3,not pass,yes,1,1,0,org.apache.commons.jxpath.ri.model.beans.BadlyImplementedFactoryTest::testBadFactoryImplementation,
DeepSeek,JxPath,4,4,not compilable,yes,6,6,0,org.apache.commons.jxpath.ri.model.XMLSpaceTest::testNestedDOM; org.apache.commons.jxpath.ri.model.XMLSpaceTest::testNestedJDOM; org.apache.commons.jxpath.ri.model.XMLSpaceTest::testNestedWithCommentsDOM; org.apache.commons.jxpath.ri.model.XMLSpaceTest::testNestedWithCommentsJDOM; org.apache.commons.jxpath.ri.model.XMLSpaceTest::testPreserveDOM; org.apache.commons.jxpath.ri.model.XMLSpaceTest::testPreserveJDOM,
DeepSeek,JxPath,5,5,not pass,yes,1,1,1,org.apache.commons.jxpath.ri.compiler.VariableTest::testUnionOfVariableAndNode,org.apache.commons.jxpath.ri.compiler.VariableTest::testUnionOfVariableAndNode
DeepSeek,JxPath,6,6,not pass,yes,1,1,0,org.apache.commons.jxpath.ri.compiler.VariableTest::testIterateVariable,
DeepSeek,JxPath,7,7,not pass,yes,1,1,1,org.apache.commons.jxpath.ri.compiler.CoreOperationTest::testNodeSetOperations,org.apache.commons.jxpath.ri.compiler.CoreOperationTest::testNodeSetOperations
DeepSeek,JxPath,8,8,not compilable,yes,1,1,1,org.apache.commons.jxpath.ri.compiler.CoreOperationTest::testNan,org.apache.commons.jxpath.ri.compiler.CoreOperationTest::testNan
DeepSeek,JxPath,9,9,not compilable,yes,1,1,1,org.apache.commons.jxpath.ri.compiler.CoreOperationTest::testNan,org.apache.commons.jxpath.ri.compiler.CoreOperationTest::testNan
DeepSeek,JxPath,10,10,not compilable,yes,1,1,0,org.apache.commons.jxpath.ri.compiler.CoreOperationTest::testEmptyNodeSetOperations,
DeepSeek,JxPath,11,11,not pass,yes,1,1,0,org.apache.commons.jxpath.ri.model.XMLModelTestCase::testNamespaceMapping,
DeepSeek,JxPath,12,12,not pass,yes,1,1,0,org.apache.commons.jxpath.ri.model.ExternalXMLNamespaceTest::testElementDOM,
DeepSeek,JxPath,13,13,not pass,yes,1,1,0,org.apache.commons.jxpath.ri.model.ExternalXMLNamespaceTest::testCreateAndSetAttributeDOM,
DeepSeek,JxPath,14,14,pass,yes,1,1,0,org.apache.commons.jxpath.ri.compiler.CoreFunctionTest::testCoreFunctions,
DeepSeek,JxPath,15,15,not pass,yes,1,1,0,org.apache.commons.jxpath.ri.model.XMLModelTestCase::testUnion,
DeepSeek,JxPath,16,16,pass,yes,2,2,2,org.apache.commons.jxpath.ri.model.XMLModelTestCase::testAxisFollowing; org.apache.commons.jxpath.ri.model.XMLModelTestCase::testAxisPreceding,org.apache.commons.jxpath.ri.model.XMLModelTestCase::testAxisFollowing; org.apache.commons.jxpath.ri.model.XMLModelTestCase::testAxisPreceding
DeepSeek,JxPath,17,17,pass,yes,1,1,1,org.apache.commons.jxpath.ri.model.XMLModelTestCase::testAxisAttribute,org.apache.commons.jxpath.ri.model.XMLModelTestCase::testAxisAttribute
DeepSeek,JxPath,18,18,not pass,yes,1,1,0,org.apache.commons.jxpath.ri.model.XMLModelTestCase::testAxisAttribute,
DeepSeek,JxPath,19,19,not pass,yes,2,2,0,org.apache.commons.jxpath.ri.model.AliasedNamespaceIterationTest::testIterateDOM; org.apache.commons.jxpath.ri.model.AliasedNamespaceIterationTest::testIterateJDOM,
DeepSeek,JxPath,20,20,not pass,yes,1,1,0,org.apache.commons.jxpath.ri.compiler.JXPath149Test::testComplexOperationWithVariables,
DeepSeek,JxPath,21,21,not pass,yes,2,2,0,org.apache.commons.jxpath.ri.model.JXPath151Test::testMapValueEquality; org.apache.commons.jxpath.ri.model.MixedModelTest::testNull,
DeepSeek,JxPath,22,22,not pass,yes,1,1,0,org.apache.commons.jxpath.ri.model.JXPath154Test::testInnerEmptyNamespaceDOM,
