model,project,bug_id,variant,status,trigger_appear,n_trigger_total,n_trigger_appear,n_trigger_pred_success,matched_triggers,pred_success_triggers
DeepSeek,Mockito,1,1,pass,yes,26,6,1,org.mockito.internal.invocation.InvocationMatcherTest::should_capture_arguments_when_args_count_does_NOT_match; org.mockito.internal.util.reflection.FieldInitializerTest::can_instantiate_class_with_parameterized_constructor; org.mockito.internal.util.reflection.ParameterizedConstructorInstantiatorTest::should_fail_if_an_argument_instance_type_do_not_match_wanted_type; org.mockito.internal.util.reflection.ParameterizedConstructorInstantiatorTest::should_instantiate_type_if_resolver_provide_matching_types; org.mockito.internal.util.reflection.ParameterizedConstructorInstantiatorTest::should_instantiate_type_with_vararg_constructor; org.mockito.internal.util.reflection.ParameterizedConstructorInstantiatorTest::should_report_failure_if_constructor_throws_exception,org.mockito.internal.invocation.InvocationMatcherTest::should_capture_arguments_when_args_count_does_NOT_match
DeepSeek,Mockito,1,1_1,pass,yes,26,16,0,org.mockitousage.basicapi.ResetTest::shouldRemoveAllStubbing; org.mockitousage.basicapi.UsingVarargsTest::shouldMatchEasilyEmptyVararg; org.mockitousage.basicapi.UsingVarargsTest::shouldStubBooleanVarargs; org.mockitousage.basicapi.UsingVarargsTest::shouldStubCorrectlyWhenDoubleStringAndMixedVarargsUsed; org.mockitousage.basicapi.UsingVarargsTest::shouldStubCorrectlyWhenMixedVarargsUsed; org.mockitousage.basicapi.UsingVarargsTest::shouldStubStringVarargs; org.mockitousage.basicapi.UsingVarargsTest::shouldVerifyBooleanVarargs; org.mockitousage.basicapi.UsingVarargsTest::shouldVerifyObjectVarargs; org.mockitousage.basicapi.UsingVarargsTest::shouldVerifyStringVarargs; org.mockitousage.basicapi.UsingVarargsTest::shouldVerifyWithAnyObject; org.mockitousage.basicapi.UsingVarargsTest::shouldVerifyWithNullVarArgArray; org.mockitousage.bugs.VarargsErrorWhenCallingRealMethodTest::shouldNotThrowAnyException; org.mockitousage.bugs.varargs.VarargsAndAnyObjectPicksUpExtraInvocationsTest::shouldVerifyCorrectlyNumberOfInvocationsUsingAnyVarargAndEqualArgument; org.mockitousage.bugs.varargs.VarargsAndAnyObjectPicksUpExtraInvocationsTest::shouldVerifyCorrectlyWithAnyVarargs; org.mockitousage.bugs.varargs.VarargsNotPlayingWithAnyObjectTest::shouldStubUsingAnyVarargs; org.mockitousage.matchers.VerificationAndStubbingUsingMatchersTest::shouldVerifyUsingMatchers,
DeepSeek,Mockito,1,1_2,pass,yes,26,3,0,org.mockitousage.stubbing.BasicStubbingTest::should_evaluate_latest_stubbing_first; org.mockitousage.stubbing.BasicStubbingTest::test_stub_only_not_verifiable; org.mockitousage.stubbing.DeprecatedStubbingTest::shouldEvaluateLatestStubbingFirst,
DeepSeek,Mockito,1,1_3,pass,yes,26,1,0,org.mockitousage.verification.VerificationInOrderMixedWithOrdiraryVerificationTest::shouldUseEqualsToVerifyMethodVarargs,
DeepSeek,Mockito,2,2,not compilable,yes,3,3,1,org.mockito.internal.util.TimerTest::should_throw_friendly_reminder_exception_when_duration_is_negative; org.mockito.verification.NegativeDurationTest::should_throw_exception_when_duration_is_negative_for_after_method; org.mockito.verification.NegativeDurationTest::should_throw_exception_when_duration_is_negative_for_timeout_method,org.mockito.internal.util.TimerTest::should_throw_friendly_reminder_exception_when_duration_is_negative
DeepSeek,Mockito,3,3,not pass,yes,9,1,0,org.mockito.internal.invocation.InvocationMatcherTest::should_capture_varargs_as_vararg,
DeepSeek,Mockito,3,3_1,not pass,yes,9,8,0,org.mockitousage.bugs.varargs.VarargsAndAnyObjectPicksUpExtraInvocationsTest::shouldVerifyCorrectlyNumberOfInvocationsWithVarargs; org.mockitousage.bugs.varargs.VarargsNotPlayingWithAnyObjectTest::shouldMatchAnyVararg; org.mockitousage.matchers.CapturingArgumentsTest::captures_correctly_when_captor_used_multiple_times; org.mockitousage.matchers.CapturingArgumentsTest::captures_correctly_when_captor_used_on_pure_vararg_method; org.mockitousage.matchers.CapturingArgumentsTest::should_capture_all_vararg; org.mockitousage.matchers.CapturingArgumentsTest::should_capture_byte_vararg_by_creating_captor_with_primitive; org.mockitousage.matchers.CapturingArgumentsTest::should_capture_byte_vararg_by_creating_captor_with_primitive_wrapper; org.mockitousage.matchers.CapturingArgumentsTest::should_capture_vararg,
DeepSeek,Mockito,3,3_2,not pass,no,9,0,0,,
DeepSeek,Mockito,3,3_3,not pass,no,9,0,0,,
DeepSeek,Mockito,4,4,not pass,yes,4,3,0,org.mockito.exceptions.ReporterTest::can_use_mock_name_even_when_mock_bogus_default_answer_and_when_reporting_no_more_interaction_wanted; org.mockito.exceptions.ReporterTest::can_use_print_mock_name_even_when_mock_bogus_default_answer_and_when_reporting_injection_failure; org.mockito.exceptions.ReporterTest::can_use_print_mock_name_even_when_mock_bogus_default_answer_and_when_reporting_no_more_interaction_wanted_in_order,
DeepSeek,Mockito,4,4_1,not pass,no,4,0,0,,
DeepSeek,Mockito,4,4_2,not pass,yes,4,1,0,org.mockitousage.bugs.ClassCastExOnVerifyZeroInteractionsTest::should_not_throw_a_ClassCastException,
DeepSeek,Mockito,4,4_3,not pass,no,4,0,0,,
DeepSeek,Mockito,4,4_4,not pass,no,4,0,0,,
DeepSeek,Mockito,5,5,not pass,yes,1,1,0,org.mockitointegration.NoJUnitDependenciesTest::pure_mockito_should_not_depend_JUnit,
DeepSeek,Mockito,6,6,not pass,no,7,0,0,,
