model,project,bug_id,variant,status,trigger_appear,n_trigger_total,n_trigger_appear,n_trigger_pred_success,matched_triggers,pred_success_triggers
DeepSeek,Time,1,1,not pass,no,1,0,0,,
DeepSeek,Time,1,1_1,not pass,no,1,0,0,,
DeepSeek,Time,1,1_10,not pass,no,1,0,0,,
DeepSeek,Time,1,1_11,not pass,no,1,0,0,,
DeepSeek,Time,1,1_12,not compilable,no,1,0,0,,
DeepSeek,Time,1,1_13,not compilable,no,1,0,0,,
DeepSeek,Time,1,1_2,not pass,no,1,0,0,,
DeepSeek,Time,1,1_3,not compilable,no,1,0,0,,
DeepSeek,Time,1,1_4,not pass,no,1,0,0,,
DeepSeek,Time,1,1_5,not pass,no,1,0,0,,
DeepSeek,Time,1,1_6,not pass,no,1,0,0,,
DeepSeek,Time,1,1_7,not compilable,yes,1,1,1,org.joda.time.TestPartial_Constructors::testConstructorEx7_TypeArray_intArray,org.joda.time.TestPartial_Constructors::testConstructorEx7_TypeArray_intArray
DeepSeek,Time,1,1_8,not pass,no,1,0,0,,
DeepSeek,Time,1,1_9,not pass,no,1,0,0,,
DeepSeek,Time,2,2,not pass,no,1,0,0,,
DeepSeek,Time,2,2_1,not pass,no,1,0,0,,
DeepSeek,Time,2,2_10,not compilable,no,1,0,0,,
DeepSeek,Time,2,2_11,not pass,no,1,0,0,,
DeepSeek,Time,2,2_12,not compilable,no,1,0,0,,
DeepSeek,Time,2,2_13,not pass,no,1,0,0,,
DeepSeek,Time,2,2_2,not pass,no,1,0,0,,
DeepSeek,Time,2,2_3,not pass,no,1,0,0,,
DeepSeek,Time,2,2_4,not pass,no,1,0,0,,
DeepSeek,Time,2,2_5,not pass,no,1,0,0,,
DeepSeek,Time,2,2_6,not pass,no,1,0,0,,
DeepSeek,Time,2,2_7,not pass,yes,1,1,1,org.joda.time.TestPartial_Basics::testWith_baseAndArgHaveNoRange,org.joda.time.TestPartial_Basics::testWith_baseAndArgHaveNoRange
DeepSeek,Time,2,2_8,not pass,no,1,0,0,,
DeepSeek,Time,2,2_9,not pass,no,1,0,0,,
DeepSeek,Time,3,3,not pass,no,5,0,0,,
DeepSeek,Time,3,3_1,not pass,no,5,0,0,,
DeepSeek,Time,3,3_2,pass,yes,5,5,5,org.joda.time.TestMutableDateTime_Adds::testAddDays_int_dstOverlapWinter_addZero; org.joda.time.TestMutableDateTime_Adds::testAddMonths_int_dstOverlapWinter_addZero; org.joda.time.TestMutableDateTime_Adds::testAddWeeks_int_dstOverlapWinter_addZero; org.joda.time.TestMutableDateTime_Adds::testAddYears_int_dstOverlapWinter_addZero; org.joda.time.TestMutableDateTime_Adds::testAdd_DurationFieldType_int_dstOverlapWinter_addZero,org.joda.time.TestMutableDateTime_Adds::testAddDays_int_dstOverlapWinter_addZero; org.joda.time.TestMutableDateTime_Adds::testAddMonths_int_dstOverlapWinter_addZero; org.joda.time.TestMutableDateTime_Adds::testAddWeeks_int_dstOverlapWinter_addZero; org.joda.time.TestMutableDateTime_Adds::testAddYears_int_dstOverlapWinter_addZero; org.joda.time.TestMutableDateTime_Adds::testAdd_DurationFieldType_int_dstOverlapWinter_addZero
DeepSeek,Time,3,3_3,not compilable,no,5,0,0,,
DeepSeek,Time,3,3_4,not pass,no,5,0,0,,
DeepSeek,Time,4,4,not pass,no,1,0,0,,
DeepSeek,Time,4,4_1,not pass,yes,1,1,0,org.joda.time.TestPartial_Basics::testWith3,
DeepSeek,Time,4,4_2,not pass,no,1,0,0,,
DeepSeek,Time,5,5,not pass,no,3,0,0,,
DeepSeek,Time,5,5_1,not pass,no,3,0,0,,
DeepSeek,Time,5,5_2,not pass,no,3,0,0,,
DeepSeek,Time,5,5_3,not pass,no,3,0,0,,
DeepSeek,Time,5,5_4,pass,yes,3,3,3,org.joda.time.TestPeriod_Basics::testNormalizedStandard_periodType_months1; org.joda.time.TestPeriod_Basics::testNormalizedStandard_periodType_months2; org.joda.time.TestPeriod_Basics::testNormalizedStandard_periodType_monthsWeeks,org.joda.time.TestPeriod_Basics::testNormalizedStandard_periodType_months1; org.joda.time.TestPeriod_Basics::testNormalizedStandard_periodType_months2; org.joda.time.TestPeriod_Basics::testNormalizedStandard_periodType_monthsWeeks
DeepSeek,Time,5,5_5,not compilable,no,3,0,0,,
DeepSeek,Time,5,5_6,not pass,no,3,0,0,,
DeepSeek,Time,6,6,not compilable,no,5,0,0,,
DeepSeek,Time,6,6_1,not compilable,no,5,0,0,,
DeepSeek,Time,6,6_2,not compilable,no,5,0,0,,
DeepSeek,Time,6,6_3,not compilable,no,5,0,0,,
DeepSeek,Time,6,6_4,not compilable,no,5,0,0,,
DeepSeek,Time,6,6_5,not compilable,no,5,0,0,,
DeepSeek,Time,6,6_6,not compilable,no,5,0,0,,
DeepSeek,Time,6,6_7,not compilable,yes,5,5,0,org.joda.time.chrono.TestGJDate::test_cutoverPreZero; org.joda.time.chrono.TestGJDate::test_plusWeekyears_positiveToNegative_crossCutover; org.joda.time.chrono.TestGJDate::test_plusWeekyears_positiveToZero_crossCutover; org.joda.time.chrono.TestGJDate::test_plusYears_positiveToNegative_crossCutover; org.joda.time.chrono.TestGJDate::test_plusYears_positiveToZero_crossCutover,
DeepSeek,Time,6,6_8,not compilable,no,5,0,0,,
DeepSeek,Time,7,7,not pass,no,2,0,0,,
DeepSeek,Time,7,7_1,not compilable,no,2,0,0,,
DeepSeek,Time,7,7_2,not compilable,no,2,0,0,,
DeepSeek,Time,7,7_3,not compilable,no,2,0,0,,
DeepSeek,Time,7,7_4,not compilable,no,2,0,0,,
DeepSeek,Time,7,7_5,not compilable,no,2,0,0,,
DeepSeek,Time,7,7_6,not compilable,no,2,0,0,,
DeepSeek,Time,7,7_7,not compilable,no,2,0,0,,
DeepSeek,Time,7,7_8,not compilable,yes,2,2,0,org.joda.time.format.TestDateTimeFormatter::testParseInto_monthDay_feb29_newYork_startOfYear; org.joda.time.format.TestDateTimeFormatter::testParseInto_monthDay_feb29_tokyo_endOfYear,
DeepSeek,Time,7,7_9,not compilable,no,2,0,0,,
DeepSeek,Time,8,8,pass,yes,1,1,1,org.joda.time.TestDateTimeZone::testForOffsetHoursMinutes_int_int,org.joda.time.TestDateTimeZone::testForOffsetHoursMinutes_int_int
DeepSeek,Time,8,8_1,not compilable,no,1,0,0,,
DeepSeek,Time,8,8_10,not compilable,no,1,0,0,,
DeepSeek,Time,8,8_11,not compilable,no,1,0,0,,
DeepSeek,Time,8,8_12,not compilable,no,1,0,0,,
DeepSeek,Time,8,8_13,not compilable,no,1,0,0,,
DeepSeek,Time,8,8_2,not compilable,no,1,0,0,,
DeepSeek,Time,8,8_3,not compilable,no,1,0,0,,
DeepSeek,Time,8,8_4,not compilable,no,1,0,0,,
DeepSeek,Time,8,8_5,not compilable,no,1,0,0,,
DeepSeek,Time,8,8_6,not compilable,no,1,0,0,,
DeepSeek,Time,8,8_7,not compilable,no,1,0,0,,
DeepSeek,Time,8,8_8,not compilable,no,1,0,0,,
DeepSeek,Time,8,8_9,not compilable,no,1,0,0,,
DeepSeek,Time,9,9,not pass,yes,1,1,1,org.joda.time.TestDateTimeZone::testForOffsetHoursMinutes_int_int,org.joda.time.TestDateTimeZone::testForOffsetHoursMinutes_int_int
DeepSeek,Time,9,9_1,not compilable,no,1,0,0,,
DeepSeek,Time,9,9_10,pass,no,1,0,0,,
DeepSeek,Time,9,9_11,not compilable,no,1,0,0,,
DeepSeek,Time,9,9_12,not compilable,no,1,0,0,,
DeepSeek,Time,9,9_13,not compilable,no,1,0,0,,
DeepSeek,Time,9,9_2,not compilable,no,1,0,0,,
DeepSeek,Time,9,9_3,not compilable,no,1,0,0,,
DeepSeek,Time,9,9_4,not compilable,no,1,0,0,,
DeepSeek,Time,9,9_5,not compilable,no,1,0,0,,
DeepSeek,Time,9,9_6,not compilable,no,1,0,0,,
DeepSeek,Time,9,9_7,not compilable,no,1,0,0,,
DeepSeek,Time,9,9_8,not compilable,no,1,0,0,,
DeepSeek,Time,9,9_9,not compilable,no,1,0,0,,
DeepSeek,Time,10,10,not pass,yes,2,2,2,org.joda.time.TestDays::testFactory_daysBetween_RPartial_MonthDay; org.joda.time.TestMonths::testFactory_monthsBetween_RPartial_MonthDay,org.joda.time.TestDays::testFactory_daysBetween_RPartial_MonthDay; org.joda.time.TestMonths::testFactory_monthsBetween_RPartial_MonthDay
DeepSeek,Time,10,10_1,not compilable,no,2,0,0,,
DeepSeek,Time,12,12,not pass,no,8,0,0,,
DeepSeek,Time,12,12_1,not compilable,yes,8,4,2,org.joda.time.TestLocalDateTime_Constructors::testFactory_fromCalendarFields_beforeYearZero1; org.joda.time.TestLocalDateTime_Constructors::testFactory_fromCalendarFields_beforeYearZero3; org.joda.time.TestLocalDateTime_Constructors::testFactory_fromDateFields_beforeYearZero1; org.joda.time.TestLocalDateTime_Constructors::testFactory_fromDateFields_beforeYearZero3,org.joda.time.TestLocalDateTime_Constructors::testFactory_fromCalendarFields_beforeYearZero1; org.joda.time.TestLocalDateTime_Constructors::testFactory_fromCalendarFields_beforeYearZero3
DeepSeek,Time,12,12_2,not compilable,yes,8,4,2,org.joda.time.TestLocalDate_Constructors::testFactory_fromCalendarFields_beforeYearZero1; org.joda.time.TestLocalDate_Constructors::testFactory_fromCalendarFields_beforeYearZero3; org.joda.time.TestLocalDate_Constructors::testFactory_fromDateFields_beforeYearZero1; org.joda.time.TestLocalDate_Constructors::testFactory_fromDateFields_beforeYearZero3,org.joda.time.TestLocalDate_Constructors::testFactory_fromCalendarFields_beforeYearZero1; org.joda.time.TestLocalDate_Constructors::testFactory_fromCalendarFields_beforeYearZero3
DeepSeek,Time,12,12_3,not compilable,no,8,0,0,,
DeepSeek,Time,12,12_4,not pass,no,8,0,0,,
DeepSeek,Time,12,12_5,not compilable,no,8,0,0,,
DeepSeek,Time,13,13,not pass,no,1,0,0,,
DeepSeek,Time,13,13_1,not compilable,no,1,0,0,,
DeepSeek,Time,13,13_2,not compilable,yes,1,1,0,org.joda.time.format.TestISOPeriodFormat::testFormatStandard_negative,
DeepSeek,Time,13,13_3,not compilable,no,1,0,0,,
DeepSeek,Time,14,14,not pass,no,8,0,0,,
DeepSeek,Time,14,14_1,not compilable,no,8,0,0,,
DeepSeek,Time,14,14_10,not compilable,no,8,0,0,,
DeepSeek,Time,14,14_11,not compilable,no,8,0,0,,
DeepSeek,Time,14,14_12,not compilable,no,8,0,0,,
DeepSeek,Time,14,14_2,not compilable,no,8,0,0,,
DeepSeek,Time,14,14_3,not compilable,no,8,0,0,,
DeepSeek,Time,14,14_4,not compilable,yes,8,7,7,org.joda.time.TestMonthDay_Basics::testMinusMonths_int_endOfMonthAdjust; org.joda.time.TestMonthDay_Basics::testMinusMonths_int_fromLeap; org.joda.time.TestMonthDay_Basics::testMinusMonths_int_negativeFromLeap; org.joda.time.TestMonthDay_Basics::testPlusDays_int_fromLeap; org.joda.time.TestMonthDay_Basics::testPlusMonths_int_fromLeap; org.joda.time.TestMonthDay_Basics::testPlusMonths_int_negativeEndOfMonthAdjust; org.joda.time.TestMonthDay_Basics::testPlusMonths_int_negativeFromLeap,org.joda.time.TestMonthDay_Basics::testMinusMonths_int_endOfMonthAdjust; org.joda.time.TestMonthDay_Basics::testMinusMonths_int_fromLeap; org.joda.time.TestMonthDay_Basics::testMinusMonths_int_negativeFromLeap; org.joda.time.TestMonthDay_Basics::testPlusDays_int_fromLeap; org.joda.time.TestMonthDay_Basics::testPlusMonths_int_fromLeap; org.joda.time.TestMonthDay_Basics::testPlusMonths_int_negativeEndOfMonthAdjust; org.joda.time.TestMonthDay_Basics::testPlusMonths_int_negativeFromLeap
DeepSeek,Time,14,14_5,pass,yes,8,1,0,org.joda.time.TestMonthDay_Basics::testMinusDays_int_negativeFromLeap,
DeepSeek,Time,14,14_6,not compilable,no,8,0,0,,
DeepSeek,Time,14,14_7,not compilable,no,8,0,0,,
DeepSeek,Time,14,14_8,not compilable,no,8,0,0,,
DeepSeek,Time,14,14_9,not compilable,no,8,0,0,,
DeepSeek,Time,15,15,pass,no,1,0,0,,
DeepSeek,Time,15,15_1,not compilable,no,1,0,0,,
DeepSeek,Time,15,15_10,not compilable,yes,1,1,1,org.joda.time.field.TestFieldUtils::testSafeMultiplyLongInt,org.joda.time.field.TestFieldUtils::testSafeMultiplyLongInt
