model,project,bug_id,variant,status,trigger_appear,n_trigger_total,n_trigger_appear,n_trigger_pred_success,matched_triggers,pred_success_triggers
GPT5,Chart,1,1,pass,yes,1,1,1,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests::test2947660,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests::test2947660
GPT5,Chart,1,1_1,pass,no,1,0,0,,
GPT5,Chart,2,2,not pass,no,2,0,0,,
GPT5,Chart,2,2_1,not pass,yes,2,2,2,org.jfree.data.general.junit.DatasetUtilitiesTests::testBug2849731_2; org.jfree.data.general.junit.DatasetUtilitiesTests::testBug2849731_3,org.jfree.data.general.junit.DatasetUtilitiesTests::testBug2849731_2; org.jfree.data.general.junit.DatasetUtilitiesTests::testBug2849731_3
GPT5,Chart,3,3,not pass,yes,1,1,0,org.jfree.data.time.junit.TimeSeriesTests::testCreateCopy3,
GPT5,Chart,4,4,pass,yes,22,22,1,org.jfree.chart.axis.junit.LogAxisTests::testXYAutoRange1; org.jfree.chart.axis.junit.LogAxisTests::testXYAutoRange2; org.jfree.chart.axis.junit.NumberAxisTests::testXYAutoRange1; org.jfree.chart.axis.junit.NumberAxisTests::testXYAutoRange2; org.jfree.chart.axis.junit.ValueAxisTests::testAxisMargins; org.jfree.chart.junit.JFreeChartTests::testSerialization4; org.jfree.chart.junit.ScatterPlotTests::testDrawWithNullInfo; org.jfree.chart.junit.ScatterPlotTests::testReplaceDataset; org.jfree.chart.junit.ScatterPlotTests::testSetSeriesToolTipGenerator; org.jfree.chart.junit.TimeSeriesChartTests::testDrawWithNullInfo; org.jfree.chart.junit.TimeSeriesChartTests::testReplaceDataset; org.jfree.chart.junit.TimeSeriesChartTests::testSetSeriesToolTipGenerator; org.jfree.chart.junit.XYAreaChartTests::testDrawWithNullInfo; org.jfree.chart.junit.XYAreaChartTests::testReplaceDataset; org.jfree.chart.junit.XYAreaChartTests::testSetSeriesToolTipGenerator; org.jfree.chart.junit.XYStepAreaChartTests::testDrawWithNullInfo; org.jfree.chart.junit.XYStepAreaChartTests::testReplaceDataset; org.jfree.chart.junit.XYStepAreaChartTests::testSetSeriesToolTipGenerator; org.jfree.chart.junit.XYStepChartTests::testDrawWithNullInfo; org.jfree.chart.junit.XYStepChartTests::testReplaceDataset; org.jfree.chart.junit.XYStepChartTests::testSetSeriesToolTipGenerator; org.jfree.chart.plot.junit.XYPlotTests::testDrawRangeGridlines,org.jfree.chart.plot.junit.XYPlotTests::testDrawRangeGridlines
GPT5,Chart,4,4_1,pass,no,22,0,0,,
GPT5,Chart,5,5,pass,yes,1,1,1,org.jfree.data.xy.junit.XYSeriesTests::testBug1955483,org.jfree.data.xy.junit.XYSeriesTests::testBug1955483
GPT5,Chart,6,6,not pass,no,2,0,0,,
GPT5,Chart,6,6_1,pass,yes,2,2,2,org.jfree.chart.util.junit.ShapeListTests::testEquals; org.jfree.chart.util.junit.ShapeListTests::testSerialization,org.jfree.chart.util.junit.ShapeListTests::testEquals; org.jfree.chart.util.junit.ShapeListTests::testSerialization
