model,project,bug_id,variant,status,trigger_appear,n_trigger_total,n_trigger_appear,n_trigger_pred_success,matched_triggers,pred_success_triggers
GPT5,Csv,1,1,pass,yes,1,1,1,org.apache.commons.csv.CSVParserTest::testGetLineNumberWithCR,org.apache.commons.csv.CSVParserTest::testGetLineNumberWithCR
GPT5,Csv,2,2,not pass,yes,1,1,1,org.apache.commons.csv.CSVRecordTest::testGetStringInconsistentRecord,org.apache.commons.csv.CSVRecordTest::testGetStringInconsistentRecord
GPT5,Csv,3,3,not compilable,yes,3,3,2,org.apache.commons.csv.CSVLexerTest::testEscapedCharacter; org.apache.commons.csv.CSVLexerTest::testEscapedMySqlNullValue; org.apache.commons.csv.CSVParserTest::testBackslashEscaping,org.apache.commons.csv.CSVLexerTest::testEscapedCharacter; org.apache.commons.csv.CSVLexerTest::testEscapedMySqlNullValue
GPT5,Csv,4,4,pass,yes,1,1,1,org.apache.commons.csv.CSVParserTest::testNoHeaderMap,org.apache.commons.csv.CSVParserTest::testNoHeaderMap
GPT5,Csv,5,5,pass,yes,1,1,1,org.apache.commons.csv.CSVFormatTest::testNullRecordSeparatorCsv106,org.apache.commons.csv.CSVFormatTest::testNullRecordSeparatorCsv106
GPT5,Csv,6,6,pass,yes,1,1,1,org.apache.commons.csv.CSVRecordTest::testToMapWithShortRecord,org.apache.commons.csv.CSVRecordTest::testToMapWithShortRecord
GPT5,Csv,7,7,not pass,yes,1,1,1,org.apache.commons.csv.CSVParserTest::testDuplicateHeaderEntries,org.apache.commons.csv.CSVParserTest::testDuplicateHeaderEntries
GPT5,Csv,8,8,not compilable,yes,1,1,0,org.apache.commons.csv.CSVFormatTest::testDuplicateHeaderElements,
GPT5,Csv,9,9,not pass,yes,1,1,0,org.apache.commons.csv.CSVRecordTest::testToMapWithNoHeader,
GPT5,Csv,10,10,not pass,yes,1,1,0,org.apache.commons.csv.CSVPrinterTest::testHeader,
GPT5,Csv,11,11,pass,yes,1,1,1,org.apache.commons.csv.CSVParserTest::testHeaderMissingWithNull,org.apache.commons.csv.CSVParserTest::testHeaderMissingWithNull
GPT5,Csv,13,13,not pass,yes,2,2,0,org.apache.commons.csv.CSVPrinterTest::testMySqlNullOutput; org.apache.commons.csv.CSVPrinterTest::testMySqlNullStringDefault,
GPT5,Csv,14,14,not pass,yes,6,6,0,org.apache.commons.csv.CSVPrinterTest::testEscapeBackslash1; org.apache.commons.csv.CSVPrinterTest::testEscapeBackslash4; org.apache.commons.csv.CSVPrinterTest::testEscapeBackslash5; org.apache.commons.csv.CSVPrinterTest::testEscapeNull1; org.apache.commons.csv.CSVPrinterTest::testEscapeNull4; org.apache.commons.csv.CSVPrinterTest::testEscapeNull5,
GPT5,Csv,15,15,not pass,yes,1,1,0,org.apache.commons.csv.CSVPrinterTest::testDontQuoteEuroFirstChar,
GPT5,Csv,16,16,not compilable,yes,1,1,0,org.apache.commons.csv.CSVParserTest::testIteratorSequenceBreaking,
