model,project,bug_id,variant,status,trigger_appear,n_trigger_total,n_trigger_appear,n_trigger_pred_success,matched_triggers,pred_success_triggers
GPT5,JacksonCore,1,1,not pass,yes,1,1,0,com.fasterxml.jackson.core.json.TestParserNonStandard::testAllowNaN,
GPT5,JacksonCore,2,2,not pass,yes,2,2,0,com.fasterxml.jackson.core.json.TestParserErrorHandling::testMangledNumbersBytes; com.fasterxml.jackson.core.json.TestParserErrorHandling::testMangledNumbersChars,
GPT5,JacksonCore,3,3,not pass,yes,1,1,1,com.fasterxml.jackson.core.json.TestLocation::testOffsetWithInputOffset,com.fasterxml.jackson.core.json.TestLocation::testOffsetWithInputOffset
GPT5,JacksonCore,4,4,pass,yes,1,1,1,com.fasterxml.jackson.core.util.TestTextBuffer::testExpand,com.fasterxml.jackson.core.util.TestTextBuffer::testExpand
GPT5,JacksonCore,5,5,pass,yes,1,1,1,com.fasterxml.jackson.core.TestJsonPointer::testWonkyNumber173,com.fasterxml.jackson.core.TestJsonPointer::testWonkyNumber173
GPT5,JacksonCore,6,6,pass,yes,1,1,1,com.fasterxml.jackson.core.TestJsonPointer::testIZeroIndex,com.fasterxml.jackson.core.TestJsonPointer::testIZeroIndex
GPT5,JacksonCore,7,7,pass,yes,2,2,2,com.fasterxml.jackson.core.json.GeneratorFailTest::testFailOnWritingStringNotFieldNameBytes; com.fasterxml.jackson.core.json.GeneratorFailTest::testFailOnWritingStringNotFieldNameChars,com.fasterxml.jackson.core.json.GeneratorFailTest::testFailOnWritingStringNotFieldNameBytes; com.fasterxml.jackson.core.json.GeneratorFailTest::testFailOnWritingStringNotFieldNameChars
GPT5,JacksonCore,8,8,pass,yes,1,1,1,com.fasterxml.jackson.core.util.TestTextBuffer::testEmpty,com.fasterxml.jackson.core.util.TestTextBuffer::testEmpty
GPT5,JacksonCore,9,9,not compilable,yes,2,2,2,com.fasterxml.jackson.core.json.TestJsonParser::testGetValueAsTextBytes; com.fasterxml.jackson.core.json.TestJsonParser::testGetValueAsTextChars,com.fasterxml.jackson.core.json.TestJsonParser::testGetValueAsTextBytes; com.fasterxml.jackson.core.json.TestJsonParser::testGetValueAsTextChars
GPT5,JacksonCore,10,10,not pass,yes,4,4,0,com.fasterxml.jackson.core.sym.TestByteBasedSymbols::testIssue207; com.fasterxml.jackson.core.sym.TestSymbolTables::testCollisionsWithBytesNew187b; com.fasterxml.jackson.core.sym.TestSymbolTables::testShortNameCollisionsDirectNew; com.fasterxml.jackson.core.sym.TestSymbolTables::testSyntheticWithBytesNew,
GPT5,JacksonCore,11,11,not pass,yes,1,1,0,com.fasterxml.jackson.core.sym.SymbolsViaParserTest::testSymbolTableExpansionBytes,
GPT5,JacksonCore,12,12,not pass,yes,1,1,1,com.fasterxml.jackson.core.json.LocationInObjectTest::testOffsetWithObjectFieldsUsingReader,com.fasterxml.jackson.core.json.LocationInObjectTest::testOffsetWithObjectFieldsUsingReader
GPT5,JacksonCore,12,12_1,not pass,no,1,0,0,,
GPT5,JacksonCore,13,13,not pass,yes,1,1,1,com.fasterxml.jackson.core.json.TestJsonGeneratorFeatures::testFieldNameQuotingEnabled,com.fasterxml.jackson.core.json.TestJsonGeneratorFeatures::testFieldNameQuotingEnabled
GPT5,JacksonCore,13,13_1,not pass,no,1,0,0,,
GPT5,JacksonCore,14,14,pass,yes,1,1,1,com.fasterxml.jackson.core.io.TestIOContext::testAllocations,com.fasterxml.jackson.core.io.TestIOContext::testAllocations
GPT5,JacksonCore,14,14_1,not pass,no,1,0,0,,
GPT5,JacksonCore,15,15,not pass,yes,1,1,1,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testNotAllowMultipleMatches,com.fasterxml.jackson.core.filter.BasicParserFilteringTest::testNotAllowMultipleMatches
GPT5,JacksonCore,16,16,not pass,yes,1,1,1,com.fasterxml.jackson.core.json.ParserSequenceTest::testInitialized,com.fasterxml.jackson.core.json.ParserSequenceTest::testInitialized
GPT5,JacksonCore,17,17,pass,yes,1,1,1,com.fasterxml.jackson.core.json.RawValueWithSurrogatesTest::testRawWithSurrogatesString,com.fasterxml.jackson.core.json.RawValueWithSurrogatesTest::testRawWithSurrogatesString
GPT5,JacksonCore,17,17_1,not pass,no,1,0,0,,
GPT5,JacksonCore,18,18,not pass,yes,1,1,0,com.fasterxml.jackson.core.json.TestJsonGeneratorFeatures::testTooBigBigDecimal,
GPT5,JacksonCore,18,18_1,not pass,no,1,0,0,,
GPT5,JacksonCore,19,19,pass,yes,1,1,0,com.fasterxml.jackson.core.json.TestNumericValues::testLongerFloatingPoint,
GPT5,JacksonCore,19,19_1,pass,no,1,0,0,,
