model,project,bug_id,variant,status,trigger_appear,n_trigger_total,n_trigger_appear,n_trigger_pred_success,matched_triggers,pred_success_triggers
GPT5,JacksonDatabind,1,1,not pass,no,1,0,0,,
GPT5,JacksonDatabind,1,1_1,not pass,yes,1,1,1,com.fasterxml.jackson.databind.struct.TestPOJOAsArray::testNullColumn,com.fasterxml.jackson.databind.struct.TestPOJOAsArray::testNullColumn
GPT5,JacksonDatabind,2,2,not compilable,no,1,0,0,,
GPT5,JacksonDatabind,2,2_1,not pass,no,1,0,0,,
GPT5,JacksonDatabind,2,2_2,not pass,yes,1,1,0,com.fasterxml.jackson.databind.node.TestConversions::testConversionOfPojos,
GPT5,JacksonDatabind,2,2_3,not pass,no,1,0,0,,
GPT5,JacksonDatabind,2,2_4,not pass,no,1,0,0,,
GPT5,JacksonDatabind,3,3,not pass,yes,1,1,1,com.fasterxml.jackson.databind.deser.TestArrayDeserialization::testStringArray,com.fasterxml.jackson.databind.deser.TestArrayDeserialization::testStringArray
GPT5,JacksonDatabind,3,3_1,not pass,no,1,0,0,,
GPT5,JacksonDatabind,3,3_2,not pass,no,1,0,0,,
GPT5,JacksonDatabind,3,3_3,not pass,no,1,0,0,,
GPT5,JacksonDatabind,3,3_4,not pass,no,1,0,0,,
GPT5,JacksonDatabind,4,4,not pass,yes,1,1,0,com.fasterxml.jackson.databind.deser.TestCollectionDeserialization::testArrayIndexForExceptions,
GPT5,JacksonDatabind,4,4_1,not compilable,no,1,0,0,,
GPT5,JacksonDatabind,4,4_2,not pass,no,1,0,0,,
GPT5,JacksonDatabind,4,4_3,not pass,no,1,0,0,,
GPT5,JacksonDatabind,4,4_4,not pass,no,1,0,0,,
GPT5,JacksonDatabind,5,5,not compilable,no,1,0,0,,
GPT5,JacksonDatabind,5,5_1,not compilable,yes,1,1,1,com.fasterxml.jackson.databind.introspect.TestMixinMerging::testDisappearingMixins515,com.fasterxml.jackson.databind.introspect.TestMixinMerging::testDisappearingMixins515
GPT5,JacksonDatabind,5,5_2,not pass,no,1,0,0,,
GPT5,JacksonDatabind,5,5_3,not compilable,no,1,0,0,,
