project,bug_id,folder,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,369,1,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,370,2,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,371,3,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,372,4,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,373,5,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,374,6,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,375,7,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,376,8,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,377,9,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,378,10,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,379,11,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,380,12,3,0,0,0,True
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,381,13,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,382,14,3,0,0,0,True
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,383,15,4,0,1,1,True
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,384,16,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,385,17,0,1,0,0,False
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,386,18,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,387,19,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,388,20,3,0,0,0,True
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,389,21,5,2,1,1,True
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,390,22,0,5,0,2,False
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,391,23,2,0,1,1,True
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,392,24,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,393,25,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,394,26,6,0,2,0,True
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,395,27,5,0,0,0,True
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,396,28,5,0,1,1,True
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,397,29,3,0,0,0,True
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,398,30,3,0,0,0,True
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,399,31,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,400,32,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,401,33,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,402,34,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,403,35,1,0,0,0,True
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,404,36,0,6,0,0,False
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,405,37,,,,,
Closure,1,Closure-1-buggy,function_1,,com/google/javascript/jscomp/RemoveUnusedVars.java,private void removeUnreferencedFunctionArgs(Scope fnScope) {,369,406,406,38,1,0,0,0,True
Closure,10,Closure-10-buggy,function_1,,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1415,1,,,,,
Closure,10,Closure-10-buggy,function_1,,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1416,2,2,0,2,0,True
Closure,10,Closure-10-buggy,function_1,,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1417,3,4,0,0,0,True
Closure,10,Closure-10-buggy,function_1,,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1418,4,,,,,
Closure,10,Closure-10-buggy,function_1,,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1419,5,3,0,0,0,True
Closure,10,Closure-10-buggy,function_1,,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1420,6,,,,,
Closure,10,Closure-10-buggy,function_1,,com/google/javascript/jscomp/NodeUtil.java,"static boolean mayBeString(Node n, boolean recurse) {",1415,1421,1421,7,,,,,
Closure,100,Closure-100-buggy,function_1,,com/google/javascript/jscomp/CheckGlobalThis.java,"public boolean shouldTraverse(NodeTraversal t, Node n, Node parent) {",84,128,84,1,,,,,
Closure,100,Closure-100-buggy,function_1,,com/google/javascript/jscomp/CheckGlobalThis.java,"public boolean shouldTraverse(NodeTraversal t, Node n, Node parent) {",84,128,85,2,,,,,
Closure,100,Closure-100-buggy,function_1,,com/google/javascript/jscomp/CheckGlobalThis.java,"public boolean shouldTraverse(NodeTraversal t, Node n, Node parent) {",84,128,86,3,4,0,2,0,True
Closure,100,Closure-100-buggy,function_1,,com/google/javascript/jscomp/CheckGlobalThis.java,"public boolean shouldTraverse(NodeTraversal t, Node n, Node parent) {",84,128,87,4,,,,,
Closure,100,Closure-100-buggy,function_1,,com/google/javascript/jscomp/CheckGlobalThis.java,"public boolean shouldTraverse(NodeTraversal t, Node n, Node parent) {",84,128,88,5,,,,,
Closure,100,Closure-100-buggy,function_1,,com/google/javascript/jscomp/CheckGlobalThis.java,"public boolean shouldTraverse(NodeTraversal t, Node n, Node parent) {",84,128,89,6,4,0,0,0,True
Closure,100,Closure-100-buggy,function_1,,com/google/javascript/jscomp/CheckGlobalThis.java,"public boolean shouldTraverse(NodeTraversal t, Node n, Node parent) {",84,128,90,7,2,6,1,5,True
Closure,100,Closure-100-buggy,function_1,,com/google/javascript/jscomp/CheckGlobalThis.java,"public boolean shouldTraverse(NodeTraversal t, Node n, Node parent) {",84,128,91,8,0,2,0,0,False
Closure,100,Closure-100-buggy,function_1,,com/google/javascript/jscomp/CheckGlobalThis.java,"public boolean shouldTraverse(NodeTraversal t, Node n, Node parent) {",84,128,92,9,,,,,
Closure,100,Closure-100-buggy,function_1,,com/google/javascript/jscomp/CheckGlobalThis.java,"public boolean shouldTraverse(NodeTraversal t, Node n, Node parent) {",84,128,93,10,,,,,
Closure,100,Closure-100-buggy,function_1,,com/google/javascript/jscomp/CheckGlobalThis.java,"public boolean shouldTraverse(NodeTraversal t, Node n, Node parent) {",84,128,94,11,,,,,
Closure,100,Closure-100-buggy,function_1,,com/google/javascript/jscomp/CheckGlobalThis.java,"public boolean shouldTraverse(NodeTraversal t, Node n, Node parent) {",84,128,95,12,,,,,
Closure,100,Closure-100-buggy,function_1,,com/google/javascript/jscomp/CheckGlobalThis.java,"public boolean shouldTraverse(NodeTraversal t, Node n, Node parent) {",84,128,96,13,,,,,
