project,bug_id,folder,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Jacksoncore,1,JacksonCore-1-buggy,function_1,,com/fasterxml/jackson/core/io/NumberInput.java,public static BigDecimal parseBigDecimal(String numStr) throws NumberFormatException,293,296,293,1,,,,,
Jacksoncore,1,JacksonCore-1-buggy,function_1,,com/fasterxml/jackson/core/io/NumberInput.java,public static BigDecimal parseBigDecimal(String numStr) throws NumberFormatException,293,296,294,2,,,,,
Jacksoncore,1,JacksonCore-1-buggy,function_1,,com/fasterxml/jackson/core/io/NumberInput.java,public static BigDecimal parseBigDecimal(String numStr) throws NumberFormatException,293,296,295,3,0,5,0,0,False
Jacksoncore,1,JacksonCore-1-buggy,function_1,,com/fasterxml/jackson/core/io/NumberInput.java,public static BigDecimal parseBigDecimal(String numStr) throws NumberFormatException,293,296,296,4,,,,,
Jacksoncore,1,JacksonCore-1-buggy,function_2,,com/fasterxml/jackson/core/io/NumberInput.java,"public static BigDecimal parseBigDecimal(char[] buffer, int offset, int len)",302,306,302,1,,,,,
Jacksoncore,1,JacksonCore-1-buggy,function_2,,com/fasterxml/jackson/core/io/NumberInput.java,"public static BigDecimal parseBigDecimal(char[] buffer, int offset, int len)",302,306,303,2,,,,,
Jacksoncore,1,JacksonCore-1-buggy,function_2,,com/fasterxml/jackson/core/io/NumberInput.java,"public static BigDecimal parseBigDecimal(char[] buffer, int offset, int len)",302,306,304,3,,,,,
Jacksoncore,1,JacksonCore-1-buggy,function_2,,com/fasterxml/jackson/core/io/NumberInput.java,"public static BigDecimal parseBigDecimal(char[] buffer, int offset, int len)",302,306,305,4,0,7,0,0,False
Jacksoncore,1,JacksonCore-1-buggy,function_2,,com/fasterxml/jackson/core/io/NumberInput.java,"public static BigDecimal parseBigDecimal(char[] buffer, int offset, int len)",302,306,306,5,,,,,
Jacksoncore,1,JacksonCore-1-buggy,function_3,,com/fasterxml/jackson/core/util/TextBuffer.java,public BigDecimal contentsAsDecimal(),382,399,382,1,,,,,
Jacksoncore,1,JacksonCore-1-buggy,function_3,,com/fasterxml/jackson/core/util/TextBuffer.java,public BigDecimal contentsAsDecimal(),382,399,383,2,,,,,
Jacksoncore,1,JacksonCore-1-buggy,function_3,,com/fasterxml/jackson/core/util/TextBuffer.java,public BigDecimal contentsAsDecimal(),382,399,384,3,,,,,
Jacksoncore,1,JacksonCore-1-buggy,function_3,,com/fasterxml/jackson/core/util/TextBuffer.java,public BigDecimal contentsAsDecimal(),382,399,385,4,,,,,
Jacksoncore,1,JacksonCore-1-buggy,function_3,,com/fasterxml/jackson/core/util/TextBuffer.java,public BigDecimal contentsAsDecimal(),382,399,386,5,0,3,0,2,False
Jacksoncore,1,JacksonCore-1-buggy,function_3,,com/fasterxml/jackson/core/util/TextBuffer.java,public BigDecimal contentsAsDecimal(),382,399,387,6,0,4,0,0,False
Jacksoncore,1,JacksonCore-1-buggy,function_3,,com/fasterxml/jackson/core/util/TextBuffer.java,public BigDecimal contentsAsDecimal(),382,399,388,7,,,,,
Jacksoncore,1,JacksonCore-1-buggy,function_3,,com/fasterxml/jackson/core/util/TextBuffer.java,public BigDecimal contentsAsDecimal(),382,399,389,8,,,,,
Jacksoncore,1,JacksonCore-1-buggy,function_3,,com/fasterxml/jackson/core/util/TextBuffer.java,public BigDecimal contentsAsDecimal(),382,399,390,9,0,3,0,2,False
Jacksoncore,1,JacksonCore-1-buggy,function_3,,com/fasterxml/jackson/core/util/TextBuffer.java,public BigDecimal contentsAsDecimal(),382,399,391,10,0,8,0,0,False
Jacksoncore,1,JacksonCore-1-buggy,function_3,,com/fasterxml/jackson/core/util/TextBuffer.java,public BigDecimal contentsAsDecimal(),382,399,392,11,,,,,
Jacksoncore,1,JacksonCore-1-buggy,function_3,,com/fasterxml/jackson/core/util/TextBuffer.java,public BigDecimal contentsAsDecimal(),382,399,393,12,,,,,
Jacksoncore,1,JacksonCore-1-buggy,function_3,,com/fasterxml/jackson/core/util/TextBuffer.java,public BigDecimal contentsAsDecimal(),382,399,394,13,0,3,0,2,False
