project,bug_id,folder,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,582,1,,,,,
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,583,2,,,,,
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,584,3,,,,,
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,585,4,4,0,0,0,True
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,586,5,2,0,2,0,True
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,587,6,3,0,1,1,True
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,588,7,7,0,0,0,True
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,589,8,,,,,
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,590,9,0,2,0,0,False
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,591,10,,,,,
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,592,11,,,,,
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,593,12,,,,,
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,594,13,3,0,0,0,True
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,595,14,2,0,1,1,True
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,596,15,0,3,0,0,False
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,597,16,0,3,0,0,False
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,598,17,0,4,0,0,False
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,599,18,0,2,0,2,False
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,600,19,0,6,0,0,False
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,601,20,,,,,
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,602,21,,,,,
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,603,22,,,,,
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,604,23,3,0,1,1,True
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,605,24,0,4,0,2,False
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,606,25,0,4,0,2,False
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,607,26,0,5,0,0,False
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,608,27,0,1,0,0,False
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,609,28,,,,,
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,610,29,0,5,0,2,False
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,611,30,0,5,0,0,False
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,612,31,0,1,0,0,False
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,613,32,,,,,
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,614,33,,,,,
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,615,34,,,,,
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,616,35,3,0,1,1,True
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,617,36,0,4,0,0,False
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,618,37,,,,,
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,619,38,3,0,1,1,True
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,620,39,6,0,0,0,True
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,621,40,,,,,
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,622,41,0,7,0,0,False
Jacksondatabind,1,JacksonDatabind-1-buggy,function_1,,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,624,623,42,,,,,
