project,bug_id,folder,class_entry,file,method_sig_snippet,fixed_method_start_line,fixed_method_end_line
Codec,1,Codec-1-buggy,org.apache.commons.codec.language.Caverphone,org/apache/commons/codec/language/Caverphone.java,public String caverphone(String txt) {,50,140
Codec,1,Codec-1-buggy,org.apache.commons.codec.language.Metaphone,org/apache/commons/codec/language/Metaphone.java,public String metaphone(String txt) {,81,313
Codec,1,Codec-1-buggy,org.apache.commons.codec.language.SoundexUtils,org/apache/commons/codec/language/SoundexUtils.java,static String clean(String str) {,40,56
Codec,10,Codec-10-buggy,org.apache.commons.codec.language.Caverphone,org/apache/commons/codec/language/Caverphone.java,public String caverphone(String txt) {,50,142
Codec,11,Codec-11-buggy,org.apache.commons.codec.net.QuotedPrintableCodec,org/apache/commons/codec/net/QuotedPrintableCodec.java,"private static final void encodeQuotedPrintable(int b, ByteArrayOutputStream buffer) {",114,120
Codec,11,Codec-11-buggy,org.apache.commons.codec.net.QuotedPrintableCodec,org/apache/commons/codec/net/QuotedPrintableCodec.java,"public static final byte[] encodeQuotedPrintable(BitSet printable, byte[] bytes) {",167,202
Codec,11,Codec-11-buggy,org.apache.commons.codec.net.QuotedPrintableCodec,org/apache/commons/codec/net/QuotedPrintableCodec.java,public static final byte[] decodeQuotedPrintable(byte[] bytes) throws DecoderException {,219,248
Codec,12,Codec-12-buggy,org.apache.commons.codec.binary.BaseNCodecInputStream,org/apache/commons/codec/binary/BaseNCodecInputStream.java,public boolean markSupported() {,133,135
Codec,14,Codec-14-buggy,org.apache.commons.codec.language.bm.PhoneticEngine,org/apache/commons/codec/language/bm/PhoneticEngine.java,"private PhonemeBuilder applyFinalRules(final PhonemeBuilder phonemeBuilder, final Map<String, List<Rule>> finalRules) {",329,378
Codec,14,Codec-14-buggy,org.apache.commons.codec.language.bm.Rule,org/apache/commons/codec/language/bm/Rule.java,public Phoneme join(final Phoneme right) {,146,149
Codec,15,Codec-15-buggy,org.apache.commons.codec.language.Soundex,org/apache/commons/codec/language/Soundex.java,"private char getMappingCode(final String str, final int index) {",183,198
Codec,17,Codec-17-buggy,org.apache.commons.codec.binary.StringUtils,org/apache/commons/codec/binary/StringUtils.java,public static String newStringIso8859_1(final byte[] bytes) {,338,343
Codec,18,Codec-18-buggy,org.apache.commons.codec.binary.StringUtils,org/apache/commons/codec/binary/StringUtils.java,"public static boolean equals(final CharSequence cs1, final CharSequence cs2) {",71,82
Codec,2,Codec-2-buggy,org.apache.commons.codec.binary.Base64,org/apache/commons/codec/binary/Base64.java,"void encode(byte[] in, int inPos, int inAvail) {",414,475
Codec,3,Codec-3-buggy,org.apache.commons.codec.language.DoubleMetaphone,org/apache/commons/codec/language/DoubleMetaphone.java,"private int handleG(String value, DoubleMetaphoneResult result, int index, boolean slavoGermanic) {",418,469
Codec,4,Codec-4-buggy,org.apache.commons.codec.binary.Base64,org/apache/commons/codec/binary/Base64.java,public Base64() {,224,226
Codec,5,Codec-5-buggy,org.apache.commons.codec.binary.Base64,org/apache/commons/codec/binary/Base64.java,"void decode(byte[] in, int inPos, int inAvail) {",550,601
Codec,6,Codec-6-buggy,org.apache.commons.codec.binary.Base64InputStream,org/apache/commons/codec/binary/Base64InputStream.java,"public int read(byte b[], int offset, int len) throws IOException {",138,180
Codec,7,Codec-7-buggy,org.apache.commons.codec.binary.Base64,org/apache/commons/codec/binary/Base64.java,public static String encodeBase64String(byte[] binaryData) {,669,674
Codec,8,Codec-8-buggy,org.apache.commons.codec.binary.Base64,org/apache/commons/codec/binary/Base64.java,"void setInitialBuffer(byte[] out, int outPos, int outAvail) {",419,425
Codec,8,Codec-8-buggy,org.apache.commons.codec.binary.Base64InputStream,org/apache/commons/codec/binary/Base64InputStream.java,"public int read(byte b[], int offset, int len) throws IOException {",138,182
Codec,9,Codec-9-buggy,org.apache.commons.codec.binary.Base64,org/apache/commons/codec/binary/Base64.java,"public static byte[] encodeBase64(byte[] binaryData, boolean isChunked, boolean urlSafe, int maxResultSize) {",822,837
