project,bug_id,folder,class_entry,file,method_sig_snippet,fixed_method_start_line,fixed_method_end_line
Lang,1,Lang-1-buggy,org.apache.commons.lang3.math.NumberUtils,org/apache/commons/lang3/math/NumberUtils.java,public static Number createNumber(final String str) throws NumberFormatException {,450,622
Lang,10,Lang-10-buggy,org.apache.commons.lang3.time.FastDateParser,org/apache/commons/lang3/time/FastDateParser.java,"private static StringBuilder escapeRegex(StringBuilder regex, String value, boolean unquote) {",303,343
Lang,11,Lang-11-buggy,org.apache.commons.lang3.RandomStringUtils,org/apache/commons/lang3/RandomStringUtils.java,"public static String random(int count, int start, int end, boolean letters, boolean numbers, char[] chars, Random random) {",223,291
Lang,12,Lang-12-buggy,org.apache.commons.lang3.RandomStringUtils,org/apache/commons/lang3/RandomStringUtils.java,"public static String random(int count, int start, int end, boolean letters, boolean numbers, char[] chars, Random random) {",223,286
Lang,13,Lang-13-buggy,org.apache.commons.lang3.SerializationUtils,org/apache/commons/lang3/SerializationUtils.java,public static Object deserialize(byte[] objectData) {,217,223
Lang,13,Lang-13-buggy,org.apache.commons.lang3.SerializationUtils,org/apache/commons/lang3/SerializationUtils.java,"public ClassLoaderAwareObjectInputStream(InputStream in, ClassLoader classLoader) throws IOException {",248,252
Lang,13,Lang-13-buggy,org.apache.commons.lang3.SerializationUtils,org/apache/commons/lang3/SerializationUtils.java,"protected Class<?> resolveClass(ObjectStreamClass desc) throws IOException, ClassNotFoundException {",263,274
Lang,14,Lang-14-buggy,org.apache.commons.lang3.StringUtils,org/apache/commons/lang3/StringUtils.java,"public static boolean equals(CharSequence cs1, CharSequence cs2) {",781,801
Lang,15,Lang-15-buggy,org.apache.commons.lang3.reflect.TypeUtils,org/apache/commons/lang3/reflect/TypeUtils.java,"private static boolean isAssignable(Type type, ParameterizedType toParameterizedType, Map<TypeVariable<?>, Type> typeVarAssigns) {",179,235
Lang,15,Lang-15-buggy,org.apache.commons.lang3.reflect.TypeUtils,org/apache/commons/lang3/reflect/TypeUtils.java,"private static Map<TypeVariable<?>, Type> getTypeArguments(Class<?> cls, Class<?> toClass, Map<TypeVariable<?>, Type> subtypeVarAssigns) {",650,681
Lang,16,Lang-16-buggy,org.apache.commons.lang3.math.NumberUtils,org/apache/commons/lang3/math/NumberUtils.java,public static Number createNumber(String str) throws NumberFormatException {,444,594
Lang,17,Lang-17-buggy,org.apache.commons.lang3.text.translate.CharSequenceTranslator,org/apache/commons/lang3/text/translate/CharSequenceTranslator.java,"public final void translate(CharSequence input, Writer out) throws IOException {",75,100
Lang,19,Lang-19-buggy,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",37,86
Lang,20,Lang-20-buggy,org.apache.commons.lang3.StringUtils,org/apache/commons/lang3/StringUtils.java,"public static String join(Object[] array, char separator, int startIndex, int endIndex) {",3289,3309
Lang,20,Lang-20-buggy,org.apache.commons.lang3.StringUtils,org/apache/commons/lang3/StringUtils.java,"public static String join(Object[] array, String separator, int startIndex, int endIndex) {",3368,3394
Lang,21,Lang-21-buggy,org.apache.commons.lang3.time.DateUtils,org/apache/commons/lang3/time/DateUtils.java,"public static boolean isSameLocalTime(Calendar cal1, Calendar cal2) {",258,270
Lang,22,Lang-22-buggy,org.apache.commons.lang3.math.Fraction,org/apache/commons/lang3/math/Fraction.java,"private static int greatestCommonDivisor(int u, int v) {",581,624
Lang,24,Lang-24-buggy,org.apache.commons.lang3.math.NumberUtils,org/apache/commons/lang3/math/NumberUtils.java,public static boolean isNumber(String str) {,1319,1421
Lang,26,Lang-26-buggy,org.apache.commons.lang3.time.FastDateFormat,org/apache/commons/lang3/time/FastDateFormat.java,public String format(Date date) {,819,823
Lang,27,Lang-27-buggy,org.apache.commons.lang3.math.NumberUtils,org/apache/commons/lang3/math/NumberUtils.java,public static Number createNumber(String str) throws NumberFormatException {,452,599
Lang,28,Lang-28-buggy,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,"public int translate(CharSequence input, int index, Writer out) throws IOException {",35,73
Lang,29,Lang-29-buggy,org.apache.commons.lang3.SystemUtils,org/apache/commons/lang3/SystemUtils.java,static float toJavaVersionInt(String version) {,1672,1674
Lang,3,Lang-3-buggy,org.apache.commons.lang3.math.NumberUtils,org/apache/commons/lang3/math/NumberUtils.java,public static Number createNumber(final String str) throws NumberFormatException {,450,614
Lang,30,Lang-30-buggy,org.apache.commons.lang3.StringUtils,org/apache/commons/lang3/StringUtils.java,"public static int indexOfAny(CharSequence cs, char[] searchChars) {",1371,1394
Lang,30,Lang-30-buggy,org.apache.commons.lang3.StringUtils,org/apache/commons/lang3/StringUtils.java,"public static boolean containsAny(CharSequence cs, char[] searchChars) {",1450,1475
Lang,30,Lang-30-buggy,org.apache.commons.lang3.StringUtils,org/apache/commons/lang3/StringUtils.java,"public static boolean containsAny(CharSequence cs, String searchChars) {",1504,1509
Lang,30,Lang-30-buggy,org.apache.commons.lang3.StringUtils,org/apache/commons/lang3/StringUtils.java,"public static int indexOfAnyBut(CharSequence cs, char[] searchChars) {",1535,1561
Lang,30,Lang-30-buggy,org.apache.commons.lang3.StringUtils,org/apache/commons/lang3/StringUtils.java,"public static int indexOfAnyBut(String str, String searchChars) {",1585,1597
Lang,30,Lang-30-buggy,org.apache.commons.lang3.StringUtils,org/apache/commons/lang3/StringUtils.java,"public static boolean containsNone(CharSequence cs, char[] searchChars) {",1689,1712
Lang,31,Lang-31-buggy,org.apache.commons.lang3.StringUtils,org/apache/commons/lang3/StringUtils.java,"public static boolean containsAny(CharSequence cs, char[] searchChars) {",1440,1464
Lang,32,Lang-32-buggy,org.apache.commons.lang3.builder.HashCodeBuilder,org/apache/commons/lang3/builder/HashCodeBuilder.java,protected Set<IDKey> initialValue() {,106,108
Lang,32,Lang-32-buggy,org.apache.commons.lang3.builder.HashCodeBuilder,org/apache/commons/lang3/builder/HashCodeBuilder.java,static boolean isRegistered(Object value) {,151,153
Lang,32,Lang-32-buggy,org.apache.commons.lang3.builder.HashCodeBuilder,org/apache/commons/lang3/builder/HashCodeBuilder.java,static void register(Object value) {,521,523
Lang,32,Lang-32-buggy,org.apache.commons.lang3.builder.HashCodeBuilder,org/apache/commons/lang3/builder/HashCodeBuilder.java,static void unregister(Object value) {,537,543
Lang,33,Lang-33-buggy,org.apache.commons.lang3.ClassUtils,org/apache/commons/lang3/ClassUtils.java,public static Class<?>[] toClass(Object[] array) {,902,913
Lang,34,Lang-34-buggy,org.apache.commons.lang3.builder.ToStringStyle,org/apache/commons/lang3/builder/ToStringStyle.java,"static Map<Object, Object> getRegistry() {",147,149
Lang,34,Lang-34-buggy,org.apache.commons.lang3.builder.ToStringStyle,org/apache/commons/lang3/builder/ToStringStyle.java,static boolean isRegistered(Object value) {,162,165
Lang,35,Lang-35-buggy,org.apache.commons.lang3.ArrayUtils,org/apache/commons/lang3/ArrayUtils.java,"public static <T> T[] add(T[] array, T element) {",3288,3301
Lang,35,Lang-35-buggy,org.apache.commons.lang3.ArrayUtils,org/apache/commons/lang3/ArrayUtils.java,"public static <T> T[] add(T[] array, int index, T element) {",3567,3579
Lang,36,Lang-36-buggy,org.apache.commons.lang3.math.NumberUtils,org/apache/commons/lang3/math/NumberUtils.java,public static Number createNumber(String str) throws NumberFormatException {,448,595
Lang,36,Lang-36-buggy,org.apache.commons.lang3.math.NumberUtils,org/apache/commons/lang3/math/NumberUtils.java,public static boolean isNumber(String str) {,1312,1414
Lang,37,Lang-37-buggy,org.apache.commons.lang3.ArrayUtils,org/apache/commons/lang3/ArrayUtils.java,"public static <T> T[] addAll(T[] array1, T... array2) {",2953,2972
Lang,38,Lang-38-buggy,org.apache.commons.lang3.time.FastDateFormat,org/apache/commons/lang3/time/FastDateFormat.java,"public StringBuffer format(Calendar calendar, StringBuffer buf) {",870,876
Lang,39,Lang-39-buggy,org.apache.commons.lang3.StringUtils,org/apache/commons/lang3/StringUtils.java,"private static String replaceEach(String text, String[] searchList, String[] replacementList, boolean repeat, int timeToLive)",3605,3734
Lang,4,Lang-4-buggy,org.apache.commons.lang3.text.translate.LookupTranslator,org/apache/commons/lang3/text/translate/LookupTranslator.java,public LookupTranslator(final CharSequence[]... lookup) {,45,63
Lang,4,Lang-4-buggy,org.apache.commons.lang3.text.translate.LookupTranslator,org/apache/commons/lang3/text/translate/LookupTranslator.java,"public int translate(final CharSequence input, final int index, final Writer out) throws IOException {",69,84
Lang,40,Lang-40-buggy,org.apache.commons.lang.StringUtils,org/apache/commons/lang/StringUtils.java,"public static boolean containsIgnoreCase(String str, String searchStr) {",1044,1049
Lang,41,Lang-41-buggy,org.apache.commons.lang.ClassUtils,org/apache/commons/lang/ClassUtils.java,public static String getShortClassName(String className) {,183,204
Lang,41,Lang-41-buggy,org.apache.commons.lang.ClassUtils,org/apache/commons/lang/ClassUtils.java,public static String getPackageName(String className) {,244,257
Lang,42,Lang-42-buggy,org.apache.commons.lang.Entities,org/apache/commons/lang/Entities.java,"public void escape(Writer writer, String str) throws IOException {",825,857
Lang,43,Lang-43-buggy,org.apache.commons.lang.text.ExtendedMessageFormat,org/apache/commons/lang/text/ExtendedMessageFormat.java,"private StringBuffer appendQuotedString(String pattern, ParsePosition pos, StringBuffer appendTo, boolean escapingOn) {",417,444
Lang,44,Lang-44-buggy,org.apache.commons.lang.NumberUtils,org/apache/commons/lang/NumberUtils.java,public static Number createNumber(String val) throws NumberFormatException {,138,286
Lang,45,Lang-45-buggy,org.apache.commons.lang.WordUtils,org/apache/commons/lang/WordUtils.java,"public static String abbreviate(String str, int lower, int upper, String appendToEnd) {",605,643
Lang,46,Lang-46-buggy,org.apache.commons.lang.StringEscapeUtils,org/apache/commons/lang/StringEscapeUtils.java,public static String escapeJava(String str) {,85,87
Lang,46,Lang-46-buggy,org.apache.commons.lang.StringEscapeUtils,org/apache/commons/lang/StringEscapeUtils.java,"public static void escapeJava(Writer out, String str) throws IOException {",101,103
Lang,46,Lang-46-buggy,org.apache.commons.lang.StringEscapeUtils,org/apache/commons/lang/StringEscapeUtils.java,public static String escapeJavaScript(String str) {,126,128
Lang,46,Lang-46-buggy,org.apache.commons.lang.StringEscapeUtils,org/apache/commons/lang/StringEscapeUtils.java,"public static void escapeJavaScript(Writer out, String str) throws IOException {",142,144
Lang,46,Lang-46-buggy,org.apache.commons.lang.StringEscapeUtils,org/apache/commons/lang/StringEscapeUtils.java,"private static String escapeJavaStyleString(String str, boolean escapeSingleQuotes) {",154,167
