project,bug_id,folder,class_entry,file,method_sig_snippet,fixed_method_start_line,fixed_method_end_line
Time,10,Time-10-buggy,org.joda.time.base.BaseSingleFieldPeriod,org/joda/time/base/BaseSingleFieldPeriod.java,"protected static int between(ReadablePartial start, ReadablePartial end, ReadablePeriod zeroInstance) {",88,108
Time,12,Time-12-buggy,org.joda.time.LocalDate,org/joda/time/LocalDate.java,public static LocalDate fromCalendarFields(Calendar calendar) {,206,221
Time,12,Time-12-buggy,org.joda.time.LocalDate,org/joda/time/LocalDate.java,public static LocalDate fromDateFields(Date date) {,244,254
Time,12,Time-12-buggy,org.joda.time.LocalDateTime,org/joda/time/LocalDateTime.java,public static LocalDateTime fromCalendarFields(Calendar calendar) {,195,214
Time,12,Time-12-buggy,org.joda.time.LocalDateTime,org/joda/time/LocalDateTime.java,public static LocalDateTime fromDateFields(Date date) {,237,251
Time,13,Time-13-buggy,org.joda.time.format.PeriodFormatterBuilder,org/joda/time/format/PeriodFormatterBuilder.java,"public int calculatePrintedLength(ReadablePeriod period, Locale locale) {",1088,1118
Time,13,Time-13-buggy,org.joda.time.format.PeriodFormatterBuilder,org/joda/time/format/PeriodFormatterBuilder.java,"public void printTo(StringBuffer buf, ReadablePeriod period, Locale locale) {",1120,1149
Time,14,Time-14-buggy,org.joda.time.chrono.BasicMonthOfYearDateTimeField,org/joda/time/chrono/BasicMonthOfYearDateTimeField.java,"public int[] add(ReadablePartial partial, int fieldIndex, int[] values, int valueToAdd) {",203,220
Time,15,Time-15-buggy,org.joda.time.field.FieldUtils,org/joda/time/field/FieldUtils.java,"public static long safeMultiply(long val1, int val2) {",135,152
Time,16,Time-16-buggy,org.joda.time.format.DateTimeFormatter,org/joda/time/format/DateTimeFormatter.java,"public int parseInto(ReadWritableInstant instant, String text, int position) {",697,727
Time,17,Time-17-buggy,org.joda.time.DateTimeZone,org/joda/time/DateTimeZone.java,"public long adjustOffset(long instant, boolean earlierOrLater) {",1163,1180
Time,18,Time-18-buggy,org.joda.time.chrono.GJChronology,org/joda/time/chrono/GJChronology.java,"public long getDateTimeMillis(int year, int monthOfYear, int dayOfMonth, int hourOfDay, int minuteOfHour, int secondOfMinute, int millisOfSecond)",350,388
Time,19,Time-19-buggy,org.joda.time.DateTimeZone,org/joda/time/DateTimeZone.java,public int getOffsetFromLocal(long instantLocal) {,880,911
Time,20,Time-20-buggy,org.joda.time.format.DateTimeFormatterBuilder,org/joda/time/format/DateTimeFormatterBuilder.java,"public int parseInto(DateTimeParserBucket bucket, String text, int position) {",2540,2557
Time,6,Time-6-buggy,org.joda.time.chrono.GJChronology,org/joda/time/chrono/GJChronology.java,"public static synchronized GJChronology getInstance( DateTimeZone zone, ReadableInstant gregorianCutover, int minDaysInFirstWeek) {",185,230
Time,6,Time-6-buggy,org.joda.time.chrono.GJChronology,org/joda/time/chrono/GJChronology.java,"public long add(long instant, int value) {",973,993
Time,6,Time-6-buggy,org.joda.time.chrono.GJChronology,org/joda/time/chrono/GJChronology.java,"public long add(long instant, long value) {",995,1015
Time,7,Time-7-buggy,org.joda.time.format.DateTimeFormatter,org/joda/time/format/DateTimeFormatter.java,"public int parseInto(ReadWritableInstant instant, String text, int position) {",700,728
Time,8,Time-8-buggy,org.joda.time.DateTimeZone,org/joda/time/DateTimeZone.java,"public static DateTimeZone forOffsetHoursMinutes(int hoursOffset, int minutesOffset) throws IllegalArgumentException {",272,295
Time,9,Time-9-buggy,org.joda.time.DateTimeZone,org/joda/time/DateTimeZone.java,"public static DateTimeZone forOffsetHoursMinutes(int hoursOffset, int minutesOffset) throws IllegalArgumentException {",253,273
Time,9,Time-9-buggy,org.joda.time.DateTimeZone,org/joda/time/DateTimeZone.java,public static DateTimeZone forOffsetMillis(int millisOffset) {,281,284
