project,bug_id,folder,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Jsoup,1,Jsoup-1-buggy,function_1,,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,113,1,,,,,
Jsoup,1,Jsoup-1-buggy,function_1,,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,114,2,4,0,0,0,True
Jsoup,1,Jsoup-1-buggy,function_1,,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,115,3,11,0,2,0,True
Jsoup,1,Jsoup-1-buggy,function_1,,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,116,4,3,0,2,0,True
Jsoup,1,Jsoup-1-buggy,function_1,,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,117,5,3,0,0,0,True
Jsoup,1,Jsoup-1-buggy,function_1,,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,118,6,3,0,1,1,True
Jsoup,1,Jsoup-1-buggy,function_1,,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,119,7,4,0,0,0,True
Jsoup,1,Jsoup-1-buggy,function_1,,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,120,8,,,,,
Jsoup,1,Jsoup-1-buggy,function_1,,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,121,9,1,0,0,0,True
Jsoup,1,Jsoup-1-buggy,function_1,,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,122,10,,,,,
Jsoup,1,Jsoup-1-buggy,function_1,,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,123,11,9,0,2,0,True
Jsoup,1,Jsoup-1-buggy,function_1,,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,124,12,5,0,0,0,True
Jsoup,1,Jsoup-1-buggy,function_1,,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,125,13,3,0,0,0,True
Jsoup,1,Jsoup-1-buggy,function_1,,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,126,14,5,0,0,0,True
Jsoup,1,Jsoup-1-buggy,function_1,,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,127,15,,,,,
Jsoup,1,Jsoup-1-buggy,function_1,,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,128,128,16,1,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,156,1,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,157,2,2,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,158,3,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,159,4,4,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,160,5,4,0,1,1,True
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,161,6,0,2,0,0,False
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,162,7,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,163,8,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,164,9,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,165,10,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,166,11,6,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,167,12,0,1,0,0,False
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,168,13,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,169,14,0,5,0,0,False
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,170,15,0,3,0,0,False
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,171,16,1,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,172,17,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,173,18,4,0,2,0,True
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,174,19,10,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,175,20,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,176,21,6,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,177,22,3,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,178,23,0,1,0,0,False
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,179,24,0,2,0,0,False
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,180,25,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,181,26,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,182,182,27,,,,,
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,104,1,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,105,2,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,106,3,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,107,4,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,108,5,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,109,6,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,110,7,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,111,8,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,112,9,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,113,10,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,114,11,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,115,12,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,116,13,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,117,14,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,118,15,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,119,16,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,120,17,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,121,18,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,122,19,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,123,20,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,124,21,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,125,22,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,126,23,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,127,24,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,128,25,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,129,26,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,130,27,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,131,28,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,132,29,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_1,,org/jsoup/select/Selector.java,private Elements select() {,104,133,133,30,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,154,1,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,155,2,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,156,3,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,157,4,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,158,5,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,159,6,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,160,7,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,161,8,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,162,9,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,163,10,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,164,11,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,165,12,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,166,13,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,167,14,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,168,15,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,169,16,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,170,17,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,171,18,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,172,19,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,173,20,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,174,21,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,175,22,,,,,Not Compilable
Jsoup,11,Jsoup-11-buggy,function_2,,org/jsoup/select/Selector.java,private Elements findElements() {,154,186,176,23,,,,,Not Compilable
