project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,patch,,testcase,,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Closure,55,Closure-55-buggy_ind2,add_test1.java,com.google.javascript.jscomp.FunctionRewriterTest,testMixedGetterSetterNotReduced,Not Compilable,Pass,Not Compilable,Pass,,,,,0,0,Not Compilable,Not Compilable,0,0,Not Compilable,Not Compilable,3,0,0,0,3,0,0,0,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Collections,8,Collections-8-buggy_ind1,add_test.java,org.apache.commons.collections.buffer.TestUnboundedFifoBuffer,testCollections220_MultipleElements,Pass,Pass,Pass,Pass,Plausible Patch,"the bug is not about preserving element order or basic queue operations after deserializing a non-empty buffer, but about incorrectly reconstructing the internal capacity/state during deserialization.",Not Testing the bug,"the bug is not about preserving element order or basic queue operations after deserializing a non-empty buffer, but about incorrectly reconstructing the internal capacity/state during deserialization.",13,0.9286,16,0.9412,2,1,3,1,36,14,2,2,49,1,4,0,39,17,3,3,55,1,6,0
Cli,34,Cli-34-buggy_ind1,add_test.java,org.apache.commons.cli.OptionBuilderTest,testTypeNotResetAfterCreate,Pass,Not Pass,Pass,Pass,Fixed,,Good,,0,0,0,0,0,0,0,0,17,0,0,0,17,0,0,0,17,0,0,0,17,0,0,0
Closure,26,Closure-26-buggy_ind3,add_test2.java,com.google.javascript.jscomp.ProcessCommonJSModulesTest,testFilenameWithoutPrefix,Not Pass,Not Pass,Not Pass,Pass,Not fixing the correct part,Developer fix corrects module export logic; model fix only prevents an NPE in filename normalization.,Testing its own fix but test the bug by accident,"The testcase was probably written to test the model’s filename-handling fix, but it does not directly validate that fix. It passes on the official developer fix because it accidentally exercises the real bug: buggy code generates an unnecessary module$exports override, while the developer-fixed code does not.",0,0,0,0,0,0,0,0,27,35,1,1,27,35,1,1,29,35,2,2,29,35,2,2
Time,26,Time-26-buggy_ind2,add_test1.java,org.joda.time.TestDateTimeZoneCutover,testAddWrapFieldInDstChange,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,1,Closure-1-buggy_ind3,add_test2.java,com.google.javascript.jscomp.CommandLineRunnerTest,testAdvancedModeRemovesUnusedParams,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,126,Closure-126-buggy_ind2,add_test1.java,com.google.javascript.jscomp.MinimizeExitPointsTest,testDontMinimizeExitsInTryFinally,Pass,Not Pass,Not Pass,Not Pass,Plausible Patch,Extra Return,Wrong,"As long as the finally block is not optimized, this case should remain unchanged.",0,0,0,0,0,0,0,0,160,8,27,3,160,8,27,3,158,0,27,1,158,0,27,1
Jacksondatabind,63,JacksonDatabind-63-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.deser.exc.ExceptionPathTest,testReferenceChainForTopLevelClass,Not Pass,Not Pass,Not Pass,Not Pass,,,,,0,0,0,0,0,0,0,0,72,18,6,6,72,18,6,6,83,18,7,7,83,18,7,7
Mockito,36,Mockito-36-buggy_ind1,add_test.java,org.mockito.internal.invocation.InvocationTest,shouldAllowCallingRealMethodOnConcreteClass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksondatabind,66,JacksonDatabind-66-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.module.TestCustomEnumKeyDeserializer,testCustomEnumKeyDeserializerWithNullKey,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
