project,bug_id
Chart,1
Chart,2
Chart,3
Chart,4
Chart,5
Chart,6
Chart,7
Chart,8
Chart,9
Chart,10
Chart,11
Chart,12
Chart,13
Chart,14
Chart,15
Chart,16
Chart,17
Chart,18
Chart,19
Chart,20
Chart,21
Chart,22
Chart,23
Chart,24
Chart,25
Chart,26
Cli,1
Cli,2
Cli,3
Cli,4
Cli,5
Cli,8
Cli,9
Cli,10
Cli,11
Cli,12
Cli,13
Cli,14
Cli,15
Cli,16
Cli,17
Cli,18
Cli,19
Cli,20
Cli,21
Cli,22
Cli,23
Cli,24
Cli,25
Cli,26
Cli,27
Cli,28
Cli,29
Cli,30
Cli,31
Cli,32
Cli,33
Cli,34
Cli,35
Cli,37
Cli,38
Cli,39
Cli,40
Closure,1
Closure,2
Closure,3
Closure,4
Closure,5
Closure,6
Closure,7
Closure,8
Closure,9
Closure,10
Closure,11
Closure,12
Closure,13
Closure,14
Closure,15
Closure,16
Closure,17
Closure,18
Closure,19
Closure,20
Closure,21
Closure,22
Closure,23
Closure,24
Closure,25
Closure,26
Closure,27
Closure,28
Closure,29
Closure,30
Closure,31
Closure,32
Closure,33
Closure,34
Closure,35
Closure,36
Closure,37
Closure,38
Closure,39
Closure,40
Closure,41
Closure,42
Closure,43
Closure,44
Closure,45
Closure,46
Closure,47
Closure,48
Closure,49
Closure,50
Closure,51
Closure,52
Closure,53
Closure,54
Closure,55
Closure,56
Closure,57
Closure,58
Closure,59
Closure,60
Closure,61
Closure,62
Closure,64
Closure,65
Closure,66
Closure,67
Closure,68
Closure,69
Closure,70
Closure,71
Closure,72
Closure,73
Closure,74
Closure,75
Closure,76
Closure,77
Closure,78
Closure,79
Closure,80
Closure,81
Closure,82
Closure,83
Closure,84
Closure,85
Closure,86
Closure,87
Closure,88
Closure,89
Closure,90
Closure,91
Closure,92
Closure,94
Closure,95
Closure,96
Closure,97
Closure,98
Closure,99
Closure,100
Closure,101
Closure,102
Closure,103
Closure,104
Closure,105
Closure,106
Closure,107
Closure,108
Closure,109
Closure,110
Closure,111
Closure,112
Closure,113
Closure,114
Closure,115
Closure,116
Closure,117
Closure,118
Closure,119
Closure,120
Closure,121
Closure,122
Closure,123
Closure,124
Closure,125
Closure,126
Closure,127
Closure,128
Closure,129
Closure,130
Closure,131
Closure,132
Closure,133
Closure,134
Closure,135
Closure,136
Closure,137
Closure,138
Closure,139
Closure,140
Closure,141
Closure,142
Closure,143
Closure,144
Closure,145
Closure,146
Closure,147
Closure,148
Closure,149
Closure,151
Closure,152
Closure,153
Closure,154
Closure,155
Closure,156
Closure,157
Closure,158
Closure,159
Closure,160
Closure,161
Closure,162
Closure,163
Closure,164
Closure,165
Closure,166
Closure,167
Closure,169
Closure,170
Closure,171
Closure,172
Closure,173
Closure,174
Closure,175
Closure,176
Codec,1
Codec,2
Codec,3
Codec,4
Codec,5
Codec,6
Codec,7
Codec,8
Codec,9
Codec,10
Codec,11
Codec,12
Codec,14
Codec,15
Codec,17
Codec,18
Collections,1
Collections,2
Collections,3
Collections,4
Collections,5
Collections,6
Collections,7
Collections,8
Collections,9
Collections,11
Collections,12
Collections,13
Collections,14
Collections,15
Collections,16
Collections,17
Collections,18
Collections,19
Collections,20
Collections,21
Collections,22
Collections,23
Collections,24
Collections,25
Collections,26
Collections,27
Collections,28
Compress,1
Compress,2
Compress,3
Compress,4
Compress,5
Compress,6
Compress,7
Compress,8
Compress,9
Compress,10
Compress,11
Compress,12
Compress,13
Compress,14
Compress,15
Compress,16
Compress,17
Compress,18
Compress,19
Compress,20
Compress,21
Compress,22
Compress,23
Compress,24
Compress,25
Compress,26
Compress,27
Compress,28
Compress,29
Compress,30
Compress,31
Compress,32
Compress,33
Compress,34
Compress,35
Compress,36
Compress,37
Compress,38
Compress,39
Compress,40
Compress,41
Compress,42
Compress,43
Compress,44
Compress,45
Compress,46
Compress,47
Csv,1
Csv,2
Csv,3
Csv,4
Csv,5
Csv,6
Csv,7
Csv,8
Csv,9
Csv,10
Csv,11
Csv,13
Csv,14
Csv,15
Csv,16
Gson,1
Gson,2
Gson,3
Gson,4
Gson,5
Gson,6
Gson,7
Gson,8
Gson,9
Gson,10
Gson,11
Gson,12
Gson,13
Gson,14
Gson,15
Gson,16
Gson,17
Gson,18
Jacksoncore,1
Jacksoncore,2
Jacksoncore,3
Jacksoncore,4
Jacksoncore,5
Jacksoncore,6
Jacksoncore,7
Jacksoncore,8
Jacksoncore,9
Jacksoncore,10
Jacksoncore,11
Jacksoncore,12
Jacksoncore,13
Jacksoncore,14
Jacksoncore,15
Jacksoncore,16
Jacksoncore,17
Jacksoncore,18
Jacksoncore,19
Jacksoncore,20
Jacksoncore,21
Jacksoncore,22
Jacksoncore,23
Jacksoncore,24
Jacksoncore,25
Jacksoncore,26
Jacksondatabind,1
Jacksondatabind,2
Jacksondatabind,3
Jacksondatabind,4
Jacksondatabind,5
Jacksondatabind,6
Jacksondatabind,7
Jacksondatabind,8
Jacksondatabind,9
Jacksondatabind,10
Jacksondatabind,11
Jacksondatabind,12
Jacksondatabind,13
Jacksondatabind,14
Jacksondatabind,15
Jacksondatabind,16
Jacksondatabind,17
Jacksondatabind,18
Jacksondatabind,19
Jacksondatabind,20
Jacksondatabind,21
Jacksondatabind,22
Jacksondatabind,23
Jacksondatabind,24
Jacksondatabind,25
Jacksondatabind,27
Jacksondatabind,28
Jacksondatabind,29
Jacksondatabind,30
Jacksondatabind,31
Jacksondatabind,32
Jacksondatabind,33
Jacksondatabind,34
Jacksondatabind,35
Jacksondatabind,36
Jacksondatabind,37
Jacksondatabind,38
Jacksondatabind,39
Jacksondatabind,41
Jacksondatabind,42
Jacksondatabind,43
Jacksondatabind,44
Jacksondatabind,45
Jacksondatabind,46
Jacksondatabind,47
Jacksondatabind,48
Jacksondatabind,49
Jacksondatabind,50
Jacksondatabind,51
Jacksondatabind,52
Jacksondatabind,53
Jacksondatabind,54
Jacksondatabind,55
Jacksondatabind,56
Jacksondatabind,57
Jacksondatabind,58
Jacksondatabind,59
Jacksondatabind,60
Jacksondatabind,61
Jacksondatabind,62
Jacksondatabind,63
Jacksondatabind,64
Jacksondatabind,66
Jacksondatabind,67
Jacksondatabind,68
Jacksondatabind,69
Jacksondatabind,70
Jacksondatabind,71
Jacksondatabind,73
Jacksondatabind,74
Jacksondatabind,75
Jacksondatabind,76
Jacksondatabind,77
Jacksondatabind,78
Jacksondatabind,79
Jacksondatabind,80
Jacksondatabind,81
Jacksondatabind,82
Jacksondatabind,83
Jacksondatabind,84
Jacksondatabind,85
Jacksondatabind,86
Jacksondatabind,87
Jacksondatabind,88
Jacksondatabind,90
Jacksondatabind,91
Jacksondatabind,93
Jacksondatabind,94
Jacksondatabind,95
Jacksondatabind,96
Jacksondatabind,97
Jacksondatabind,98
Jacksondatabind,99
Jacksondatabind,100
Jacksondatabind,101
Jacksondatabind,102
Jacksondatabind,103
Jacksondatabind,104
Jacksondatabind,105
Jacksondatabind,106
Jacksondatabind,107
Jacksondatabind,108
Jacksondatabind,109
Jacksondatabind,110
Jacksondatabind,111
Jacksondatabind,112
Jacksonxml,1
Jacksonxml,2
Jacksonxml,3
Jacksonxml,4
Jacksonxml,5
Jacksonxml,6
Jsoup,1
Jsoup,2
Jsoup,3
Jsoup,4
Jsoup,5
Jsoup,6
Jsoup,7
Jsoup,8
Jsoup,10
Jsoup,11
Jsoup,12
Jsoup,13
Jsoup,14
Jsoup,15
Jsoup,16
Jsoup,18
Jsoup,19
Jsoup,20
Jsoup,21
Jsoup,22
Jsoup,23
Jsoup,24
Jsoup,26
Jsoup,27
Jsoup,28
Jsoup,29
Jsoup,30
Jsoup,31
Jsoup,32
Jsoup,33
Jsoup,34
Jsoup,35
Jsoup,36
Jsoup,37
Jsoup,38
Jsoup,39
Jsoup,40
Jsoup,41
Jsoup,42
Jsoup,43
Jsoup,44
Jsoup,45
Jsoup,46
Jsoup,47
Jsoup,48
Jsoup,49
Jsoup,50
Jsoup,51
Jsoup,52
Jsoup,53
Jsoup,54
Jsoup,55
Jsoup,56
Jsoup,57
Jsoup,58
Jsoup,59
Jsoup,61
Jsoup,62
Jsoup,63
Jsoup,64
Jsoup,65
Jsoup,66
Jsoup,67
Jsoup,68
Jsoup,69
Jsoup,70
Jsoup,71
Jsoup,72
Jsoup,73
Jsoup,74
Jsoup,75
Jsoup,76
Jsoup,77
Jsoup,78
Jsoup,79
Jsoup,80
Jsoup,81
Jsoup,82
Jsoup,83
Jsoup,84
Jsoup,86
Jsoup,87
Jsoup,88
Jsoup,89
Jsoup,90
Jsoup,91
Jsoup,92
Jsoup,93
Jxpath,1
Jxpath,2
Jxpath,3
Jxpath,4
Jxpath,5
Jxpath,6
Jxpath,7
Jxpath,8
Jxpath,9
Jxpath,10
Jxpath,11
Jxpath,12
Jxpath,13
Jxpath,14
Jxpath,15
Jxpath,16
Jxpath,17
Jxpath,18
Jxpath,19
Jxpath,20
Jxpath,21
Jxpath,22
Lang,1
Lang,3
Lang,4
Lang,5
Lang,6
Lang,7
Lang,8
Lang,9
Lang,10
Lang,11
Lang,12
Lang,13
Lang,14
Lang,15
Lang,16
Lang,17
Lang,19
Lang,20
Lang,21
Lang,22
Lang,24
Lang,26
Lang,27
Lang,28
Lang,29
Lang,30
Lang,31
Lang,32
Lang,33
Lang,34
Lang,35
Lang,36
Lang,37
Lang,38
Lang,39
Lang,40
Lang,41
Lang,42
Lang,43
Lang,44
Lang,45
Lang,46
Lang,47
Lang,49
Lang,50
Lang,51
Lang,52
Lang,53
Lang,54
Lang,55
Lang,56
Lang,57
Lang,58
Lang,59
Lang,60
Lang,61
Lang,62
Lang,63
Lang,64
Lang,65
Math,1
Math,2
Math,3
Math,4
Math,5
Math,6
Math,7
Math,8
Math,9
Math,10
Math,11
Math,13
Math,14
Math,15
Math,16
Math,17
Math,18
Math,19
Math,20
Math,21
Math,22
Math,23
Math,24
Math,25
Math,26
Math,27
Math,28
Math,29
Math,30
Math,31
Math,32
Math,33
Math,34
Math,35
Math,36
Math,37
Math,38
Math,39
Math,40
Math,41
Math,42
Math,43
Math,44
Math,45
Math,46
Math,47
Math,48
Math,49
Math,50
Math,51
Math,52
Math,53
Math,54
Math,55
Math,56
Math,57
Math,58
Math,59
Math,60
Math,61
Math,62
Math,63
Math,64
Math,65
Math,66
Math,67
Math,68
Math,69
Math,70
Math,71
Math,72
Math,73
Math,74
Math,75
Math,76
Math,77
Math,78
Math,79
Math,80
Math,81
Math,82
Math,83
Math,84
Math,85
Math,86
Math,87
Math,88
Math,89
Math,90
Math,91
Math,92
Math,93
Math,94
Math,95
Math,96
Math,97
Math,98
Math,99
Math,100
Math,101
Math,102
Math,103
Math,105
Math,106
Mockito,1
Mockito,2
Mockito,3
Mockito,4
Mockito,5
Mockito,6
Mockito,7
Mockito,8
Mockito,9
Mockito,10
Mockito,11
Mockito,12
Mockito,13
Mockito,14
Mockito,15
Mockito,16
Mockito,17
Mockito,18
Mockito,19
Mockito,20
Mockito,21
Mockito,22
Mockito,23
Mockito,24
Mockito,25
Mockito,27
Mockito,28
Mockito,29
Mockito,30
Mockito,31
Mockito,32
Mockito,33
Mockito,34
Mockito,35
Mockito,36
Mockito,37
Mockito,38
Time,1
Time,2
Time,3
Time,4
Time,5
Time,6
Time,7
Time,8
Time,9
Time,10
Time,12
Time,13
Time,14
Time,15
Time,16
Time,17
Time,18
Time,19
Time,20
Time,22
Time,23
Time,24
Time,25
Time,26
Time,27
