project,bug_id,add_test_file,class_fqcn,method_name,result
Compress,1,add_test.java,org.apache.commons.compress.archivers.CpioTestCase,testCpioCloseIdempotency,Pass
Compress,1,add_test1.java,org.apache.commons.compress.archivers.CpioTestCase,testCpioCloseWithException,Not Compilable
Compress,3,add_test.java,org.apache.commons.compress.archivers.ArchiveOutputStreamTest,testFinishWithoutEntry,Pass
Compress,3,add_test1.java,org.apache.commons.compress.archivers.ArchiveOutputStreamTest,testFinishAfterCloseEntry,Pass
Compress,4,add_test.java,org.apache.commons.compress.archivers.jar.JarArchiveOutputStreamTest,testCloseWithFinishException,Pass
Compress,4,add_test1.java,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest,testCloseAfterException,Pass
Compress,5,add_test.java,org.apache.commons.compress.archivers.zip.Maven221MultiVolumeTest,testReadTruncatedStoredEntryPartialBuffer,Not Pass
Compress,5,add_test1.java,org.apache.commons.compress.archivers.zip.Maven221MultiVolumeTest,testReadTruncatedStoredEntryMultipleReads,Not Pass
Compress,6,add_test.java,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testEqualsWithSameName,Pass
Compress,6,add_test1.java,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testEqualsWithNullName,Not Compilable
Compress,6,add_test2.java,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testNotEqualsOneNull,Not Compilable
Compress,8,add_test.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalAllSpaces,Not Pass
Compress,8,add_test1.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalAllZeros,Not Pass
Compress,8,add_test2.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalValidWithTrailingSpace,Pass
Compress,8,add_test3.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalValidWithTrailingNul,Pass
Compress,9,add_test.java,org.apache.commons.compress.archivers.tar.TarArchiveOutputStreamTest,testCountWithSmallWrites,Not Pass
Compress,9,add_test1.java,org.apache.commons.compress.archivers.tar.TarArchiveOutputStreamTest,testCountWithSingleByteWrites,Not Pass
Compress,11,add_test.java,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest,emptyInputIsNoArchive,Not Pass
Compress,11,add_test1.java,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest,smallBinaryDataIsNoArchive,Not Pass
Compress,11,add_test2.java,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest,exactly512BytesOfNonTarDataIsNoArchive,Pass
Compress,12,add_test.java,org.apache.commons.compress.archivers.TarTestCase,testMalformedHeaderIOException,Not Compilable
Compress,12,add_test1.java,org.apache.commons.compress.archivers.TarTestCase,testValidEntryAfterSkip,Not Compilable
Compress,13,add_test.java,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest,backSlashInMiddleOfName,Not Pass
Compress,13,add_test1.java,org.apache.commons.compress.archivers.zip.ZipFileTest,testBackSlashAtStart,Not Pass
Compress,13,add_test2.java,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest,nullNameHandling,Not Compilable
Compress,14,add_test.java,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest,parseOctalWithMinimalLength,Pass
Compress,14,add_test1.java,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest,parseOctalWithOnlyTrailers,Pass
Compress,14,add_test2.java,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest,parseOctalWithLeadingSpacesAndMinimal,Pass
Compress,15,add_test.java,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testEmptyCommentEqualsNull,Not Pass
Compress,15,add_test1.java,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testBothEmptyComments,Pass
Compress,15,add_test2.java,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testNonEmptyCommentNotEqualsEmpty,Pass
Compress,16,add_test.java,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest,testValidTarArchiveWithNullEntry,Not Pass
Compress,16,add_test1.java,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest,testShortStreamLessThan512Bytes,Pass
Compress,17,add_test.java,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest,testParseOctalMultipleTrailingSpacesAndNuls,Not Pass
Compress,17,add_test1.java,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest,testParseOctalThreeTrailingSpaces,Not Pass
Compress,17,add_test2.java,org.apache.commons.compress.archivers.tar.TarArchiveInputStreamTest,testParseOctalAlternatingTrailingNulsAndSpaces,Not Pass
Compress,18,add_test.java,org.apache.commons.compress.archivers.tar.TarArchiveOutputStreamTest,testWriteVeryLongNonAsciiDirectoryNamePosixMode,Not Pass
Compress,18,add_test1.java,org.apache.commons.compress.archivers.tar.TarArchiveOutputStreamTest,testWriteMultiByteCharDirectoryNamePosixMode,Not Pass
Compress,19,add_test.java,org.apache.commons.compress.archivers.zip.ZipFileTest,testInsufficientDataInZip64ExtraField,Not Compilable
Compress,19,add_test1.java,org.apache.commons.compress.archivers.zip.ZipFileTest,testExactLengthZip64ExtraField,Pass
Compress,20,add_test.java,org.apache.commons.compress.archivers.cpio.CpioArchiveInputStreamTest,testMode0EntryNotTrailerThrowsException,Not Compilable
Compress,20,add_test1.java,org.apache.commons.compress.archivers.cpio.CpioArchiveInputStreamTest,testMode0TrailerDoesNotThrowException,Not Compilable
Compress,21,add_test.java,org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest,testOneEmptyFile,Pass
Compress,21,add_test1.java,org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest,testOneFileNotEmpty,Pass
Compress,21,add_test2.java,org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest,testFifteenEmptyFiles,Not Pass
Compress,21,add_test3.java,org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest,testSixteenEmptyFiles,Not Pass
Compress,21,add_test4.java,org.apache.commons.compress.archivers.sevenz.SevenZOutputFileTest,testSeventeenFilesSomeNotEmpty,Not Pass
Compress,22,add_test.java,org.apache.commons.compress.compressors.bzip2.PythonTruncatedBzip2Test,testMultipleReadsAfterEndOfStream,Not Pass
Compress,22,add_test1.java,org.apache.commons.compress.compressors.bzip2.PythonTruncatedBzip2Test,testReadExactAmountOfData,Not Compilable
Compress,23,add_test.java,org.apache.commons.compress.archivers.sevenz.SevenZFileTest,testCompressedHeaderWithLargeDictionarySize,Not Compilable
Compress,23,add_test1.java,org.apache.commons.compress.archivers.sevenz.SevenZFileTest,testCompressedHeaderWithSmallDictionarySize,Not Compilable
Compress,24,add_test.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalMultipleTrailingSpacesAndNuls,Pass
Compress,24,add_test1.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalAllSpacesAndNuls,Not Pass
Compress,24,add_test2.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalLeadingSpacesWithTrailing,Pass
Compress,25,add_test.java,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest,testConstructorWithEncodingAndFlags,Not Compilable
Compress,25,add_test1.java,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest,testConstructorWithNullEncoding,Not Compilable
Compress,26,add_test.java,org.apache.commons.compress.utils.IOUtilsTest,skipWithEndOfStream,Not Compilable
Compress,26,add_test1.java,org.apache.commons.compress.utils.IOUtilsTest,skipWithMixedSkipAndReadBehavior,Not Compilable
Compress,26,add_test2.java,org.apache.commons.compress.utils.IOUtilsTest,skipExactlyAvailableBytes,Not Compilable
