project,bug_id,add_test_file,class_fqcn,method_name,result
Compress,1,add_test.java,org.apache.commons.compress.archivers.CpioTestCase,testCpioCloseIdempotency,Not Compilable
Compress,1,add_test1.java,org.apache.commons.compress.archivers.CpioTestCase,testCpioCloseWithException,Not Compilable
Compress,2,add_test.java,org.apache.commons.compress.archivers.ArTestCase,testArReadOddLengthEntry,Not Pass
Compress,3,add_test.java,org.apache.commons.compress.archivers.ArchiveOutputStreamTest,testFinishWithoutEntry,Pass
Compress,3,add_test1.java,org.apache.commons.compress.archivers.ArchiveOutputStreamTest,testFinishAfterCloseEntry,Pass
Compress,4,add_test.java,org.apache.commons.compress.archivers.jar.JarArchiveOutputStreamTest,testCloseWithFinishException,Pass
Compress,4,add_test1.java,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest,testCloseAfterException,Pass
Compress,5,add_test.java,org.apache.commons.compress.archivers.zip.Maven221MultiVolumeTest,testReadTruncatedStoredEntryPartialBuffer,Not Pass
Compress,5,add_test1.java,org.apache.commons.compress.archivers.zip.Maven221MultiVolumeTest,testReadTruncatedStoredEntryMultipleReads,Not Pass
Compress,6,add_test.java,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testEqualsWithSameName,Not Compilable
Compress,6,add_test1.java,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testEqualsWithNullName,Not Compilable
Compress,6,add_test2.java,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testNotEqualsOneNull,Not Compilable
Compress,7,add_test.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testRoundTripNamesWithNegativeBytes,Not Compilable
Compress,8,add_test.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalAllSpaces,Pass
Compress,8,add_test1.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalAllZeros,Pass
Compress,8,add_test2.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalValidWithTrailingSpace,Pass
Compress,8,add_test3.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalValidWithTrailingNul,Pass
Compress,9,add_test.java,org.apache.commons.compress.archivers.tar.TarArchiveOutputStreamTest,testCountWithSmallWrites,Not Pass
