project,bug_id,add_test_file,class_fqcn,method_name,result
Mockito,1,add_test.java,org.mockito.internal.invocation.InvocationMatcherTest,should_capture_arguments_when_matchers_exceed_invocation_args,Pass
Mockito,1,add_test1.java,org.mockito.internal.invocation.InvocationMatcherTest,should_not_capture_when_matcher_is_not_capturing,Pass
Mockito,2,add_test.java,org.mockito.internal.util.TimerTest,should_accept_zero_duration,Not Compilable
Mockito,2,add_test1.java,org.mockito.internal.util.TimerTest,should_accept_positive_duration,Not Compilable
Mockito,2,add_test2.java,org.mockito.internal.util.TimerTest,should_throw_friendly_reminder_exception_when_duration_is_large_negative,Not Compilable
Mockito,3,add_test.java,org.mockitousage.matchers.CapturingArgumentsTest,should_capture_varargs_with_single_element,Not Pass
Mockito,3,add_test1.java,org.mockitousage.matchers.CapturingArgumentsTest,should_capture_varargs_with_empty_varargs,Not Pass
Mockito,4,add_test.java,org.mockito.exceptions.ReporterTest,should_handle_mock_toString_throwing_exception_in_noMoreInteractionsWanted,Not Compilable
Mockito,4,add_test1.java,org.mockito.exceptions.ReporterTest,should_handle_mock_toString_throwing_exception_in_noMoreInteractionsWantedInOrder,Not Compilable
Mockito,4,add_test2.java,org.mockito.exceptions.ReporterTest,should_handle_null_mock_in_noMoreInteractionsWanted,Not Compilable
Mockito,5,add_test.java,org.mockitointegration.NoJUnitDependenciesTest,verify_should_handle_generic_assertion_errors,Not Compilable
Mockito,6,add_test.java,org.mockitousage.matchers.AnyXMatchersAcceptNullsTest,shouldNotAcceptNullInAnyPrimitiveWrapperMatchersWithVerify,Not Compilable
Mockito,6,add_test1.java,org.mockitousage.matchers.NewMatchersTest,shouldAllowAnyListOfWithNullValue,Not Compilable
Mockito,6,add_test2.java,org.mockitousage.matchers.NewMatchersTest,shouldAllowAnySetOfWithNullValue,Not Compilable
Mockito,6,add_test3.java,org.mockitousage.matchers.NewMatchersTest,shouldAllowAnyMapOfWithNullValue,Not Compilable
Mockito,6,add_test4.java,org.mockitousage.matchers.NewMatchersTest,shouldAllowAnyCollectionOfWithNullValue,Not Compilable
Mockito,7,add_test.java,org.mockitousage.bugs.deepstubs.DeepStubFailingWhenGenricNestedAsRawTypeTest,discoverDeepMockingWithNullActualTypeArgument,Not Compilable
Mockito,7,add_test1.java,org.mockitousage.bugs.deepstubs.DeepStubFailingWhenGenricNestedAsRawTypeTest,discoverDeepMockingWithMultipleLevelNesting,Not Compilable
Mockito,8,add_test.java,org.mockito.internal.util.reflection.GenericMetadataSupportTest,typeVariable_of_nested_parameterized_type,Pass
Mockito,8,add_test1.java,org.mockito.internal.util.reflection.GenericMetadataSupportTest,typeVariable_of_multiple_nested_generics,Pass
Mockito,9,add_test.java,org.mockitousage.constructor.CreatingMocksWithConstructorTest,abstractMethodWithPrimitiveReturnType,Not Compilable
Mockito,9,add_test1.java,org.mockitousage.constructor.CreatingMocksWithConstructorTest,interfaceMethodWithBooleanReturnType,Not Compilable
Mockito,9,add_test2.java,org.mockitousage.constructor.CreatingMocksWithConstructorTest,abstractMethodWithConcreteMethod,Not Compilable
Mockito,10,add_test.java,org.mockitousage.bugs.DeepStubsWronglyReportsSerializationProblemsTest,should_not_raise_serialization_exception_when_chaining_multiple_deep_stubs,Not Compilable
Mockito,10,add_test1.java,org.mockitousage.bugs.DeepStubsWronglyReportsSerializationProblemsTest,should_allow_calling_methods_on_deep_stub_without_serialization_issues,Not Compilable
