project,bug_id,folder,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,58,1,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,59,2,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,60,3,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,61,4,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,62,5,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,63,6,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,64,7,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,65,8,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,66,9,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,67,10,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,68,11,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,69,12,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,70,13,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,71,14,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,72,15,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,73,16,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,74,17,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,75,18,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,76,19,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,77,20,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,78,21,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,79,22,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,80,23,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,81,24,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,82,25,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,83,26,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,84,27,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,85,28,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,86,29,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,87,30,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,88,31,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,89,32,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,90,33,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,91,34,,,,,Not Compilable
Gson,1,Gson-1-buggy,function_1,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,92,35,,,,,Not Compilable
