project,bug_id,folder,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130,113,1,,,,,
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130,114,2,4,0,0,0,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130,115,3,11,0,2,0,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130,116,4,3,0,2,0,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130,117,5,3,0,0,0,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130,118,6,3,0,1,1,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130,119,7,4,0,0,0,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130,120,8,,,,,
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130,121,9,1,0,0,0,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130,122,10,,,,,
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130,123,11,8,0,2,0,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130,124,12,5,0,0,0,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130,125,13,3,0,0,0,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130,126,14,2,0,1,1,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130,127,15,0,9,0,0,False
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130,128,16,5,0,0,0,True
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130,129,17,,,,,
Jsoup,1,Jsoup-1-buggy,function_1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130,130,18,1,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,156,1,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,157,2,2,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,158,3,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,159,4,4,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,160,5,4,0,1,1,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,161,6,0,2,0,0,False
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,162,7,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,163,8,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,164,9,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,165,10,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,166,11,6,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,167,12,0,1,0,0,False
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,168,13,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,169,14,0,5,0,0,False
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,170,15,0,3,0,0,False
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,171,16,1,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,172,17,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,173,18,4,0,2,0,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,174,19,3,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,175,20,5,0,2,2,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,176,21,4,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,177,22,9,0,3,1,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,178,23,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,179,24,18,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,180,25,3,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,181,26,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,182,27,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,183,28,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,184,29,6,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,185,30,3,0,0,0,True
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,186,31,0,1,0,0,False
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,187,32,0,2,0,0,False
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,188,33,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,189,34,,,,,
Jsoup,10,Jsoup-10-buggy,function_1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190,190,35,,,,,
