project,bug_id,folder,add_test_file,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Cli,1,Cli-1-buggy_ind1,add_test.java,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,77,67,1,,,,,
Cli,1,Cli-1-buggy_ind1,add_test.java,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,77,68,2,,,,,
Cli,1,Cli-1-buggy_ind1,add_test.java,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,77,69,3,3,0,0,0,True
Cli,1,Cli-1-buggy_ind1,add_test.java,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,77,70,4,,,,,
Cli,1,Cli-1-buggy_ind1,add_test.java,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,77,71,5,2,0,0,0,True
Cli,1,Cli-1-buggy_ind1,add_test.java,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,77,72,6,5,0,2,0,True
Cli,1,Cli-1-buggy_ind1,add_test.java,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,77,73,7,,,,,
Cli,1,Cli-1-buggy_ind1,add_test.java,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,77,74,8,6,0,0,0,True
Cli,1,Cli-1-buggy_ind1,add_test.java,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,77,75,9,,,,,
Cli,1,Cli-1-buggy_ind1,add_test.java,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,77,76,10,5,0,0,0,True
Cli,1,Cli-1-buggy_ind1,add_test.java,function_1,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public boolean hasOption(String opt),67,77,77,11,,,,,
Cli,1,Cli-1-buggy_ind1,add_test.java,function_2,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public Object getOptionObject(String opt),96,115,96,1,,,,,
Cli,1,Cli-1-buggy_ind1,add_test.java,function_2,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public Object getOptionObject(String opt),96,115,97,2,,,,,
Cli,1,Cli-1-buggy_ind1,add_test.java,function_2,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public Object getOptionObject(String opt),96,115,98,3,0,3,0,0,False
Cli,1,Cli-1-buggy_ind1,add_test.java,function_2,org.apache.commons.cli.CommandLine,org/apache/commons/cli/CommandLine.java,public Object getOptionObject(String opt),96,115,99,4,,,,,
