project,bug_id,folder,add_test_file,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
JacksonDatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public AnyGetterWriter(BeanProperty property, AnnotatedMember accessor, MapSerializer serializer)",28,34,28,1,,,,,
JacksonDatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public AnyGetterWriter(BeanProperty property, AnnotatedMember accessor, MapSerializer serializer)",28,34,29,2,,,,,
JacksonDatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public AnyGetterWriter(BeanProperty property, AnnotatedMember accessor, MapSerializer serializer)",28,34,30,3,2,0,0,0,True
JacksonDatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public AnyGetterWriter(BeanProperty property, AnnotatedMember accessor, MapSerializer serializer)",28,34,31,4,3,0,0,0,True
JacksonDatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public AnyGetterWriter(BeanProperty property, AnnotatedMember accessor, MapSerializer serializer)",28,34,32,5,3,0,0,0,True
JacksonDatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public AnyGetterWriter(BeanProperty property, AnnotatedMember accessor, MapSerializer serializer)",28,34,33,6,3,0,0,0,True
JacksonDatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public AnyGetterWriter(BeanProperty property, AnnotatedMember accessor, MapSerializer serializer)",28,34,34,7,1,0,0,0,True
JacksonDatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_2,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public void getAndSerialize(Object bean, JsonGenerator gen, SerializerProvider provider)",36,52,36,1,,,,,
JacksonDatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_2,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public void getAndSerialize(Object bean, JsonGenerator gen, SerializerProvider provider)",36,52,37,2,,,,,
JacksonDatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_2,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public void getAndSerialize(Object bean, JsonGenerator gen, SerializerProvider provider)",36,52,38,3,,,,,
JacksonDatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_2,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public void getAndSerialize(Object bean, JsonGenerator gen, SerializerProvider provider)",36,52,39,4,5,0,0,0,True
