project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Collections,1,Collections-1-buggy,add_test.java,org.apache.commons.collections.map.TestFlat3Map,testEntryIteratorSetValue1,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Collections,1,Collections-1-buggy,add_test1.java,org.apache.commons.collections.map.TestFlat3Map,testMapIteratorSetValue1,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Collections,2,Collections-2-buggy,add_test.java,org.apache.commons.collections.TestExtendedProperties,testIncludeEmptyStringReturnsNull,Not Pass,Not Pass,Pass,Pass,0,0.0000,2,0.0142,0,0.0000,1,0.0400,5,139,0,24,5,139,0,24,9,141,1,25,11,139,2,24
Collections,2,Collections-2-buggy,add_test1.java,org.apache.commons.collections.TestExtendedProperties,testIncludeNonEmptyStringReturnsValue,Not Pass,Pass,Pass,Pass,0,0.0000,2,0.0142,0,0.0000,1,0.0400,5,139,0,24,5,139,0,24,9,141,1,25,11,139,2,24
Collections,3,Collections-3-buggy,add_test.java,org.apache.commons.collections.TestCollectionUtils,testRemoveAllWithDuplicates,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,4,0,0,0,4,0,0,0,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Collections,3,Collections-3-buggy,add_test1.java,org.apache.commons.collections.TestCollectionUtils,testRemoveAllEmptyRemoveCollection,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,4,0,0,0,4,0,0,0,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Collections,3,Collections-3-buggy,add_test2.java,org.apache.commons.collections.TestCollectionUtils,testRemoveAllNoCommonElements,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,4,0,0,0,4,0,0,0,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Collections,4,Collections-4-buggy,add_test.java,org.apache.commons.collections.map.TestMultiValueMap,testPutAllEmptyMap,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,65,12,7,7,65,12,7,7,73,0,12,2,73,0,12,2
Collections,4,Collections-4-buggy,add_test1.java,org.apache.commons.collections.map.TestMultiValueMap,testPutNewKey,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,65,12,7,7,65,12,7,7,73,0,12,2,73,0,12,2
Collections,5,Collections-5-buggy,add_test.java,org.apache.commons.collections.list.TestSetUniqueList,testIntCollectionAddAllAtEnd,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
