project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Jacksoncore,1,JacksonCore-1-buggy,add_test.java,com.fasterxml.jackson.core.json.TestParserNonStandard,testBigDecimalWithWhitespace,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksoncore,1,JacksonCore-1-buggy,add_test1.java,com.fasterxml.jackson.core.json.TestParserNonStandard,testBigDecimalWithEmptyString,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksoncore,1,JacksonCore-1-buggy,add_test2.java,com.fasterxml.jackson.core.json.TestParserNonStandard,testBigDecimalWithCharArray,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksoncore,2,JacksonCore-2-buggy,add_test.java,com.fasterxml.jackson.core.json.TestParserErrorHandling,testLeadingZeroInInteger,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksoncore,2,JacksonCore-2-buggy,add_test1.java,com.fasterxml.jackson.core.json.TestParserErrorHandling,testNegativeLeadingZero,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksoncore,2,JacksonCore-2-buggy,add_test2.java,com.fasterxml.jackson.core.json.TestParserErrorHandling,testZeroAlone,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksoncore,3,JacksonCore-3-buggy,add_test.java,com.fasterxml.jackson.core.json.TestLocation,testOffsetWithLargerInputOffset,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,26,0,0,0,26,0,0,0,34,0,0,0,34,0,0,0
Jacksoncore,3,JacksonCore-3-buggy,add_test1.java,com.fasterxml.jackson.core.json.TestLocation,testOffsetWithInputOffsetMultiline,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,26,0,0,0,26,0,0,0,34,0,0,0,34,0,0,0
Jacksoncore,4,JacksonCore-4-buggy,add_test.java,com.fasterxml.jackson.core.util.TestTextBuffer,testExpandAtMaxSegmentLen,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,26,0,2,0,26,0,2,0,26,0,2,0,26,0,2,0
Jacksoncore,4,JacksonCore-4-buggy,add_test1.java,com.fasterxml.jackson.core.util.TestTextBuffer,testExpandBeyondMaxSegmentLen,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,26,0,2,0,26,0,2,0,26,0,2,0,26,0,2,0
Jacksoncore,5,JacksonCore-5-buggy,add_test.java,com.fasterxml.jackson.core.TestJsonPointer,testWonkyNumberAtStart,Pass,Pass,Pass,Pass,11,0.6875,12,0.7059,3,0.4286,3,0.3750,29,16,7,7,40,5,10,4,27,17,6,8,39,5,9,5
Jacksoncore,5,JacksonCore-5-buggy,add_test1.java,com.fasterxml.jackson.core.TestJsonPointer,testWonkyNumberOverflow,Pass,Pass,Pass,Pass,11,0.6875,12,0.7059,3,0.4286,3,0.3750,29,16,7,7,40,5,10,4,27,17,6,8,39,5,9,5
Jacksoncore,6,JacksonCore-6-buggy,add_test.java,com.fasterxml.jackson.core.TestJsonPointer,testLeadingZeroesRejected,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,1,0.1250,31,13,7,7,31,13,7,7,41,13,10,8,41,13,11,7
