project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Jacksonxml,1,JacksonXml-1-buggy,add_test.java,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedLists180Test,testNestedUnwrappedListsMultipleEmpty,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,216,81,26,15,216,81,26,15,240,85,28,15,240,85,28,15
Jacksonxml,1,JacksonXml-1-buggy,add_test1.java,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest,testNestedWithMultipleEmptyVehicleActivity,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,216,81,26,15,216,81,26,15,240,85,28,15,240,85,28,15
Jacksonxml,2,JacksonXml-2-buggy,add_test.java,com.fasterxml.jackson.dataformat.xml.misc.XmlTextTest,testMixedContentMultipleTextNodes,Pass,Not Pass,Pass,Pass,18,0.4865,18,0.4500,2,0.3333,2,0.2500,75,37,11,6,93,19,13,4,94,40,15,8,112,22,17,6
Jacksonxml,2,JacksonXml-2-buggy,add_test1.java,com.fasterxml.jackson.dataformat.xml.misc.XmlTextTest,testMixedContentTextBeforeMultipleElements,Pass,Not Pass,Not Pass,Pass,18,0.4865,18,0.4500,2,0.3333,2,0.2500,75,37,11,6,93,19,13,4,94,40,15,8,112,22,17,6
Jacksonxml,3,JacksonXml-3-buggy,add_test.java,com.fasterxml.jackson.dataformat.xml.stream.XmlParserNextXxxTest,testXmlAttributesWithNextTextValueEmpty,Pass,Not Pass,Pass,Pass,34,0.1878,34,0.1858,4,0.1600,4,0.1600,26,181,3,25,60,147,7,21,26,183,3,25,60,149,7,21
Jacksonxml,3,JacksonXml-3-buggy,add_test1.java,com.fasterxml.jackson.dataformat.xml.stream.XmlParserNextXxxTest,testXmlLeafElementWithNextTextValue,Pass,Pass,Pass,Pass,34,0.1878,34,0.1858,4,0.1600,4,0.1600,26,181,3,25,60,147,7,21,26,183,3,25,60,149,7,21
Jacksonxml,3,JacksonXml-3-buggy,add_test2.java,com.fasterxml.jackson.dataformat.xml.stream.XmlParserNextXxxTest,testXmlEmptyElementWithNextTextValue,Pass,Pass,Pass,Pass,34,0.1878,34,0.1858,4,0.1600,4,0.1600,26,181,3,25,60,147,7,21,26,183,3,25,60,149,7,21
Jacksonxml,4,JacksonXml-4-buggy,add_test.java,com.fasterxml.jackson.dataformat.xml.misc.RootNameTest,testDynamicRootNameWithNullOnly,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,13,0,1,1,13,0,1,1,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksonxml,4,JacksonXml-4-buggy,add_test1.java,com.fasterxml.jackson.dataformat.xml.misc.RootNameTest,testDynamicRootNameWithDifferentNames,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,13,0,1,1,13,0,1,1,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksonxml,5,JacksonXml-5-buggy,add_test.java,com.fasterxml.jackson.dataformat.xml.MapperCopyTest,testCopyWithCustomRootName,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksonxml,5,JacksonXml-5-buggy,add_test1.java,com.fasterxml.jackson.dataformat.xml.MapperCopyTest,testCopyWithNoAnnotation,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksonxml,6,JacksonXml-6-buggy,add_test.java,com.fasterxml.jackson.dataformat.xml.ser.TestBinaryStreamToXMLSerialization,testWith5Bytes,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,0,108,0,16,0,108,0,16,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksonxml,6,JacksonXml-6-buggy,add_test1.java,com.fasterxml.jackson.dataformat.xml.ser.TestBinaryStreamToXMLSerialization,testWith6Bytes,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,0,108,0,16,0,108,0,16,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
