project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Jsoup,1,Jsoup-1-buggy,add_test.java,org.jsoup.parser.ParserTest,normaliseSingleTextNode,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,58,0,7,1,58,0,7,1,53,9,8,2,53,9,8,2
Jsoup,1,Jsoup-1-buggy,add_test1.java,org.jsoup.parser.ParserTest,normaliseMultipleTextNodes,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,58,0,7,1,58,0,7,1,53,9,8,2,53,9,8,2
Jsoup,1,Jsoup-1-buggy,add_test2.java,org.jsoup.parser.ParserTest,normaliseEmptyString,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,58,0,7,1,58,0,7,1,53,9,8,2,53,9,8,2
Jsoup,2,Jsoup-2-buggy,add_test.java,org.jsoup.parser.ParserTest,handlesMultipleDataTagsInSequence,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,107,43,8,12,107,43,8,12,112,43,8,12,112,43,8,12
Jsoup,2,Jsoup-2-buggy,add_test1.java,org.jsoup.parser.ParserTest,handlesDataTagWithTextBetween,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,107,43,8,12,107,43,8,12,112,43,8,12,112,43,8,12
Jsoup,2,Jsoup-2-buggy,add_test2.java,org.jsoup.parser.ParserTest,handlesEmptyDataTag,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,107,43,8,12,107,43,8,12,112,43,8,12,112,43,8,12
Jsoup,3,Jsoup-3-buggy,add_test.java,org.jsoup.nodes.ElementTest,testAppendMultipleRowsToTable,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,289,132,38,42,289,132,38,42,297,132,38,42,297,132,38,42
Jsoup,3,Jsoup-3-buggy,add_test1.java,org.jsoup.nodes.ElementTest,testPrependMultipleRowsToTable,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,289,132,38,42,289,132,38,42,297,132,38,42,297,132,38,42
Jsoup,4,Jsoup-4-buggy,add_test.java,org.jsoup.nodes.EntitiesTest,unescapeUnknownEntity,Not Pass,Not Pass,Not Pass,Pass,85,0.9551,85,0.9551,12,0.8571,13,0.9286,0,89,0,14,85,4,12,2,0,89,0,14,85,4,13,1
Jsoup,4,Jsoup-4-buggy,add_test1.java,org.jsoup.nodes.EntitiesTest,unescapeOutOfRangeNumeric,Not Pass,Not Pass,Not Pass,Pass,85,0.9551,85,0.9551,12,0.8571,13,0.9286,0,89,0,14,85,4,12,2,0,89,0,14,85,4,13,1
Jsoup,4,Jsoup-4-buggy,add_test2.java,org.jsoup.nodes.EntitiesTest,unescapeMixedValidInvalid,Not Pass,Pass,Pass,Pass,85,0.9551,85,0.9551,12,0.8571,13,0.9286,0,89,0,14,85,4,12,2,0,89,0,14,85,4,13,1
Jsoup,5,Jsoup-5-buggy,add_test.java,org.jsoup.parser.ParserTest,parsesEmptyAttributeKeyWithValue,Not Compilable,Not Pass,Not Compilable,Pass,6,0.5000,Not Compilable,Not Compilable,2,0.6667,Not Compilable,Not Compilable,90,12,11,3,96,6,13,1,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,5,Jsoup-5-buggy,add_test1.java,org.jsoup.parser.ParserTest,parsesEmptyAttributeKeyWithQuotedValue,Not Compilable,Not Pass,Not Compilable,Pass,6,0.5000,Not Compilable,Not Compilable,2,0.6667,Not Compilable,Not Compilable,90,12,11,3,96,6,13,1,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,5,Jsoup-5-buggy,add_test2.java,org.jsoup.parser.ParserTest,parsesMultipleEmptyAttributeKeys,Not Compilable,Not Pass,Not Compilable,Pass,6,0.5000,Not Compilable,Not Compilable,2,0.6667,Not Compilable,Not Compilable,90,12,11,3,96,6,13,1,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,6,Jsoup-6-buggy,add_test.java,org.jsoup.nodes.EntitiesTest,unescapeHighUnicodeValue,Pass,Not Pass,Pass,Pass,2,0.5000,2,0.5000,1,0.5000,2,1.0000,84,4,12,2,86,2,13,1,86,4,12,2,88,2,14,0
Jsoup,6,Jsoup-6-buggy,add_test1.java,org.jsoup.nodes.EntitiesTest,unescapeInvalidCharValue,Pass,Pass,Pass,Pass,2,0.5000,2,0.5000,1,0.5000,2,1.0000,84,4,12,2,86,2,13,1,86,4,12,2,88,2,14,0
Jsoup,6,Jsoup-6-buggy,add_test2.java,org.jsoup.nodes.EntitiesTest,unescapeZeroCharValue,Pass,Pass,Pass,Pass,2,0.5000,2,0.5000,1,0.5000,2,1.0000,84,4,12,2,86,2,13,1,86,4,12,2,88,2,14,0
Jsoup,7,Jsoup-7-buggy,add_test.java,org.jsoup.nodes.DocumentTest,testNormalisesMultipleHeads,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,52,46,7,7,52,46,7,7,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,7,Jsoup-7-buggy,add_test1.java,org.jsoup.nodes.DocumentTest,testNormalisesMultipleBodies,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,52,46,7,7,52,46,7,7,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,7,Jsoup-7-buggy,add_test2.java,org.jsoup.nodes.DocumentTest,testNormalisesEmptyNoscriptInHead,Not Compilable,Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,52,46,7,7,52,46,7,7,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,8,Jsoup-8-buggy,add_test.java,org.jsoup.nodes.ElementTest,orphanedElementWithAttributes,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,8,Jsoup-8-buggy,add_test1.java,org.jsoup.nodes.ElementTest,orphanedElementWithChildren,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,8,Jsoup-8-buggy,add_test2.java,org.jsoup.nodes.ElementTest,orphanedSelfClosingElement,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,10,Jsoup-10-buggy,add_test.java,org.jsoup.nodes.NodeTest,absHandlesRelativeQueryWithoutFile,Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,1,0.2000,26,14,1,1,26,14,1,1,72,14,7,5,72,14,8,4
Jsoup,10,Jsoup-10-buggy,add_test1.java,org.jsoup.nodes.NodeTest,absHandlesRelativeQueryAtRoot,Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,1,0.2000,26,14,1,1,26,14,1,1,72,14,7,5,72,14,8,4
Jsoup,10,Jsoup-10-buggy,add_test2.java,org.jsoup.nodes.NodeTest,absHandlesRelativeQueryWithPort,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,1,0.2000,26,14,1,1,26,14,1,1,72,14,7,5,72,14,8,4
Jsoup,10,Jsoup-10-buggy,add_test3.java,org.jsoup.nodes.NodeTest,absHandlesAbsoluteUrl,Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,1,0.2000,26,14,1,1,26,14,1,1,72,14,7,5,72,14,8,4
Jsoup,11,Jsoup-11-buggy,add_test.java,org.jsoup.select.SelectorTest,notWithId,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,194,90,30,18,194,90,30,18,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,11,Jsoup-11-buggy,add_test1.java,org.jsoup.select.SelectorTest,notWithTagAndClass,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,194,90,30,18,194,90,30,18,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,11,Jsoup-11-buggy,add_test2.java,org.jsoup.select.SelectorTest,notWithAttribute,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,194,90,30,18,194,90,30,18,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,12,Jsoup-12-buggy,add_test.java,org.jsoup.select.SelectorTest,testByAttributeRegexWithPipeInChildCombinator,Not Pass,Not Pass,Not Pass,Pass,27,0.6923,0,0.0000,2,0.6667,2,0.4000,39,39,5,3,66,12,7,1,61,67,11,5,61,67,13,3
Jsoup,12,Jsoup-12-buggy,add_test1.java,org.jsoup.select.SelectorTest,testByAttributeRegexWithPipeInAdjacentSiblingCombinator,Not Pass,Not Pass,Not Pass,Pass,27,0.6923,0,0.0000,2,0.6667,2,0.4000,39,39,5,3,66,12,7,1,61,67,11,5,61,67,13,3
Jsoup,12,Jsoup-12-buggy,add_test2.java,org.jsoup.select.SelectorTest,testByAttributeRegexWithPipeInGeneralSiblingCombinator,Not Pass,Not Pass,Not Pass,Pass,27,0.6923,0,0.0000,2,0.6667,2,0.4000,39,39,5,3,66,12,7,1,61,67,11,5,61,67,13,3
Jsoup,13,Jsoup-13-buggy,add_test.java,org.jsoup.nodes.NodeTest,handlesAbsPrefixWithEmptyBaseUri,Not Pass,Pass,Pass,Pass,0,0.0000,2,1.0000,0,0.0000,1,1.0000,7,0,0,0,7,0,0,0,30,2,5,1,32,0,6,0
Jsoup,13,Jsoup-13-buggy,add_test1.java,org.jsoup.nodes.NodeTest,handlesAbsPrefixWithFullUrl,Not Pass,Not Pass,Pass,Pass,0,0.0000,2,1.0000,0,0.0000,1,1.0000,7,0,0,0,7,0,0,0,30,2,5,1,32,0,6,0
Jsoup,13,Jsoup-13-buggy,add_test2.java,org.jsoup.nodes.NodeTest,handlesAbsPrefixWithMissingAttr,Not Pass,Pass,Pass,Pass,0,0.0000,2,1.0000,0,0.0000,1,1.0000,7,0,0,0,7,0,0,0,30,2,5,1,32,0,6,0
Jsoup,14,Jsoup-14-buggy,add_test.java,org.jsoup.parser.ParserTest,handlesTextareaWithMixedCaseClosingTag,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,25,0,2,0,25,0,2,0,25,0,2,0,25,0,2,0
Jsoup,14,Jsoup-14-buggy,add_test1.java,org.jsoup.parser.ParserTest,handlesTitleWithAllUppercaseClosingTag,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,25,0,2,0,25,0,2,0,25,0,2,0,25,0,2,0
Jsoup,14,Jsoup-14-buggy,add_test2.java,org.jsoup.parser.ParserTest,handlesTextareaWithUppercaseClosingTag,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,25,0,2,0,25,0,2,0,25,0,2,0,25,0,2,0
Jsoup,15,Jsoup-15-buggy,add_test.java,org.jsoup.parser.ParserTest,handlesMarqueeEndTag,Not Pass,Pass,Pass,Pass,34,0.0233,30,0.0206,5,0.0226,4,0.0183,800,1458,59,221,834,1424,64,216,808,1454,59,219,838,1424,63,215
Jsoup,15,Jsoup-15-buggy,add_test1.java,org.jsoup.parser.ParserTest,handlesAppletEndTag,Not Pass,Pass,Pass,Pass,34,0.0233,30,0.0206,5,0.0226,4,0.0183,800,1458,59,221,834,1424,64,216,808,1454,59,219,838,1424,63,215
Jsoup,15,Jsoup-15-buggy,add_test2.java,org.jsoup.parser.ParserTest,handlesObjectEndTag,Not Pass,Pass,Pass,Pass,34,0.0233,30,0.0206,5,0.0226,4,0.0183,800,1458,59,221,834,1424,64,216,808,1454,59,219,838,1424,63,215
Jsoup,16,Jsoup-16-buggy,add_test.java,org.jsoup.nodes.DocumentTypeTest,constructorValidationThrowsExceptionOnNullName,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,16,Jsoup-16-buggy,add_test1.java,org.jsoup.nodes.DocumentTypeTest,constructorValidationThrowsExceptionOnWhitespaceName,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,16,Jsoup-16-buggy,add_test2.java,org.jsoup.nodes.DocumentTypeTest,outerHtmlGenerationWithPublicIdOnly,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,16,Jsoup-16-buggy,add_test3.java,org.jsoup.nodes.DocumentTypeTest,,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jsoup,18,Jsoup-18-buggy,add_test.java,org.jsoup.parser.CharacterReaderTest,consumeToEndWhenEmpty,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,30,0,0,0,30,0,0,0,28,0,0,0,28,0,0,0
