project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Lang,1,Lang-1-buggy,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testHexBoundariesWithNegative,Not Pass,Not Pass,Not Pass,Pass,8,0.0237,8,0.0237,3,0.0353,3,0.0353,74,338,7,85,82,330,10,82,72,338,7,85,80,330,10,82
Lang,1,Lang-1-buggy,add_test1.java,org.apache.commons.lang3.math.NumberUtilsTest,testHexWithHashPrefix,Not Pass,Not Pass,Not Pass,Pass,8,0.0237,8,0.0237,3,0.0353,3,0.0353,74,338,7,85,82,330,10,82,72,338,7,85,80,330,10,82
Lang,1,Lang-1-buggy,add_test2.java,org.apache.commons.lang3.math.NumberUtilsTest,testHexExactly9And17Digits,Not Pass,Pass,Pass,Pass,8,0.0237,8,0.0237,3,0.0353,3,0.0353,74,338,7,85,82,330,10,82,72,338,7,85,80,330,10,82
Lang,3,Lang-3-buggy,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberWithTypeSuffixPrecisionLoss,Not Pass,Not Pass,Not Pass,Pass,93,0.3750,92,0.3725,23,0.3333,23,0.3333,158,248,19,69,251,155,42,46,158,247,19,69,250,155,42,46
Lang,3,Lang-3-buggy,add_test1.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberEdgeCasesInfinity,Not Pass,Not Pass,Not Pass,Pass,93,0.3750,92,0.3725,23,0.3333,23,0.3333,158,248,19,69,251,155,42,46,158,247,19,69,250,155,42,46
Lang,4,Lang-4-buggy,add_test.java,org.apache.commons.lang3.text.translate.LookupTranslatorTest,testLang882MultipleEntries,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,1,0.2000,Not Compilable,Not Compilable,96,11,9,5,96,11,10,4,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,4,Lang-4-buggy,add_test1.java,org.apache.commons.lang3.text.translate.LookupTranslatorTest,testLang882StringBuilder,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,1,0.2000,Not Compilable,Not Compilable,96,11,9,5,96,11,10,4,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,5,Lang-5-buggy,add_test.java,org.apache.commons.lang3.LocaleUtilsTest,testLang865_AdditionalCase1,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,31,160,3,23,31,160,3,23,112,179,15,25,112,179,15,25
Lang,5,Lang-5-buggy,add_test1.java,org.apache.commons.lang3.LocaleUtilsTest,testLang865_AdditionalCase2,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,31,160,3,23,31,160,3,23,112,179,15,25,112,179,15,25
Lang,6,Lang-6-buggy,add_test.java,org.apache.commons.lang3.StringUtilsTest,testEscapeSurrogatePairsWithEscaping,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,34,22,5,5,34,22,5,5,26,20,5,3,26,20,5,3
Lang,6,Lang-6-buggy,add_test1.java,org.apache.commons.lang3.StringUtilsTest,testEscapeSurrogatePairsInQuotes,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,34,22,5,5,34,22,5,5,26,20,5,3,26,20,5,3
Lang,7,Lang-7-buggy,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberWithDSuffix,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,299,83,64,32,299,83,64,32,298,83,64,32,298,83,64,32
Lang,8,Lang-8-buggy,add_test.java,org.apache.commons.lang3.time.FastDatePrinterTest,testCalendarTimezoneRespectedWithDST,Not Pass,Not Pass,Pass,Pass,12,1.0000,15,1.0000,1,0.5000,2,0.6667,46,12,2,2,58,0,3,1,43,15,1,3,58,0,3,1
Lang,8,Lang-8-buggy,add_test1.java,org.apache.commons.lang3.time.FastDatePrinterTest,testCalendarTimezoneRespectedWithoutDST,Not Pass,Not Pass,Pass,Pass,12,1.0000,15,1.0000,1,0.5000,2,0.6667,46,12,2,2,58,0,3,1,43,15,1,3,58,0,3,1
Lang,9,Lang-9-buggy,add_test.java,org.apache.commons.lang3.time.FastDateParserTest,testUnterminatedQuoteAtEnd,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,9,Lang-9-buggy,add_test1.java,org.apache.commons.lang3.time.FastDateParserTest,testUnterminatedQuoteMiddle,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,9,Lang-9-buggy,add_test2.java,org.apache.commons.lang3.time.FastDateParserTest,testProperlyTerminatedQuote,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,10,Lang-10-buggy,add_test.java,org.apache.commons.lang3.time.FastDateParserTest,testEscapeRegexMultipleSpaces,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,36,18,6,7,36,18,6,7,36,18,6,7,36,18,6,7
Lang,10,Lang-10-buggy,add_test1.java,org.apache.commons.lang3.time.FastDateParserTest,testEscapeRegexSpecialChars,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,36,18,6,7,36,18,6,7,36,18,6,7,36,18,6,7
Lang,10,Lang-10-buggy,add_test2.java,org.apache.commons.lang3.time.FastDateParserTest,testEscapeRegexTrailingWhitespace,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,36,18,6,7,36,18,6,7,36,18,6,7,36,18,6,7
Lang,11,Lang-11-buggy,add_test.java,org.apache.commons.lang3.RandomStringUtilsTest,testLANG807_StartGreaterThanEnd,Pass,Not Pass,Pass,Pass,5,0.0350,55,0.2683,4,0.0909,10,0.1786,20,143,6,44,25,138,10,40,31,205,6,56,86,150,16,46
Lang,11,Lang-11-buggy,add_test1.java,org.apache.commons.lang3.RandomStringUtilsTest,testLANG807_WithCharsArrayStartEqualsLength,Pass,Not Pass,Pass,Pass,5,0.0350,55,0.2683,4,0.0909,10,0.1786,20,143,6,44,25,138,10,40,31,205,6,56,86,150,16,46
Lang,11,Lang-11-buggy,add_test2.java,org.apache.commons.lang3.RandomStringUtilsTest,testLANG807_WithCharsArrayEndExceedsLength,Pass,Not Pass,Pass,Pass,5,0.0350,55,0.2683,4,0.0909,10,0.1786,20,143,6,44,25,138,10,40,31,205,6,56,86,150,16,46
Lang,12,Lang-12-buggy,add_test.java,org.apache.commons.lang3.RandomStringUtilsTest,testRandomWithNonEmptyCharArray,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,36,111,7,37,36,111,7,37,86,70,20,28,86,70,20,28
Lang,12,Lang-12-buggy,add_test1.java,org.apache.commons.lang3.RandomStringUtilsTest,testRandomWithSingleCharArray,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,36,111,7,37,36,111,7,37,86,70,20,28,86,70,20,28
Lang,13,Lang-13-buggy,add_test.java,org.apache.commons.lang3.SerializationUtilsTest,testPrimitiveTypeArrayClassSerialization,Pass,Not Compilable,Not Compilable,Not Compilable,0,0.0000,0,0.0000,0,0.0000,0,0.0000,11,27,0,2,11,27,0,2,74,31,18,4,74,31,18,4
Lang,13,Lang-13-buggy,add_test1.java,org.apache.commons.lang3.SerializationUtilsTest,testMixedPrimitiveAndObjectClassSerialization,Pass,Not Compilable,Not Compilable,Not Compilable,0,0.0000,0,0.0000,0,0.0000,0,0.0000,11,27,0,2,11,27,0,2,74,31,18,4,74,31,18,4
Lang,14,Lang-14-buggy,add_test.java,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest,testEqualsAdditional1,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,14,Lang-14-buggy,add_test1.java,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest,testEqualsAdditional2,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,14,Lang-14-buggy,add_test2.java,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest,testEqualsAdditional3,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,15,Lang-15-buggy,add_test.java,org.apache.commons.lang3.reflect.TypeUtilsTest,testGetTypeArgumentsWithTypeParameters,Not Pass,Not Compilable,Not Compilable,Not Compilable,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,123,0,32,0,123,0,32,0,119,0,30,0,119,0,30
Lang,16,Lang-16-buggy,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberWithBothEAndUppercaseE,Not Pass,Not Pass,Not Pass,Pass,30,0.2069,30,0.2069,5,0.1087,5,0.1087,196,145,38,46,226,115,43,41,196,145,40,46,226,115,45,41
Lang,17,Lang-17-buggy,add_test.java,org.apache.commons.lang3.StringEscapeUtilsTest,testLang720_MultipleSupplementaryCharacters,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,35,28,5,7,35,28,5,7,36,10,5,3,36,10,5,3
Lang,17,Lang-17-buggy,add_test1.java,org.apache.commons.lang3.StringEscapeUtilsTest,testLang720_SupplementaryAtEnd,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,35,28,5,7,35,28,5,7,36,10,5,3,36,10,5,3
Lang,17,Lang-17-buggy,add_test2.java,org.apache.commons.lang3.StringEscapeUtilsTest,testLang720_MixedCharacters,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,35,28,5,7,35,28,5,7,36,10,5,3,36,10,5,3
Lang,19,Lang-19-buggy,add_test.java,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest,testDecimalEntityWithoutSemicolon,Not Pass,Not Pass,Not Pass,Pass,57,0.6867,55,0.9322,9,0.8182,8,0.6667,47,83,7,11,104,26,16,2,84,59,12,12,139,4,20,4
Lang,19,Lang-19-buggy,add_test1.java,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest,testValidEntitiesWithSemicolon,Not Pass,Pass,Pass,Pass,57,0.6867,55,0.9322,9,0.8182,8,0.6667,47,83,7,11,104,26,16,2,84,59,12,12,139,4,20,4
Lang,19,Lang-19-buggy,add_test2.java,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest,testSupplementaryCharacter,Not Pass,Pass,Pass,Pass,57,0.6867,55,0.9322,9,0.8182,8,0.6667,47,83,7,11,104,26,16,2,84,59,12,12,139,4,20,4
Lang,20,Lang-20-buggy,add_test.java,org.apache.commons.lang3.StringUtilsTest,testJoin_ArrayChar_MultipleElements,Not Pass,Pass,Pass,Pass,15,0.7895,15,0.7895,4,0.6667,4,0.6667,98,19,20,6,113,4,24,2,102,19,20,6,117,4,24,2
Lang,20,Lang-20-buggy,add_test1.java,org.apache.commons.lang3.StringUtilsTest,testJoin_ArrayString_MultipleElements,Not Pass,Pass,Pass,Pass,15,0.7895,15,0.7895,4,0.6667,4,0.6667,98,19,20,6,113,4,24,2,102,19,20,6,117,4,24,2
Lang,21,Lang-21-buggy,add_test.java,org.apache.commons.lang3.time.DateUtilsTest,testIsSameLocalTime_HourDifference,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,61,6,10,10,61,6,10,10,67,0,12,8,67,0,12,8
Lang,21,Lang-21-buggy,add_test1.java,org.apache.commons.lang3.time.DateUtilsTest,testIsSameLocalTime_AMvsPM,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,61,6,10,10,61,6,10,10,67,0,12,8,67,0,12,8
Lang,22,Lang-22-buggy,add_test.java,org.apache.commons.lang3.math.FractionTest,testReduceWithZeroNumerator,Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,90,5,21,3,90,5,21,3,94,11,23,5,94,11,23,5
Lang,22,Lang-22-buggy,add_test1.java,org.apache.commons.lang3.math.FractionTest,testReducedFactoryWithPowersOfTwo,Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,90,5,21,3,90,5,21,3,94,11,23,5,94,11,23,5
Lang,22,Lang-22-buggy,add_test2.java,org.apache.commons.lang3.math.FractionTest,testReducedFactoryWithOneOperand,Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,90,5,21,3,90,5,21,3,94,11,23,5,94,11,23,5
Lang,23,Lang-23-buggy,Not Generated,Not Generated,Not Generated,,Not Generated,Not Generated,,,,,,,,,,,,,,,,,,,,,,,,,
Lang,24,Lang-24-buggy,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testIsNumberAdditional1,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,256,21,76,20,256,21,76,20,258,21,78,20,258,21,78,20
Lang,26,Lang-26-buggy,add_test.java,org.apache.commons.lang3.time.FastDateFormatTest,testLang645_AdditionalLocale,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,19,0,0,0,19,0,0,0,21,0,0,0,21,0,0,0
