project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Math,1,Math-1-buggy,add_test.java,org.apache.commons.math3.fraction.BigFractionTest,testDigitLimitConvergenceEdgeCase,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,14,0.2500,2,0.2000,2,0.1667,285,42,30,10,285,42,32,8,315,56,32,12,329,42,34,10
Math,1,Math-1-buggy,add_test1.java,org.apache.commons.math3.fraction.FractionTest,testDigitLimitConvergenceEdgeCase,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,14,0.2500,2,0.2000,2,0.1667,285,42,30,10,285,42,32,8,315,56,32,12,329,42,34,10
Math,2,Math-2-buggy,add_test.java,org.apache.commons.math3.distribution.HypergeometricDistributionTest,testGetNumericalMeanOverflow,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,11,0,0,0,11,0,0,0,12,0,0,0,12,0,0,0
Math,2,Math-2-buggy,add_test1.java,org.apache.commons.math3.distribution.HypergeometricDistributionTest,testGetNumericalMeanLargeParameters,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,11,0,0,0,11,0,0,0,12,0,0,0,12,0,0,0
Math,3,Math-3-buggy,add_test.java,org.apache.commons.math3.util.MathArraysTest,testLinearCombinationWithEmptyArray,Pass,Not Pass,Not Pass,Pass,0,0.0000,7,0.0389,0,0.0000,1,0.1000,85,102,2,8,85,102,2,8,18,180,2,10,25,173,3,9
Math,3,Math-3-buggy,add_test1.java,org.apache.commons.math3.util.MathArraysTest,testLinearCombinationWithSingleElementArrayZero,Pass,Not Pass,Pass,Pass,0,0.0000,7,0.0389,0,0.0000,1,0.1000,85,102,2,8,85,102,2,8,18,180,2,10,25,173,3,9
Math,3,Math-3-buggy,add_test2.java,org.apache.commons.math3.util.MathArraysTest,testLinearCombinationWithSingleElementArrayNegative,Pass,Not Pass,Pass,Pass,0,0.0000,7,0.0389,0,0.0000,1,0.1000,85,102,2,8,85,102,2,8,18,180,2,10,25,173,3,9
Math,4,Math-4-buggy,add_test.java,org.apache.commons.math3.geometry.euclidean.threed.SubLineTest,testIntersectionParallel3D,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,26,138,0,36,26,138,0,36,34,130,3,39,34,130,3,39
Math,4,Math-4-buggy,add_test1.java,org.apache.commons.math3.geometry.euclidean.twod.SubLineTest,testIntersectionParallelVertical,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,26,138,0,36,26,138,0,36,34,130,3,39,34,130,3,39
Math,5,Math-5-buggy,add_test.java,org.apache.commons.math3.complex.ComplexTest,testReciprocalNegativeZero,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,15,63,3,7,15,63,3,7,15,63,3,7,15,63,3,7
Math,5,Math-5-buggy,add_test1.java,org.apache.commons.math3.complex.ComplexTest,testReciprocalMixedZero,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,15,63,3,7,15,63,3,7,15,63,3,7,15,63,3,7
Math,6,Math-6-buggy,add_test.java,org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest,testIterationsMultipleSteps,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,6,Math-6-buggy,add_test1.java,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest,testIterationsCountSimple,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,6,Math-6-buggy,add_test2.java,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest,testIterationsCount,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,6,Math-6-buggy,add_test3.java,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerNelderMeadTest,testIterationsBasic,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,6,Math-6-buggy,add_test4.java,org.apache.commons.math3.optim.nonlinear.vector.jacobian.AbstractLeastSquaresOptimizerAbstractTest,testGetIterationsConvergesQuickly,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,7,Math-7-buggy,add_test.java,org.apache.commons.math3.ode.nonstiff.DormandPrince853IntegratorTest,testEventStopWithMultipleEvents,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,7,Math-7-buggy,add_test1.java,org.apache.commons.math3.ode.nonstiff.DormandPrince853IntegratorTest,testEventResetWithMultipleEvents,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,8,Math-8-buggy,add_test.java,org.apache.commons.math3.distribution.DiscreteRealDistributionTest,testIssue942MultipleElements,Pass,Not Pass,Not Pass,Pass,9,0.5625,7,0.5000,1,0.5000,1,0.5000,16,16,2,2,25,7,3,1,21,14,2,2,28,7,3,1
Math,8,Math-8-buggy,add_test1.java,org.apache.commons.math3.distribution.DiscreteRealDistributionTest,testIssue942SingleElement,Pass,Pass,Pass,Pass,9,0.5625,7,0.5000,1,0.5000,1,0.5000,16,16,2,2,25,7,3,1,21,14,2,2,28,7,3,1
Math,9,Math-9-buggy,add_test.java,org.apache.commons.math3.geometry.euclidean.threed.LineTest,testRevertWithCustomTolerance,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,9,Math-9-buggy,add_test1.java,org.apache.commons.math3.geometry.euclidean.threed.LineTest,testRevertNonZeroOrigin,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,10,Math-10-buggy,add_test.java,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest,testAtan2NonZeroWithZero,Not Pass,Not Pass,Not Pass,Pass,58,1.0000,145,0.9477,5,1.0000,10,0.9091,87,58,3,5,145,0,8,0,40,153,5,11,185,8,15,1
Math,10,Math-10-buggy,add_test1.java,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest,testAtan2NegativeXBranch,Not Pass,Pass,Pass,Pass,58,1.0000,145,0.9477,5,1.0000,10,0.9091,87,58,3,5,145,0,8,0,40,153,5,11,185,8,15,1
Math,11,Math-11-buggy,add_test.java,org.apache.commons.math3.distribution.MultivariateNormalDistributionTest,testBivariateDistribution,Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,23,7,1,1,23,7,1,1,24,7,1,1,24,7,1,1
Math,11,Math-11-buggy,add_test1.java,org.apache.commons.math3.distribution.MultivariateNormalDistributionTest,testTrivariateDistribution,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,23,7,1,1,23,7,1,1,24,7,1,1,24,7,1,1
Math,13,Math-13-buggy,add_test.java,org.apache.commons.math3.optimization.fitting.PolynomialFitterTest,testSmallSampleHighDegree,Not Pass,Pass,Pass,Pass,8,1.0000,8,1.0000,0,0.0000,0,0.0000,0,8,0,0,8,0,0,0,0,8,0,0,8,0,0,0
Math,13,Math-13-buggy,add_test1.java,org.apache.commons.math3.optimization.fitting.PolynomialFitterTest,testMediumSampleLowDegree,Not Pass,Pass,Pass,Pass,8,1.0000,8,1.0000,0,0.0000,0,0.0000,0,8,0,0,8,0,0,0,0,8,0,0,8,0,0,0
Math,14,Math-14-buggy,add_test.java,org.apache.commons.math3.fitting.PolynomialFitterTest,testNegativeWeight,Not Pass,Not Pass,Pass,Pass,29,0.7436,40,0.7692,2,0.5000,4,1.0000,5,39,0,4,34,10,2,2,5,52,0,4,45,12,4,0
Math,14,Math-14-buggy,add_test1.java,org.apache.commons.math3.fitting.PolynomialFitterTest,testZeroWeight,Not Pass,Not Pass,Not Pass,Pass,29,0.7436,40,0.7692,2,0.5000,4,1.0000,5,39,0,4,34,10,2,2,5,52,0,4,45,12,4,0
Math,14,Math-14-buggy,add_test2.java,org.apache.commons.math3.fitting.PolynomialFitterTest,testVerySmallWeights,Not Pass,Pass,Pass,Pass,29,0.7436,40,0.7692,2,0.5000,4,1.0000,5,39,0,4,34,10,2,2,5,52,0,4,45,12,4,0
Math,15,Math-15-buggy,add_test.java,org.apache.commons.math3.util.FastMathTest,testMath904NegativeExponent,Not Pass,Not Pass,Pass,Pass,4,0.0183,0,0.0000,2,0.0328,0,0.0000,164,218,13,61,168,214,15,59,176,219,16,60,176,219,16,60
Math,15,Math-15-buggy,add_test1.java,org.apache.commons.math3.util.FastMathTest,testMath904DifferentBase,Not Pass,Not Pass,Pass,Pass,4,0.0183,0,0.0000,2,0.0328,0,0.0000,164,218,13,61,168,214,15,59,176,219,16,60,176,219,16,60
Math,16,Math-16-buggy,add_test.java,org.apache.commons.math3.util.FastMathTest,testCoshSinhBoundary,Not Pass,Pass,Pass,Pass,321,0.6701,326,0.6736,14,0.7778,14,0.7778,23,479,4,18,344,158,18,4,27,484,4,18,353,158,18,4
Math,17,Math-17-buggy,add_test.java,org.apache.commons.math3.dfp.DfpTest,testMultiplyAdditional,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,4,0,0,0,4,0,0,0,6,0,0,0,6,0,0,0
Math,18,Math-18-buggy,add_test.java,org.apache.commons.math3.optimization.direct.CMAESOptimizerTest,testBoundariesWithZeroRange,Not Pass,Pass,Pass,Pass,0,0.0000,16,0.3333,0,0.0000,2,0.2000,104,32,8,8,104,32,8,8,112,48,10,10,128,32,12,8
