project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Closure,1,Closure-1-buggy_ind1,add_test.java,com.google.javascript.jscomp.RemoveUnusedVarsTest,testRemoveUnusedParamAtEnd,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,44,14,6,6,44,14,6,6,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,1,Closure-1-buggy_ind2,add_test1.java,com.google.javascript.jscomp.RemoveUnusedVarsTest,testKeepUnusedParamInMiddle,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,44,14,6,6,44,14,6,6,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,1,Closure-1-buggy_ind3,add_test2.java,com.google.javascript.jscomp.CommandLineRunnerTest,testAdvancedModeRemovesUnusedParams,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,2,Closure-2-buggy_ind1,add_test.java,com.google.javascript.jscomp.TypeCheckTest,testInterfaceExtendsNonExistentWithValidInterface,Pass,Not Pass,Pass,Pass,17,0.2073,17,0.2073,2,0.2500,3,0.3333,3,82,0,8,20,65,2,6,6,82,1,9,23,65,4,6
Closure,2,Closure-2-buggy_ind2,add_test1.java,com.google.javascript.jscomp.TypeCheckTest,testMultipleNonExistentInterfacesInChain,Pass,Not Pass,Pass,Pass,20,0.2439,30,0.3659,2,0.2500,4,0.4444,3,82,0,8,23,62,2,6,6,82,1,9,36,52,5,5
Closure,3,Closure-3-buggy_ind1,add_test.java,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testDoNotInlineCatchExpression2,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,3,Closure-3-buggy_ind2,add_test1.java,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testDoNotInlineCatchExpression4,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,272,26,28,18,272,26,28,18,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,4,Closure-4-buggy_ind1,add_test.java,com.google.javascript.jscomp.TypeCheckTest,testImplementsLoopWithInterface,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,25,33,3,9,25,33,3,9,28,33,4,10,28,33,4,10
Closure,4,Closure-4-buggy_ind2,add_test1.java,com.google.javascript.jscomp.TypeCheckTest,testExtendsLoop,Not Pass,Not Pass,Not Pass,Pass,3,0.0909,3,0.0909,1,0.1111,1,0.1000,25,33,3,9,28,30,4,8,28,33,4,10,31,30,5,9
Closure,5,Closure-5-buggy_ind1,add_test.java,com.google.javascript.jscomp.InlineObjectLiteralsTest,testNoInlineDeletedPropertiesMultiple,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,110,25,20,12,110,25,20,12,103,37,18,16,103,37,18,16
Closure,5,Closure-5-buggy_ind2,add_test1.java,com.google.javascript.jscomp.InlineObjectLiteralsTest,testNoInlineDeletedPropertiesBeforeUse,Pass,Not Pass,Pass,Pass,0,0.0000,10,0.2703,0,0.0000,3,0.1875,110,25,20,12,110,25,20,12,103,37,18,16,113,27,21,13
Closure,6,Closure-6-buggy_ind1,add_test.java,com.google.javascript.jscomp.TypeCheckTest,testEnumToEnumAssignment,Pass,Not Pass,Not Pass,Pass,10,0.1695,3,0.1250,2,0.1000,2,0.1053,46,59,10,20,56,49,12,18,79,24,11,19,82,21,13,17
Closure,6,Closure-6-buggy_ind2,add_test1.java,com.google.javascript.jscomp.LooseTypeCheckTest,testConstructorToConstructorPropertyAssignment,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,1,0.0500,1,0.0526,46,59,10,20,46,59,11,19,79,24,11,19,79,24,12,18
Closure,7,Closure-7-buggy_ind1,add_test.java,com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest,testGoogIsFunction3,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,7,Closure-7-buggy_ind2,add_test1.java,com.google.javascript.jscomp.SemanticReverseAbstractInterpreterTest,testTypeof4,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,8,Closure-8-buggy_ind1,add_test.java,com.google.javascript.jscomp.CollapseVariableDeclarationsTest,testCannotRedeclareFunctionName,Pass,Pass,Pass,Pass,1,0.3333,0,0.0000,1,0.2500,1,0.1429,33,3,6,4,34,2,7,3,34,9,7,7,34,9,8,6
Closure,8,Closure-8-buggy_ind2,add_test1.java,com.google.javascript.jscomp.CollapseVariableDeclarationsTest,testCannotRedeclareCatchParameter,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,33,3,6,4,33,3,6,4,34,9,7,7,34,9,7,7
Closure,8,Closure-8-buggy_ind3,add_test2.java,com.google.javascript.jscomp.CollapseVariableDeclarationsTest,testCanRedeclareVarDeclaredInScope,Pass,Pass,Pass,Pass,0,0.0000,7,0.7778,0,0.0000,2,0.2857,33,3,6,4,33,3,6,4,34,9,7,7,41,2,9,5
Closure,9,Closure-9-buggy_ind1,add_test.java,com.google.javascript.jscomp.ProcessCommonJSModulesTest,testGuessModuleNameMixedSlashes,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,13,89,2,4,13,89,2,4,18,89,2,4,18,89,2,4
Closure,9,Closure-9-buggy_ind2,add_test1.java,com.google.javascript.jscomp.ProcessCommonJSModulesTest,testGuessModuleNameNoPrefix,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,13,89,2,4,13,89,2,4,18,89,2,4,18,89,2,4
Closure,9,Closure-9-buggy_ind3,add_test2.java,com.google.javascript.jscomp.ProcessCommonJSModulesTest,testGuessModuleNameEmptyPrefix,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,13,89,2,4,13,89,2,4,18,89,2,4,18,89,2,4
Closure,11,Closure-11-buggy_ind1,add_test.java,com.google.javascript.jscomp.TypeCheckTest,testGetpropAssignmentWithUndefined,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,43,16,5,3,43,16,5,3,36,16,3,1,36,16,3,1
Closure,11,Closure-11-buggy_ind2,add_test1.java,com.google.javascript.jscomp.TypeCheckTest,testGetpropAssignmentWithValidObject,Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,43,16,5,3,43,16,5,3,36,16,3,1,36,16,3,1
Closure,12,Closure-12-buggy_ind1,add_test.java,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testExceptionHandlerWithFinally,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,2,0,0,0,2,0,0,0,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,12,Closure-12-buggy_ind2,add_test1.java,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testNestedTryCatch,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,2,0,0,0,2,0,0,0,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,12,Closure-12-buggy_ind3,add_test2.java,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testTryWithoutCatch,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,2,0,0,0,2,0,0,0,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,13,Closure-13-buggy_ind1,add_test.java,com.google.javascript.jscomp.IntegrationTest,testIssue787_AdditionalTrigger1,Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,40,1,7,1,40,1,7,1,40,1,7,1,40,1,7,1
Closure,13,Closure-13-buggy_ind2,add_test1.java,com.google.javascript.jscomp.IntegrationTest,testIssue787_AdditionalTrigger2,Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,40,1,7,1,40,1,7,1,40,1,7,1,40,1,7,1
Closure,14,Closure-14-buggy_ind1,add_test.java,com.google.javascript.jscomp.CheckMissingReturnTest,testIssue779_nested_catch_finally,Not Pass,Not Pass,Not Pass,Pass,5,0.0833,5,0.0833,1,0.0500,1,0.0500,89,60,22,20,94,55,23,19,89,60,22,20,94,55,23,19
Closure,14,Closure-14-buggy_ind2,add_test1.java,com.google.javascript.jscomp.ControlFlowAnalysisTest,testNestedCatchWithFinally,Not Pass,Not Pass,Not Pass,Pass,7,0.1167,7,0.1167,2,0.1000,2,0.1000,89,60,22,20,96,53,24,18,89,60,22,20,96,53,24,18
Closure,15,Closure-15-buggy_ind1,add_test.java,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testDeleteWithMultipleReferences,Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,33,7,10,6,33,7,10,6,38,7,12,6,38,7,12,6
Closure,15,Closure-15-buggy_ind2,add_test1.java,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testDeleteBeforeUse,Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,33,7,10,6,33,7,10,6,38,7,12,6,38,7,12,6
Closure,15,Closure-15-buggy_ind3,add_test2.java,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testDeleteInConditional,Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,33,7,10,6,33,7,10,6,38,7,12,6,38,7,12,6
Closure,16,Closure-16-buggy_ind1,add_test.java,com.google.javascript.jscomp.ScopedAliasesTest,testIssue772_nullQualifiedName,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,87,7,6,2,87,7,6,2,91,7,7,3,91,7,7,3
Closure,16,Closure-16-buggy_ind2,add_test1.java,com.google.javascript.jscomp.ScopedAliasesTest,testIssue772_deeperNesting,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,87,7,6,2,87,7,6,2,91,7,7,3,91,7,7,3
Closure,16,Closure-16-buggy_ind3,add_test2.java,com.google.javascript.jscomp.IntegrationTest,testIssue772_withoutDot,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,87,7,6,2,87,7,6,2,91,7,7,3,91,7,7,3
Closure,17,Closure-17-buggy_ind1,add_test.java,com.google.javascript.jscomp.TypeCheckTest,testConstWithTypeAndRValueWithoutType,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,61,61,17,27,61,61,17,27,61,61,17,27,61,61,17,27
Closure,17,Closure-17-buggy_ind2,add_test1.java,com.google.javascript.jscomp.TypeCheckTest,testConstWithNestedOrIdiomMismatch,Not Pass,Pass,Pass,Pass,36,0.5902,36,0.5902,8,0.2963,8,0.2963,61,61,17,27,97,25,25,19,61,61,17,27,97,25,25,19
Closure,17,Closure-17-buggy_ind3,add_test2.java,com.google.javascript.jscomp.TypeCheckTest,testConstWithObjectLiteralNoAnnotation,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,61,61,17,27,61,61,17,27,61,61,17,27,61,61,17,27
Closure,18,Closure-18-buggy_ind1,add_test.java,com.google.javascript.jscomp.IntegrationTest,testDependencySortingWithMultipleRequires,Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,149,152,19,29,149,152,19,29,197,100,24,22,197,100,24,22
Closure,18,Closure-18-buggy_ind2,add_test1.java,com.google.javascript.jscomp.IntegrationTest,testDependencySortingWithCircularDependency,Pass,Not Pass,Not Pass,Pass,0,0.0000,19,0.1900,0,0.0000,1,0.0455,149,152,19,29,149,152,19,29,197,100,24,22,216,81,25,21
Closure,19,Closure-19-buggy_ind1,add_test.java,com.google.javascript.jscomp.TypeInferenceTest,testNoThisInferenceWithTypeCheck,Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,16,31,1,4,16,31,1,4,5,43,1,5,5,43,1,5
Closure,19,Closure-19-buggy_ind2,add_test1.java,com.google.javascript.jscomp.TypeInferenceTest,testNoThisInferenceNonNull,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,20,Closure-20-buggy_ind1,add_test.java,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntaxTest,testSimpleFunctionCallNoArgs,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,1,0.3333,1,0.3333,40,0,5,3,40,0,6,2,43,0,7,3,43,0,8,2
Closure,20,Closure-20-buggy_ind2,add_test1.java,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntaxTest,testSimpleFunctionCallMultipleArgs,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,40,0,5,3,40,0,5,3,43,0,7,3,43,0,7,3
Closure,21,Closure-21-buggy_ind1,add_test.java,com.google.javascript.jscomp.CheckSideEffectsTest,testUselessCodeInNestedComma,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,1,0.0476,0,0.0000,1,0.0625,132,15,38,10,132,15,38,10,152,21,40,16,153,20,41,15
Closure,21,Closure-21-buggy_ind2,add_test1.java,com.google.javascript.jscomp.CheckSideEffectsTest,testUselessCodeInCommaFirstChild,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,2,0.0952,0,0.0000,2,0.1250,132,15,38,10,132,15,38,10,152,21,40,16,154,19,42,14
Closure,21,Closure-21-buggy_ind3,add_test2.java,com.google.javascript.jscomp.CheckSideEffectsTest,testUselessCodeInForLoopComma,Not Pass,Pass,Not Pass,Pass,14,0.9333,18,0.8571,4,0.4000,6,0.3750,132,15,38,10,146,1,42,6,152,21,40,16,170,3,46,10
Closure,22,Closure-22-buggy_ind1,add_test.java,com.google.javascript.jscomp.CheckSideEffectsTest,testUselessCodeInCommaFirstChild,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,133,43,35,25,133,43,35,25,157,45,39,29,157,45,39,29
Closure,22,Closure-22-buggy_ind2,add_test1.java,com.google.javascript.jscomp.CheckSideEffectsTest,testUselessCodeInNestedComma,Not Pass,Pass,Not Pass,Pass,0,0.0000,2,0.0444,0,0.0000,2,0.0690,133,43,35,25,133,43,35,25,157,45,39,29,159,43,41,27
Closure,23,Closure-23-buggy_ind1,add_test.java,com.google.javascript.jscomp.PeepholeFoldConstantsTest,testFoldGetElemMultipleHoles,Not Pass,Not Pass,Pass,Pass,23,0.5476,0,0.0000,3,0.3333,0,0.0000,43,42,7,9,66,19,10,6,75,10,13,3,75,10,13,3
