project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Compress,1,Compress-1-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.CpioTestCase,testCpioCloseIdempotency,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,1,1.0000,1,1.0000,9,0,1,1,9,0,2,0,9,0,1,1,9,0,2,0
Compress,1,Compress-1-buggy_ind2,add_test1.java,org.apache.commons.compress.archivers.CpioTestCase,testCpioCloseWithException,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Compress,2,Compress-2-buggy,add_test.java,org.apache.commons.compress.archivers.ArTestCase,testArReadOddLengthEntry,Not Pass,Not Pass,Not Pass,Pass,,,,,,,,,,,,,167,50,16,8,,,,,167,53,16,10
Compress,3,Compress-3-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.ArchiveOutputStreamTest,testFinishWithoutEntry,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,37,126,2,12,37,126,2,12,43,141,3,13,43,141,3,13
Compress,3,Compress-3-buggy_ind2,add_test1.java,org.apache.commons.compress.archivers.ArchiveOutputStreamTest,testFinishAfterCloseEntry,Not Pass,Pass,Pass,Pass,10,0.0794,10,0.0709,2,0.1667,2,0.1538,37,126,2,12,47,116,4,10,43,141,3,13,53,131,5,11
Compress,4,Compress-4-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.jar.JarArchiveOutputStreamTest,testCloseWithFinishException,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,15,198,4,40,15,198,4,40,16,199,4,40,16,199,4,40
Compress,4,Compress-4-buggy_ind2,add_test1.java,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest,testCloseAfterException,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,15,198,4,40,15,198,4,40,16,199,4,40,16,199,4,40
Compress,5,Compress-5-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.zip.Maven221MultiVolumeTest,testReadTruncatedStoredEntryPartialBuffer,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,81,100,18,16,81,100,18,16,81,103,18,16,81,103,18,16
Compress,5,Compress-5-buggy_ind2,add_test1.java,org.apache.commons.compress.archivers.zip.Maven221MultiVolumeTest,testReadTruncatedStoredEntryMultipleReads,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,81,100,18,16,81,100,18,16,81,103,18,16,81,103,18,16
Compress,6,Compress-6-buggy_ind1,add_test.java,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testEqualsWithSameName,Pass,Pass,Pass,Pass,0,0.0000,2,0.1818,0,0.0000,1,0.1429,25,14,5,7,25,14,5,7,31,11,5,7,33,9,6,6
