project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Csv,1,Csv-1-buggy_ind1,add_test.java,org.apache.commons.csv.CSVParserTest,testGetLineNumberWithLF,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Csv,1,Csv-1-buggy_ind2,add_test1.java,org.apache.commons.csv.CSVParserTest,testGetLineNumberWithCRLF,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Csv,1,Csv-1-buggy_ind3,add_test2.java,org.apache.commons.csv.CSVParserTest,testGetLineNumberWithMixedLineEndings,Pass,Not Pass,Pass,Pass,0,0.0000,10,1.0000,0,0.0000,3,1.0000,12,6,1,1,12,6,1,1,22,10,3,3,32,0,6,0
Csv,2,Csv-2-buggy_ind1,add_test.java,org.apache.commons.csv.CSVRecordTest,testGetStringIndexOutOfBoundsNegative,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Csv,2,Csv-2-buggy_ind2,add_test1.java,org.apache.commons.csv.CSVRecordTest,testGetStringIndexAtBoundary,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Csv,3,Csv-3-buggy_ind1,add_test.java,org.apache.commons.csv.CSVLexerTest,testEscapedDigit,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,10,15,2,6,10,15,2,6,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Csv,3,Csv-3-buggy_ind2,add_test1.java,org.apache.commons.csv.CSVLexerTest,testEscapedSpecialChar,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,10,15,2,6,10,15,2,6,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Csv,3,Csv-3-buggy_ind3,add_test2.java,org.apache.commons.csv.CSVParserTest,testBackslashEscapingWithUnknownChar,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,10,15,2,6,10,15,2,6,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Csv,4,Csv-4-buggy_ind1,add_test.java,org.apache.commons.csv.CSVParserTest,testHeaderMapWithHeaders,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Csv,4,Csv-4-buggy_ind2,add_test1.java,org.apache.commons.csv.CSVParserTest,testHeaderMapImmutability,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Csv,5,Csv-5-buggy_ind1,add_test.java,org.apache.commons.csv.CSVFormatTest,testNullRecordSeparatorWithMultipleRecords,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Csv,5,Csv-5-buggy_ind2,add_test1.java,org.apache.commons.csv.CSVFormatTest,testNullRecordSeparatorPrintln,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
