project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Gson,1,Gson-1-buggy_ind1,add_test.java,com.google.gson.functional.TypeVariableTest,testNestedTypeVariables,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,1,Gson-1-buggy_ind2,add_test1.java,com.google.gson.functional.TypeVariableTest,testMultipleTypeParameters,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,2,Gson-2-buggy_ind1,add_test.java,com.google.gson.functional.DefaultTypeAdaptersTest,testJsonElementSubtypeDeserialization,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,26,20,1,1,26,20,1,1,28,18,2,0,28,18,2,0
Gson,2,Gson-2-buggy_ind2,add_test1.java,com.google.gson.functional.DefaultTypeAdaptersTest,testJsonElementArrayTypeMismatch,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,26,20,1,1,26,20,1,1,28,18,2,0,28,18,2,0
Gson,3,Gson-3-buggy_ind1,add_test.java,com.google.gson.functional.MapTest,testNavigableMap,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,3,Gson-3-buggy_ind2,add_test1.java,com.google.gson.functional.MapTest,testPlainMap,Not Compilable,Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,55,154,6,16,55,154,6,16,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,4,Gson-4-buggy_ind1,add_test.java,com.google.gson.stream.JsonWriterTest,testTopLevelJsonValue,Not Pass,Not Pass,Not Pass,Pass,4,0.0081,4,0.0082,1,0.0106,1,0.0109,69,494,12,94,73,490,13,93,69,488,12,92,73,484,13,91
Gson,4,Gson-4-buggy_ind2,add_test1.java,com.google.gson.stream.JsonWriterTest,testTopLevelNumberValue,Not Pass,Not Pass,Not Pass,Pass,22,0.0445,22,0.0451,5,0.0532,5,0.0543,69,494,12,94,91,472,17,89,69,488,12,92,91,466,17,87
Gson,4,Gson-4-buggy_ind3,add_test2.java,com.google.gson.stream.JsonReaderTest,testTopLevelStringMultiplePeeks,Not Pass,Not Pass,Pass,Pass,4,0.0081,20,0.0410,2,0.0213,4,0.0435,69,494,12,94,73,490,14,92,69,488,12,92,89,468,16,88
Gson,5,Gson-5-buggy_ind1,add_test.java,com.google.gson.DefaultDateTypeAdapterTest,testDateDeserializationISO8601_NegativeOffset,Pass,Not Pass,Not Pass,Pass,3,0.0385,3,0.0196,2,0.0833,2,0.0690,313,78,29,24,316,75,31,22,253,153,26,29,256,150,28,27
Gson,5,Gson-5-buggy_ind2,add_test1.java,com.google.gson.DefaultDateTypeAdapterTest,testDateDeserializationISO8601_MultiDigitOffset,Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,313,78,29,24,313,78,29,24,253,153,26,29,253,153,26,29
Gson,6,Gson-6-buggy_ind1,add_test.java,com.google.gson.regression.JsonAdapterNullSafeTest,testNullSafeFalseWithNullValue,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,24,20,2,2,24,20,2,2,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,6,Gson-6-buggy_ind2,add_test1.java,com.google.gson.regression.JsonAdapterNullSafeTest,testTypeAdapterFactoryWithNullSafe,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,7,Gson-7-buggy_ind1,add_test.java,com.google.gson.stream.JsonReaderTest,testNextLongWithQuotedValue,Not Pass,Pass,Pass,Pass,31,0.1023,47,0.1464,3,0.1500,4,0.2000,90,303,10,20,121,272,13,17,90,321,10,20,137,274,14,16
Gson,7,Gson-7-buggy_ind2,add_test1.java,com.google.gson.stream.JsonReaderTest,testNextIntWithQuotedValue,Not Pass,Pass,Pass,Pass,31,0.1023,47,0.1464,3,0.1500,4,0.2000,90,303,10,20,121,272,13,17,90,321,10,20,137,274,14,16
Gson,7,Gson-7-buggy_ind3,add_test2.java,com.google.gson.stream.JsonReaderTest,testNextLongWithSingleQuotedValue,Not Pass,Pass,Pass,Pass,32,0.1056,48,0.1495,3,0.1500,4,0.2000,90,303,10,20,122,271,13,17,90,321,10,20,138,273,14,16
Gson,7,Gson-7-buggy_ind4,add_test3.java,com.google.gson.stream.JsonReaderTest,testNextIntWithInvalidQuotedDouble,Not Pass,Pass,Pass,Pass,56,0.1848,56,0.1745,4,0.2000,4,0.2000,90,303,10,20,146,247,14,16,90,321,10,20,146,265,14,16
Gson,8,Gson-8-buggy,add_test.java,com.google.gson.internal.UnsafeAllocatorInstantiationTest,testConcreteClassInstantiation,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,9,Gson-9-buggy_ind1,add_test.java,com.google.gson.stream.JsonWriterTest,testBoxedBooleansInObject,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,14,58,2,12,14,58,2,12,14,58,2,12,14,58,2,12
Gson,9,Gson-9-buggy_ind2,add_test1.java,com.google.gson.stream.JsonWriterTest,testBoxedBooleansMixed,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,14,58,2,12,14,58,2,12,14,58,2,12,14,58,2,12
Gson,10,Gson-10-buggy_ind1,add_test.java,com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest,testNonPrimitiveFieldAnnotationTakesPrecedenceOverDefault,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Gson,10,Gson-10-buggy_ind2,add_test1.java,com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest,testFieldWithoutAnnotationUsesDefaultAdapter,Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,101,24,5,9,101,24,5,9,114,21,7,9,114,21,7,9
