project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Jxpath,1,JxPath-1-buggy_ind1,add_test.java,org.apache.commons.jxpath.ri.model.dom.DOMModelTest,testGetNodeNameMismatch,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jxpath,1,JxPath-1-buggy_ind2,add_test1.java,org.apache.commons.jxpath.ri.model.jdom.JDOMModelTest,testGetNodeNameMismatch,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jxpath,2,JxPath-2-buggy_ind1,add_test.java,org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest,testNodeSetReturnNull,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jxpath,2,JxPath-2-buggy_ind2,add_test1.java,org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest,testNodeSetReturnSingleNode,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,16,30,2,4,16,30,2,4,16,42,2,4,16,42,2,4
Jxpath,3,JxPath-3-buggy_ind1,add_test.java,org.apache.commons.jxpath.ri.model.beans.BadlyImplementedFactoryTest,testCreatePathWithEscapableCharacters,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,17,113,2,10,17,113,2,10,17,119,2,10,17,119,2,10
Jxpath,3,JxPath-3-buggy_ind2,add_test1.java,org.apache.commons.jxpath.ri.model.beans.BadlyImplementedFactoryTest,testCreatePathWithValue,Not Pass,Not Pass,Not Pass,Pass,17,0.1504,17,0.1429,2,0.2000,2,0.2000,17,113,2,10,34,96,4,8,17,119,2,10,34,102,4,8
Jxpath,4,JxPath-4-buggy_ind1,add_test.java,org.apache.commons.jxpath.ri.model.XMLSpaceTest,testDefaultSpaceDOM,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,78,135,11,37,78,135,11,37,78,136,11,37,78,136,11,37
Jxpath,4,JxPath-4-buggy_ind2,add_test1.java,org.apache.commons.jxpath.ri.model.XMLSpaceTest,testDefaultSpaceJDOM,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,78,135,11,37,78,135,11,37,78,136,11,37,78,136,11,37
Jxpath,4,JxPath-4-buggy_ind3,add_test2.java,org.apache.commons.jxpath.ri.model.XMLSpaceTest,testMixedContentDOM,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,78,135,11,37,78,135,11,37,78,136,11,37,78,136,11,37
Jxpath,4,JxPath-4-buggy_ind4,add_test3.java,org.apache.commons.jxpath.ri.model.XMLSpaceTest,testMixedContentJDOM,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,78,135,11,37,78,135,11,37,78,136,11,37,78,136,11,37
Jxpath,5,JxPath-5-buggy_ind1,add_test.java,org.apache.commons.jxpath.ri.compiler.VariableTest,testUnionOfNullVariableAndNode,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,35,61,7,13,35,61,7,13,39,67,9,17,39,67,9,17
Jxpath,5,JxPath-5-buggy_ind2,add_test1.java,org.apache.commons.jxpath.ri.compiler.VariableTest,testUnionOfNodeAndVariable,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,1,0.0769,1,0.0588,35,61,7,13,35,61,8,12,39,67,9,17,39,67,10,16
