project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Lang,1,Lang-1-buggy_ind1,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testHexBoundariesWithNegative,Not Pass,Not Pass,Not Pass,Pass,2,0.0059,2,0.0059,1,0.0118,1,0.0118,74,338,7,85,76,336,8,84,72,338,7,85,74,336,8,84
Lang,1,Lang-1-buggy_ind2,add_test1.java,org.apache.commons.lang3.math.NumberUtilsTest,testHexWithHashPrefix,Not Pass,Not Pass,Not Pass,Pass,2,0.0059,2,0.0059,1,0.0118,1,0.0118,74,338,7,85,76,336,8,84,72,338,7,85,74,336,8,84
Lang,1,Lang-1-buggy_ind3,add_test2.java,org.apache.commons.lang3.math.NumberUtilsTest,testHexExactly9And17Digits,Not Pass,Pass,Pass,Pass,6,0.0178,6,0.0178,2,0.0235,2,0.0235,74,338,7,85,80,332,9,83,72,338,7,85,78,332,9,83
Lang,3,Lang-3-buggy_ind1,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberWithTypeSuffixPrecisionLoss,Not Pass,Not Pass,Not Pass,Pass,68,0.2742,67,0.2713,13,0.1884,13,0.1884,158,248,19,69,226,180,32,56,158,247,19,69,225,180,32,56
Lang,3,Lang-3-buggy_ind2,add_test1.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberEdgeCasesInfinity,Not Pass,Not Pass,Not Pass,Pass,25,0.1008,25,0.1012,10,0.1449,10,0.1449,158,248,19,69,183,223,29,59,158,247,19,69,183,222,29,59
Lang,4,Lang-4-buggy_ind1,add_test.java,org.apache.commons.lang3.text.translate.LookupTranslatorTest,testLang882MultipleEntries,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,1,0.2000,Not Compilable,Not Compilable,96,11,9,5,96,11,10,4,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,4,Lang-4-buggy_ind2,add_test1.java,org.apache.commons.lang3.text.translate.LookupTranslatorTest,testLang882StringBuilder,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,96,11,9,5,96,11,9,5,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,5,Lang-5-buggy_ind1,add_test.java,org.apache.commons.lang3.LocaleUtilsTest,testLang865_AdditionalCase1,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,31,160,3,23,31,160,3,23,112,179,15,25,112,179,15,25
Lang,5,Lang-5-buggy_ind2,add_test1.java,org.apache.commons.lang3.LocaleUtilsTest,testLang865_AdditionalCase2,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,31,160,3,23,31,160,3,23,112,179,15,25,112,179,15,25
Lang,6,Lang-6-buggy_ind1,add_test.java,org.apache.commons.lang3.StringUtilsTest,testEscapeSurrogatePairsWithEscaping,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,34,22,5,5,34,22,5,5,26,20,5,3,26,20,5,3
Lang,6,Lang-6-buggy_ind2,add_test1.java,org.apache.commons.lang3.StringUtilsTest,testEscapeSurrogatePairsInQuotes,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,34,22,5,5,34,22,5,5,26,20,5,3,26,20,5,3
Lang,7,Lang-7-buggy,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberWithDSuffix,Not Pass,Pass,Pass,Pass,,,,,,,,,,,,,299,83,64,32,,,,,298,83,64,32
Lang,8,Lang-8-buggy_ind1,add_test.java,org.apache.commons.lang3.time.FastDatePrinterTest,testCalendarTimezoneRespectedWithDST,Not Pass,Not Pass,Pass,Pass,12,1.0000,15,1.0000,1,0.5000,2,0.6667,46,12,2,2,58,0,3,1,43,15,1,3,58,0,3,1
Lang,8,Lang-8-buggy_ind2,add_test1.java,org.apache.commons.lang3.time.FastDatePrinterTest,testCalendarTimezoneRespectedWithoutDST,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,46,12,2,2,46,12,2,2,43,15,1,3,43,15,1,3
Lang,9,Lang-9-buggy_ind1,add_test.java,org.apache.commons.lang3.time.FastDateParserTest,testUnterminatedQuoteAtEnd,Not Pass,Not Pass,Pass,Pass,4,0.4444,4,0.1143,1,0.3333,1,0.2000,99,9,5,3,103,5,6,2,81,35,5,5,85,31,6,4
Lang,9,Lang-9-buggy_ind2,add_test1.java,org.apache.commons.lang3.time.FastDateParserTest,testUnterminatedQuoteMiddle,Not Pass,Pass,Pass,Pass,5,0.5556,5,0.1429,1,0.3333,1,0.2000,99,9,5,3,104,4,6,2,81,35,5,5,86,30,6,4
Lang,9,Lang-9-buggy_ind3,add_test2.java,org.apache.commons.lang3.time.FastDateParserTest,testProperlyTerminatedQuote,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,10,Lang-10-buggy_ind1,add_test.java,org.apache.commons.lang3.time.FastDateParserTest,testEscapeRegexMultipleSpaces,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,36,18,6,7,36,18,6,7,36,18,6,7,36,18,6,7
Lang,10,Lang-10-buggy_ind2,add_test1.java,org.apache.commons.lang3.time.FastDateParserTest,testEscapeRegexSpecialChars,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,36,18,6,7,36,18,6,7,36,18,6,7,36,18,6,7
Lang,10,Lang-10-buggy_ind3,add_test2.java,org.apache.commons.lang3.time.FastDateParserTest,testEscapeRegexTrailingWhitespace,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,36,18,6,7,36,18,6,7,36,18,6,7,36,18,6,7
Lang,11,Lang-11-buggy_ind1,add_test.java,org.apache.commons.lang3.RandomStringUtilsTest,testLANG807_StartGreaterThanEnd,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,20,143,6,44,20,143,6,44,31,205,6,56,31,205,6,56
