project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Math,1,Math-1-buggy_ind1,add_test.java,org.apache.commons.math3.fraction.BigFractionTest,testDigitLimitConvergenceEdgeCase,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,7,0.1250,1,0.1000,1,0.0833,285,42,30,10,285,42,31,9,315,56,32,12,322,49,33,11
Math,1,Math-1-buggy_ind2,add_test1.java,org.apache.commons.math3.fraction.FractionTest,testDigitLimitConvergenceEdgeCase,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,7,0.1250,1,0.1000,1,0.0833,285,42,30,10,285,42,31,9,315,56,32,12,322,49,33,11
Math,2,Math-2-buggy_ind1,add_test.java,org.apache.commons.math3.distribution.HypergeometricDistributionTest,testGetNumericalMeanOverflow,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,11,0,0,0,11,0,0,0,12,0,0,0,12,0,0,0
Math,2,Math-2-buggy_ind2,add_test1.java,org.apache.commons.math3.distribution.HypergeometricDistributionTest,testGetNumericalMeanLargeParameters,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,11,0,0,0,11,0,0,0,12,0,0,0,12,0,0,0
Math,3,Math-3-buggy_ind1,add_test.java,org.apache.commons.math3.util.MathArraysTest,testLinearCombinationWithEmptyArray,Pass,Not Pass,Not Pass,Pass,0,0.0000,7,0.0389,0,0.0000,1,0.1000,85,102,2,8,85,102,2,8,18,180,2,10,25,173,3,9
Math,3,Math-3-buggy_ind2,add_test1.java,org.apache.commons.math3.util.MathArraysTest,testLinearCombinationWithSingleElementArrayZero,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,85,102,2,8,85,102,2,8,18,180,2,10,18,180,2,10
Math,3,Math-3-buggy_ind3,add_test2.java,org.apache.commons.math3.util.MathArraysTest,testLinearCombinationWithSingleElementArrayNegative,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,85,102,2,8,85,102,2,8,18,180,2,10,18,180,2,10
Math,4,Math-4-buggy_ind1,add_test.java,org.apache.commons.math3.geometry.euclidean.threed.SubLineTest,testIntersectionParallel3D,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,26,138,0,36,26,138,0,36,34,130,3,39,34,130,3,39
Math,4,Math-4-buggy_ind2,add_test1.java,org.apache.commons.math3.geometry.euclidean.twod.SubLineTest,testIntersectionParallelVertical,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,26,138,0,36,26,138,0,36,34,130,3,39,34,130,3,39
Math,5,Math-5-buggy_ind1,add_test.java,org.apache.commons.math3.complex.ComplexTest,testReciprocalNegativeZero,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,15,63,3,7,15,63,3,7,15,63,3,7,15,63,3,7
