project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Mockito,1,Mockito-1-buggy_ind1,add_test.java,org.mockito.internal.invocation.InvocationMatcherTest,should_capture_arguments_when_matchers_exceed_invocation_args,Not Pass,Not Pass,Pass,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,1,Mockito-1-buggy_ind2,add_test1.java,org.mockito.internal.invocation.InvocationMatcherTest,should_not_capture_when_matcher_is_not_capturing,Not Pass,Pass,Pass,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,2,Mockito-2-buggy_ind1,add_test.java,org.mockito.internal.util.TimerTest,should_accept_zero_duration,Not Compilable,Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,6,4,0,0,6,4,0,0,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,2,Mockito-2-buggy_ind2,add_test1.java,org.mockito.internal.util.TimerTest,should_accept_positive_duration,Not Compilable,Pass,Not Compilable,Pass,4,1.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,6,4,0,0,10,0,0,0,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,2,Mockito-2-buggy_ind3,add_test2.java,org.mockito.internal.util.TimerTest,should_throw_friendly_reminder_exception_when_duration_is_large_negative,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,6,4,0,0,6,4,0,0,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,3,Mockito-3-buggy_ind1,add_test.java,org.mockitousage.matchers.CapturingArgumentsTest,should_capture_varargs_with_single_element,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,62,25,8,6,62,25,8,6,60,25,8,6,60,25,8,6
Mockito,3,Mockito-3-buggy_ind2,add_test1.java,org.mockitousage.matchers.CapturingArgumentsTest,should_capture_varargs_with_empty_varargs,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,62,25,8,6,62,25,8,6,60,25,8,6,60,25,8,6
Mockito,4,Mockito-4-buggy_ind1,add_test.java,org.mockito.exceptions.ReporterTest,should_handle_mock_toString_throwing_exception_in_noMoreInteractionsWanted,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,4,Mockito-4-buggy_ind2,add_test1.java,org.mockito.exceptions.ReporterTest,should_handle_mock_toString_throwing_exception_in_noMoreInteractionsWantedInOrder,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Mockito,4,Mockito-4-buggy_ind3,add_test2.java,org.mockito.exceptions.ReporterTest,should_handle_null_mock_in_noMoreInteractionsWanted,Not Pass,Pass,Pass,Pass,18,0.5000,3,0.4286,0,0.0000,0,0.0000,52,36,0,0,70,18,0,0,91,7,0,0,94,4,0,0
