project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Time,1,Time-1-buggy_ind1,add_test.java,org.joda.time.TestPartial_Constructors,testConstructorEx7_TypeArray_intArray_AdditionalCase1,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,107,161,15,17,107,161,15,17,113,187,17,25,113,187,17,25
Time,1,Time-1-buggy_ind2,add_test1.java,org.joda.time.TestPartial_Constructors,testConstructorEx7_TypeArray_intArray_AdditionalCase2,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,107,161,15,17,107,161,15,17,113,187,17,25,113,187,17,25
Time,2,Time-2-buggy_ind1,add_test.java,org.joda.time.TestPartial_Basics,testWith_unsupportedField,Pass,Pass,Pass,Pass,62,0.2394,29,0.0954,10,0.2941,6,0.1154,182,259,18,34,244,197,28,24,194,304,22,52,223,275,28,46
Time,2,Time-2-buggy_ind2,add_test1.java,org.joda.time.TestPartial_Basics,testWith_mixedSupportedAndUnsupportedFields,Pass,Not Pass,Pass,Pass,62,0.2394,29,0.0954,10,0.2941,6,0.1154,182,259,18,34,244,197,28,24,194,304,22,52,223,275,28,46
Time,2,Time-2-buggy_ind3,add_test2.java,org.joda.time.TestPartial_Basics,testConstructor_withTwoFieldsNoRange,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,182,259,18,34,182,259,18,34,194,304,22,52,194,304,22,52
Time,3,Time-3-buggy_ind1,add_test.java,org.joda.time.TestMutableDateTime_Adds,testAddWeekyears_int_dstOverlapWinter_addZero,Pass,Not Pass,Pass,Pass,10,0.2222,3,0.0303,0,0.0000,1,0.0667,63,45,1,1,73,35,1,1,29,99,7,15,32,96,8,14
Time,3,Time-3-buggy_ind2,add_test1.java,org.joda.time.TestMutableDateTime_Adds,testAddMinutes_int_dstOverlapWinter_addZero,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Time,3,Time-3-buggy_ind3,add_test2.java,org.joda.time.TestMutableDateTime_Adds,testAddSeconds_int_dstOverlapWinter_addZero,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Time,3,Time-3-buggy_ind4,add_test3.java,org.joda.time.TestMutableDateTime_Adds,testAddMillis_int_dstOverlapWinter_addZero,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Time,4,Time-4-buggy_ind1,add_test.java,org.joda.time.TestPartial_Basics,testWithNewFieldValidationFailure,Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,2,0.2222,2,0.2222,142,31,9,9,142,31,11,7,127,46,9,9,127,46,11,7
