project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Jsoup,1,Jsoup-1-buggy_ind2,add_test1.java,org.jsoup.parser.ParserTest,normaliseMultipleTextNodes,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,58,0,7,1,58,0,7,1,53,9,8,2,53,9,8,2
Closure,111,Closure-111-buggy_ind2,add_test1.java,com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest,testGoogIsArrayWithCheckedUnknownType,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,2,0,0,0,2,0,0,0,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,66,Math-66-buggy_ind2,add_test1.java,org.apache.commons.math.optimization.univariate.BrentOptimizerTest,testQuinticMaxMin,Not Pass,Not Pass,Not Pass,Pass,9,0.2432,10,0.2778,3,0.3750,4,0.5000,389,37,50,8,398,28,53,5,389,36,50,8,399,26,54,4
Jsoup,79,Jsoup-79-buggy_ind1,add_test.java,org.jsoup.nodes.TextNodeTest,testLeafNodeChildNodesIsImmutable,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,5,0,0,0,5,0,0,0,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Math,37,Math-37-buggy_ind1,add_test.java,org.apache.commons.math.complex.ComplexTest,testTanLargeImaginary,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,60,4,2,2,60,4,2,2,106,4,18,2,106,4,18,2
Closure,110,Closure-110-buggy_ind2,add_test1.java,com.google.javascript.jscomp.ScopedAliasesTest,testFunctionDeclarationInLoop,Not Pass,Not Pass,Not Pass,Pass,100,0.7299,52,0.4602,8,0.3636,8,0.3200,48,137,6,22,148,37,14,14,96,113,9,25,148,61,17,17
Closure,125,Closure-125-buggy_ind3,add_test2.java,com.google.javascript.jscomp.TypeCheckTest,testNewWithEmptyType,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,24,27,3,5,24,27,3,5,28,26,4,6,28,26,4,6
Closure,46,Closure-46-buggy_ind3,add_test2.java,com.google.javascript.rhino.jstype.JSTypeTest,testRecordTypeLeastSuperType_PartialOverlap,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,49,4,6,2,49,4,6,2,69,4,8,2,69,4,8,2
Cli,18,Cli-18-buggy_ind1,add_test.java,org.apache.commons.cli.PosixParserTest,testStopAtNonOptionWithUnknownShortOption,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,61,83,8,12,61,83,8,12,66,83,8,12,66,83,8,12
Collections,23,Collections-23-buggy_ind1,add_test.java,org.apache.commons.collections4.TrieUtilsTest,testUnmodifiableTrieWithNestedUnmodifiable,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,5,0,0,0,5,0,0,0,20,0,4,0,20,0,4,0
Jacksondatabind,18,JacksonDatabind-18-buggy_ind2,add_test1.java,com.fasterxml.jackson.databind.seq.ReadRecoveryTest,testRootRecoveryWithComplexNesting,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,90,48,17,13,90,48,17,13,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Jacksoncore,23,JacksonCore-23-buggy_ind2,add_test1.java,com.fasterxml.jackson.core.util.TestDefaultPrettyPrinter,testDirectDefaultPrettyPrinterCreateInstance,Pass,Pass,Pass,Pass,0,0.0000,5,1.0000,0,0.0000,1,1.0000,5,0,0,0,5,0,0,0,20,5,1,1,25,0,2,0
Closure,24,Closure-24-buggy_ind1,add_test.java,com.google.javascript.jscomp.ScopedAliasesTest,testNonAliasLocalUninitializedVar,Not Pass,Pass,Pass,Pass,0,0.0000,0,0.0000,1,1.0000,1,1.0000,70,0,7,1,70,0,8,0,83,0,7,1,83,0,8,0
Jacksondatabind,74,JacksonDatabind-74-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl,testWithNonEmptyStringWithoutDefaultImpl,Pass,Pass,Pass,Pass,0,0.0000,25,0.4902,0,0.0000,2,0.2000,39,26,3,5,39,26,3,5,32,51,6,10,57,26,8,8
Closure,28,Closure-28-buggy_ind2,add_test1.java,com.google.javascript.jscomp.InlineFunctionsTest,testIssue728WithLongerIdentifiers,Not Compilable,Not Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,4,0,0,0,4,0,0,0,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Chart,11,Chart-11-buggy_ind2,add_test1.java,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualGeneralPathsWithNull,Pass,Pass,Pass,Pass,8,0.3810,8,0.4706,4,0.3333,4,0.4000,67,21,12,12,75,13,16,8,71,17,14,10,79,9,18,6
Jacksondatabind,100,JacksonDatabind-100-buggy_ind1,add_test.java,com.fasterxml.jackson.databind.node.TestConversions,testBase64WithDifferentVariants,Not Compilable,Pass,Not Compilable,Pass,0,0.0000,Not Compilable,Not Compilable,0,0.0000,Not Compilable,Not Compilable,12,15,2,6,12,15,2,6,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Closure,71,Closure-71-buggy_ind1,add_test.java,com.google.javascript.jscomp.CheckAccessControlsTest,testNoPrivateAccessForProperties6_AdditionalBranch,Not Pass,Not Pass,Not Pass,Pass,2,0.0189,2,0.0137,1,0.0370,1,0.0286,103,106,21,27,105,104,22,26,105,146,21,35,107,144,22,34
