project,bug_id,folder,result
Chart,1,Chart-1-buggy,Pass
Chart,2,Chart-2-buggy,Not Pass
Chart,3,Chart-3-buggy,Pass
Chart,4,Chart-4-buggy,Pass
Chart,5,Chart-5-buggy,Pass
Chart,6,Chart-6-buggy,Pass
Chart,7,Chart-7-buggy,Pass
Chart,8,Chart-8-buggy,Pass
Chart,9,Chart-9-buggy,Pass
Chart,10,Chart-10-buggy,Pass
Chart,11,Chart-11-buggy,Pass
Chart,12,Chart-12-buggy,Pass
Chart,13,Chart-13-buggy,Not Pass
Chart,14,Chart-14-buggy,Pass
Chart,15,Chart-15-buggy,Pass
Chart,16,Chart-16-buggy,Pass
Chart,17,Chart-17-buggy,Pass
Chart,18,Chart-18-buggy,Pass
Chart,19,Chart-19-buggy,Pass
Chart,20,Chart-20-buggy,Pass
Chart,21,Chart-21-buggy,Pass
Chart,22,Chart-22-buggy,Not Pass
Chart,23,Chart-23-buggy,Not Pass
Chart,24,Chart-24-buggy,Pass
Chart,25,Chart-25-buggy,Pass
Chart,26,Chart-26-buggy,Pass
