project,bug_id,folder,class_entry,file,method_sig_snippet,fixed_method_start_line,fixed_method_end_line
JacksonCore,1,JacksonCore-1-buggy,com.fasterxml.jackson.core.io.NumberInput,com/fasterxml/jackson/core/io/NumberInput.java,public static BigDecimal parseBigDecimal(String numStr) throws NumberFormatException,293,300
JacksonCore,1,JacksonCore-1-buggy,com.fasterxml.jackson.core.io.NumberInput,com/fasterxml/jackson/core/io/NumberInput.java,"public static BigDecimal parseBigDecimal(char[] buffer, int offset, int len)",306,326
JacksonCore,1,JacksonCore-1-buggy,com.fasterxml.jackson.core.util.TextBuffer,com/fasterxml/jackson/core/util/TextBuffer.java,public BigDecimal contentsAsDecimal(),382,399
JacksonCore,1,JacksonCore-1-buggy_ind1,com.fasterxml.jackson.core.io.NumberInput,com/fasterxml/jackson/core/io/NumberInput.java,public static BigDecimal parseBigDecimal(String numStr) throws NumberFormatException,293,300
JacksonCore,1,JacksonCore-1-buggy_ind1,com.fasterxml.jackson.core.io.NumberInput,com/fasterxml/jackson/core/io/NumberInput.java,"public static BigDecimal parseBigDecimal(char[] buffer, int offset, int len)",306,326
JacksonCore,1,JacksonCore-1-buggy_ind1,com.fasterxml.jackson.core.util.TextBuffer,com/fasterxml/jackson/core/util/TextBuffer.java,public BigDecimal contentsAsDecimal(),382,399
JacksonCore,1,JacksonCore-1-buggy_ind2,com.fasterxml.jackson.core.io.NumberInput,com/fasterxml/jackson/core/io/NumberInput.java,public static BigDecimal parseBigDecimal(String numStr) throws NumberFormatException,293,300
JacksonCore,1,JacksonCore-1-buggy_ind2,com.fasterxml.jackson.core.io.NumberInput,com/fasterxml/jackson/core/io/NumberInput.java,"public static BigDecimal parseBigDecimal(char[] buffer, int offset, int len)",306,326
JacksonCore,1,JacksonCore-1-buggy_ind2,com.fasterxml.jackson.core.util.TextBuffer,com/fasterxml/jackson/core/util/TextBuffer.java,public BigDecimal contentsAsDecimal(),382,399
JacksonCore,1,JacksonCore-1-buggy_ind3,com.fasterxml.jackson.core.io.NumberInput,com/fasterxml/jackson/core/io/NumberInput.java,public static BigDecimal parseBigDecimal(String numStr) throws NumberFormatException,293,300
JacksonCore,1,JacksonCore-1-buggy_ind3,com.fasterxml.jackson.core.io.NumberInput,com/fasterxml/jackson/core/io/NumberInput.java,"public static BigDecimal parseBigDecimal(char[] buffer, int offset, int len)",306,326
JacksonCore,1,JacksonCore-1-buggy_ind3,com.fasterxml.jackson.core.util.TextBuffer,com/fasterxml/jackson/core/util/TextBuffer.java,public BigDecimal contentsAsDecimal(),382,399
JacksonCore,10,JacksonCore-10-buggy,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer.java,private int _findOffsetForAdd(int hash),887,935
JacksonCore,10,JacksonCore-10-buggy,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer.java,public int calcHash(int q1),976,987
JacksonCore,10,JacksonCore-10-buggy_ind1,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer.java,private int _findOffsetForAdd(int hash),887,935
JacksonCore,10,JacksonCore-10-buggy_ind1,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer.java,public int calcHash(int q1),976,987
JacksonCore,10,JacksonCore-10-buggy_ind2,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer.java,private int _findOffsetForAdd(int hash),887,935
JacksonCore,10,JacksonCore-10-buggy_ind2,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer.java,public int calcHash(int q1),976,987
JacksonCore,11,JacksonCore-11-buggy,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer.java,private void _verifySharing(),874,889
JacksonCore,12,JacksonCore-12-buggy,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,706
JacksonCore,12,JacksonCore-12-buggy,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public boolean nextFieldName(SerializableString sstr) throws IOException,733,810
JacksonCore,12,JacksonCore-12-buggy,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public String nextFieldName() throws IOException,813,915
JacksonCore,12,JacksonCore-12-buggy,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,private final void _isNextTokenNameYes(int i) throws IOException,917,961
JacksonCore,12,JacksonCore-12-buggy,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,"protected boolean _isNextTokenNameMaybe(int i, String nameToMatch) throws IOException",963,1017
JacksonCore,12,JacksonCore-12-buggy,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public JsonLocation getTokenLocation(),2671,2687
JacksonCore,12,JacksonCore-12-buggy_ind1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,706
JacksonCore,12,JacksonCore-12-buggy_ind1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public boolean nextFieldName(SerializableString sstr) throws IOException,733,810
JacksonCore,12,JacksonCore-12-buggy_ind1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public String nextFieldName() throws IOException,813,915
JacksonCore,12,JacksonCore-12-buggy_ind1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,private final void _isNextTokenNameYes(int i) throws IOException,917,961
JacksonCore,12,JacksonCore-12-buggy_ind1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,"protected boolean _isNextTokenNameMaybe(int i, String nameToMatch) throws IOException",963,1017
JacksonCore,12,JacksonCore-12-buggy_ind1,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public JsonLocation getTokenLocation(),2671,2687
JacksonCore,12,JacksonCore-12-buggy_ind2,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public final JsonToken nextToken() throws IOException,574,706
JacksonCore,12,JacksonCore-12-buggy_ind2,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public boolean nextFieldName(SerializableString sstr) throws IOException,733,810
JacksonCore,12,JacksonCore-12-buggy_ind2,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public String nextFieldName() throws IOException,813,915
JacksonCore,12,JacksonCore-12-buggy_ind2,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,private final void _isNextTokenNameYes(int i) throws IOException,917,961
JacksonCore,12,JacksonCore-12-buggy_ind2,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,"protected boolean _isNextTokenNameMaybe(int i, String nameToMatch) throws IOException",963,1017
JacksonCore,12,JacksonCore-12-buggy_ind2,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,public JsonLocation getTokenLocation(),2671,2687
JacksonCore,13,JacksonCore-13-buggy,com.fasterxml.jackson.core.json.JsonGeneratorImpl,com/fasterxml/jackson/core/json/JsonGeneratorImpl.java,public JsonGenerator enable(Feature f) {,119,125
JacksonCore,13,JacksonCore-13-buggy_ind1,com.fasterxml.jackson.core.json.JsonGeneratorImpl,com/fasterxml/jackson/core/json/JsonGeneratorImpl.java,public JsonGenerator enable(Feature f) {,119,125
JacksonCore,13,JacksonCore-13-buggy_ind2,com.fasterxml.jackson.core.json.JsonGeneratorImpl,com/fasterxml/jackson/core/json/JsonGeneratorImpl.java,public JsonGenerator enable(Feature f) {,119,125
JacksonCore,14,JacksonCore-14-buggy,com.fasterxml.jackson.core.io.IOContext,com/fasterxml/jackson/core/io/IOContext.java,"protected final void _verifyRelease(byte[] toRelease, byte[] src) {",272,275
JacksonCore,14,JacksonCore-14-buggy,com.fasterxml.jackson.core.io.IOContext,com/fasterxml/jackson/core/io/IOContext.java,"protected final void _verifyRelease(char[] toRelease, char[] src) {",277,280
JacksonCore,14,JacksonCore-14-buggy,com.fasterxml.jackson.core.io.IOContext,com/fasterxml/jackson/core/io/IOContext.java,private IllegalArgumentException wrongBuf() {,282,285
JacksonCore,14,JacksonCore-14-buggy_ind1,com.fasterxml.jackson.core.io.IOContext,com/fasterxml/jackson/core/io/IOContext.java,"protected final void _verifyRelease(byte[] toRelease, byte[] src) {",272,275
JacksonCore,14,JacksonCore-14-buggy_ind1,com.fasterxml.jackson.core.io.IOContext,com/fasterxml/jackson/core/io/IOContext.java,"protected final void _verifyRelease(char[] toRelease, char[] src) {",277,280
JacksonCore,14,JacksonCore-14-buggy_ind1,com.fasterxml.jackson.core.io.IOContext,com/fasterxml/jackson/core/io/IOContext.java,private IllegalArgumentException wrongBuf() {,282,285
JacksonCore,14,JacksonCore-14-buggy_ind2,com.fasterxml.jackson.core.io.IOContext,com/fasterxml/jackson/core/io/IOContext.java,"protected final void _verifyRelease(byte[] toRelease, byte[] src) {",272,275
JacksonCore,14,JacksonCore-14-buggy_ind2,com.fasterxml.jackson.core.io.IOContext,com/fasterxml/jackson/core/io/IOContext.java,"protected final void _verifyRelease(char[] toRelease, char[] src) {",277,280
JacksonCore,14,JacksonCore-14-buggy_ind2,com.fasterxml.jackson.core.io.IOContext,com/fasterxml/jackson/core/io/IOContext.java,private IllegalArgumentException wrongBuf() {,282,285
JacksonCore,15,JacksonCore-15-buggy,com.fasterxml.jackson.core.filter.FilteringParserDelegate,com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,public JsonToken nextToken() throws IOException,222,442
JacksonCore,15,JacksonCore-15-buggy_ind1,com.fasterxml.jackson.core.filter.FilteringParserDelegate,com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,public JsonToken nextToken() throws IOException,222,442
JacksonCore,15,JacksonCore-15-buggy_ind2,com.fasterxml.jackson.core.filter.FilteringParserDelegate,com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,public JsonToken nextToken() throws IOException,222,442
JacksonCore,15,JacksonCore-15-buggy_ind3,com.fasterxml.jackson.core.filter.FilteringParserDelegate,com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,public JsonToken nextToken() throws IOException,222,442
JacksonCore,16,JacksonCore-16-buggy,com.fasterxml.jackson.core.util.JsonParserSequence,com/fasterxml/jackson/core/util/JsonParserSequence.java,protected JsonParserSequence(JsonParser[] parsers),42,47
JacksonCore,16,JacksonCore-16-buggy,com.fasterxml.jackson.core.util.JsonParserSequence,com/fasterxml/jackson/core/util/JsonParserSequence.java,"public JsonToken nextToken() throws IOException, JsonParseException",104,118
JacksonCore,16,JacksonCore-16-buggy_ind1,com.fasterxml.jackson.core.util.JsonParserSequence,com/fasterxml/jackson/core/util/JsonParserSequence.java,protected JsonParserSequence(JsonParser[] parsers),42,47
JacksonCore,16,JacksonCore-16-buggy_ind1,com.fasterxml.jackson.core.util.JsonParserSequence,com/fasterxml/jackson/core/util/JsonParserSequence.java,"public JsonToken nextToken() throws IOException, JsonParseException",104,118
JacksonCore,16,JacksonCore-16-buggy_ind2,com.fasterxml.jackson.core.util.JsonParserSequence,com/fasterxml/jackson/core/util/JsonParserSequence.java,protected JsonParserSequence(JsonParser[] parsers),42,47
JacksonCore,16,JacksonCore-16-buggy_ind2,com.fasterxml.jackson.core.util.JsonParserSequence,com/fasterxml/jackson/core/util/JsonParserSequence.java,"public JsonToken nextToken() throws IOException, JsonParseException",104,118
JacksonCore,16,JacksonCore-16-buggy_ind3,com.fasterxml.jackson.core.util.JsonParserSequence,com/fasterxml/jackson/core/util/JsonParserSequence.java,protected JsonParserSequence(JsonParser[] parsers),42,47
JacksonCore,16,JacksonCore-16-buggy_ind3,com.fasterxml.jackson.core.util.JsonParserSequence,com/fasterxml/jackson/core/util/JsonParserSequence.java,"public JsonToken nextToken() throws IOException, JsonParseException",104,118
JacksonCore,17,JacksonCore-17-buggy,com.fasterxml.jackson.core.json.UTF8JsonGenerator,com/fasterxml/jackson/core/json/UTF8JsonGenerator.java,"public void writeRaw(String text, int offset, int len) throws IOException",523,550
JacksonCore,17,JacksonCore-17-buggy,com.fasterxml.jackson.core.json.UTF8JsonGenerator,com/fasterxml/jackson/core/json/UTF8JsonGenerator.java,"private final void _writeSegmentedRaw(char[] cbuf, int offset, int len) throws IOException",635,669
JacksonCore,17,JacksonCore-17-buggy,com.fasterxml.jackson.core.json.UTF8JsonGenerator,com/fasterxml/jackson/core/json/UTF8JsonGenerator.java,"private final int _outputRawMultiByteChar(int ch, char[] cbuf, int inputOffset, int inputEnd)",1887,1906
JacksonCore,17,JacksonCore-17-buggy_ind1,com.fasterxml.jackson.core.json.UTF8JsonGenerator,com/fasterxml/jackson/core/json/UTF8JsonGenerator.java,"public void writeRaw(String text, int offset, int len) throws IOException",523,550
