project,bug_id,folder,class_entry,file,method_sig_snippet,fixed_method_start_line,fixed_method_end_line
JacksonXml,1,JacksonXml-1-buggy,com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,584
JacksonXml,1,JacksonXml-1-buggy_ind1,com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,584
JacksonXml,1,JacksonXml-1-buggy_ind2,com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public JsonToken nextToken() throws IOException,445,584
JacksonXml,2,JacksonXml-2-buggy,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java,private final int _next() throws XMLStreamException,309,363
JacksonXml,2,JacksonXml-2-buggy,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java,private JsonLocation _extractLocation(XMLStreamLocation2 location),501,510
JacksonXml,2,JacksonXml-2-buggy_ind1,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java,private final int _next() throws XMLStreamException,309,363
JacksonXml,2,JacksonXml-2-buggy_ind1,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java,private JsonLocation _extractLocation(XMLStreamLocation2 location),501,510
JacksonXml,2,JacksonXml-2-buggy_ind2,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java,private final int _next() throws XMLStreamException,309,363
JacksonXml,2,JacksonXml-2-buggy_ind2,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java,private JsonLocation _extractLocation(XMLStreamLocation2 location),501,510
JacksonXml,3,JacksonXml-3-buggy,com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public String nextTextValue() throws IOException,601,693
JacksonXml,3,JacksonXml-3-buggy_ind1,com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public String nextTextValue() throws IOException,601,693
JacksonXml,3,JacksonXml-3-buggy_ind2,com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public String nextTextValue() throws IOException,601,693
JacksonXml,3,JacksonXml-3-buggy_ind3,com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,public String nextTextValue() throws IOException,601,693
JacksonXml,4,JacksonXml-4-buggy,com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java,protected void _serializeXmlNull(JsonGenerator jgen) throws IOException,200,208
JacksonXml,4,JacksonXml-4-buggy_ind1,com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java,protected void _serializeXmlNull(JsonGenerator jgen) throws IOException,200,208
JacksonXml,4,JacksonXml-4-buggy_ind2,com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java,protected void _serializeXmlNull(JsonGenerator jgen) throws IOException,200,208
JacksonXml,5,JacksonXml-5-buggy,com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java,protected XmlSerializerProvider(XmlSerializerProvider src) {,55,60
JacksonXml,5,JacksonXml-5-buggy_ind1,com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java,protected XmlSerializerProvider(XmlSerializerProvider src) {,55,60
JacksonXml,5,JacksonXml-5-buggy_ind2,com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java,protected XmlSerializerProvider(XmlSerializerProvider src) {,55,60
JacksonXml,6,JacksonXml-6-buggy,com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java,"public void writeBinary(Base64Variant b64variant, byte[] data, int offset, int len) throws IOException",808,841
JacksonXml,6,JacksonXml-6-buggy,com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java,"private byte[] toFullBuffer(byte[] data, int offset, int len)",853,864
JacksonXml,6,JacksonXml-6-buggy_ind1,com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java,"public void writeBinary(Base64Variant b64variant, byte[] data, int offset, int len) throws IOException",808,841
JacksonXml,6,JacksonXml-6-buggy_ind1,com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java,"private byte[] toFullBuffer(byte[] data, int offset, int len)",853,864
JacksonXml,6,JacksonXml-6-buggy_ind2,com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java,"public void writeBinary(Base64Variant b64variant, byte[] data, int offset, int len) throws IOException",808,841
JacksonXml,6,JacksonXml-6-buggy_ind2,com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java,"private byte[] toFullBuffer(byte[] data, int offset, int len)",853,864
