project,bug_id,folder,class_entry,file,method_sig_snippet,fixed_method_start_line,fixed_method_end_line
Jsoup,1,Jsoup-1-buggy,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130
Jsoup,1,Jsoup-1-buggy_ind1,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130
Jsoup,1,Jsoup-1-buggy_ind2,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130
Jsoup,1,Jsoup-1-buggy_ind3,org.jsoup.nodes.Document,org/jsoup/nodes/Document.java,private void normalise(Element element) {,113,130
Jsoup,10,Jsoup-10-buggy,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190
Jsoup,10,Jsoup-10-buggy_ind1,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190
Jsoup,10,Jsoup-10-buggy_ind2,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190
Jsoup,10,Jsoup-10-buggy_ind3,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190
Jsoup,10,Jsoup-10-buggy_ind4,org.jsoup.nodes.Node,org/jsoup/nodes/Node.java,public String absUrl(String attributeKey) {,156,190
Jsoup,11,Jsoup-11-buggy,org.jsoup.select.Selector,org/jsoup/select/Selector.java,private Elements select() {,104,136
Jsoup,11,Jsoup-11-buggy,org.jsoup.select.Selector,org/jsoup/select/Selector.java,private Elements findElements() {,157,189
Jsoup,11,Jsoup-11-buggy,org.jsoup.select.Selector,org/jsoup/select/Selector.java,private Elements matches(boolean own) {,301,307
Jsoup,11,Jsoup-11-buggy,org.jsoup.select.Selector,org/jsoup/select/Selector.java,"private static Elements filterForSelf(Collection<Element> parents, Collection<Element> candidates) {",390,401
Jsoup,11,Jsoup-11-buggy_ind1,org.jsoup.select.Selector,org/jsoup/select/Selector.java,private Elements select() {,104,136
Jsoup,11,Jsoup-11-buggy_ind1,org.jsoup.select.Selector,org/jsoup/select/Selector.java,private Elements findElements() {,157,189
Jsoup,11,Jsoup-11-buggy_ind1,org.jsoup.select.Selector,org/jsoup/select/Selector.java,private Elements matches(boolean own) {,301,307
Jsoup,11,Jsoup-11-buggy_ind1,org.jsoup.select.Selector,org/jsoup/select/Selector.java,"private static Elements filterForSelf(Collection<Element> parents, Collection<Element> candidates) {",390,401
Jsoup,11,Jsoup-11-buggy_ind2,org.jsoup.select.Selector,org/jsoup/select/Selector.java,private Elements select() {,104,136
Jsoup,11,Jsoup-11-buggy_ind2,org.jsoup.select.Selector,org/jsoup/select/Selector.java,private Elements findElements() {,157,189
Jsoup,11,Jsoup-11-buggy_ind2,org.jsoup.select.Selector,org/jsoup/select/Selector.java,private Elements matches(boolean own) {,301,307
Jsoup,11,Jsoup-11-buggy_ind2,org.jsoup.select.Selector,org/jsoup/select/Selector.java,"private static Elements filterForSelf(Collection<Element> parents, Collection<Element> candidates) {",390,401
Jsoup,11,Jsoup-11-buggy_ind3,org.jsoup.select.Selector,org/jsoup/select/Selector.java,private Elements select() {,104,136
Jsoup,11,Jsoup-11-buggy_ind3,org.jsoup.select.Selector,org/jsoup/select/Selector.java,private Elements findElements() {,157,189
