project,bug_id,folder,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Gson,11,Gson-11-buggy,function_1,com.google.gson.internal.bind.TypeAdapters,com/google/gson/internal/bind/TypeAdapters.java,public Number read(JsonReader in) throws IOException {,364,376,364,1,,,,,
Gson,11,Gson-11-buggy,function_1,com.google.gson.internal.bind.TypeAdapters,com/google/gson/internal/bind/TypeAdapters.java,public Number read(JsonReader in) throws IOException {,364,376,365,2,3,0,0,0,True
Gson,11,Gson-11-buggy,function_1,com.google.gson.internal.bind.TypeAdapters,com/google/gson/internal/bind/TypeAdapters.java,public Number read(JsonReader in) throws IOException {,364,376,366,3,5,0,1,2,True
Gson,11,Gson-11-buggy,function_1,com.google.gson.internal.bind.TypeAdapters,com/google/gson/internal/bind/TypeAdapters.java,public Number read(JsonReader in) throws IOException {,364,376,367,4,,,,,
Gson,11,Gson-11-buggy,function_1,com.google.gson.internal.bind.TypeAdapters,com/google/gson/internal/bind/TypeAdapters.java,public Number read(JsonReader in) throws IOException {,364,376,368,5,0,2,0,0,False
Gson,11,Gson-11-buggy,function_1,com.google.gson.internal.bind.TypeAdapters,com/google/gson/internal/bind/TypeAdapters.java,public Number read(JsonReader in) throws IOException {,364,376,369,6,0,2,0,0,False
Gson,11,Gson-11-buggy,function_1,com.google.gson.internal.bind.TypeAdapters,com/google/gson/internal/bind/TypeAdapters.java,public Number read(JsonReader in) throws IOException {,364,376,370,7,,,,,
Gson,11,Gson-11-buggy,function_1,com.google.gson.internal.bind.TypeAdapters,com/google/gson/internal/bind/TypeAdapters.java,public Number read(JsonReader in) throws IOException {,364,376,371,8,,,,,
Gson,11,Gson-11-buggy,function_1,com.google.gson.internal.bind.TypeAdapters,com/google/gson/internal/bind/TypeAdapters.java,public Number read(JsonReader in) throws IOException {,364,376,372,9,6,0,0,0,True
Gson,11,Gson-11-buggy,function_1,com.google.gson.internal.bind.TypeAdapters,com/google/gson/internal/bind/TypeAdapters.java,public Number read(JsonReader in) throws IOException {,364,376,373,10,,,,,
Gson,11,Gson-11-buggy,function_1,com.google.gson.internal.bind.TypeAdapters,com/google/gson/internal/bind/TypeAdapters.java,public Number read(JsonReader in) throws IOException {,364,376,374,11,0,12,0,0,False
Gson,11,Gson-11-buggy,function_1,com.google.gson.internal.bind.TypeAdapters,com/google/gson/internal/bind/TypeAdapters.java,public Number read(JsonReader in) throws IOException {,364,376,375,12,,,,,
Gson,11,Gson-11-buggy,function_1,com.google.gson.internal.bind.TypeAdapters,com/google/gson/internal/bind/TypeAdapters.java,public Number read(JsonReader in) throws IOException {,364,376,376,13,,,,,
Gson,13,Gson-13-buggy,function_1,com.google.gson.stream.JsonReader,com/google/gson/stream/JsonReader.java,private int peekNumber() throws IOException {,641,742,641,1,,,,,
Gson,13,Gson-13-buggy,function_1,com.google.gson.stream.JsonReader,com/google/gson/stream/JsonReader.java,private int peekNumber() throws IOException {,641,742,642,2,,,,,
Gson,13,Gson-13-buggy,function_1,com.google.gson.stream.JsonReader,com/google/gson/stream/JsonReader.java,private int peekNumber() throws IOException {,641,742,643,3,3,0,0,0,True
Gson,13,Gson-13-buggy,function_1,com.google.gson.stream.JsonReader,com/google/gson/stream/JsonReader.java,private int peekNumber() throws IOException {,641,742,644,4,3,0,0,0,True
Gson,13,Gson-13-buggy,function_1,com.google.gson.stream.JsonReader,com/google/gson/stream/JsonReader.java,private int peekNumber() throws IOException {,641,742,645,5,3,0,0,0,True
Gson,13,Gson-13-buggy,function_1,com.google.gson.stream.JsonReader,com/google/gson/stream/JsonReader.java,private int peekNumber() throws IOException {,641,742,646,6,,,,,
Gson,13,Gson-13-buggy,function_1,com.google.gson.stream.JsonReader,com/google/gson/stream/JsonReader.java,private int peekNumber() throws IOException {,641,742,647,7,2,0,0,0,True
Gson,13,Gson-13-buggy,function_1,com.google.gson.stream.JsonReader,com/google/gson/stream/JsonReader.java,private int peekNumber() throws IOException {,641,742,648,8,2,0,0,0,True
Gson,13,Gson-13-buggy,function_1,com.google.gson.stream.JsonReader,com/google/gson/stream/JsonReader.java,private int peekNumber() throws IOException {,641,742,649,9,2,0,0,0,True
Gson,13,Gson-13-buggy,function_1,com.google.gson.stream.JsonReader,com/google/gson/stream/JsonReader.java,private int peekNumber() throws IOException {,641,742,650,10,2,0,0,0,True
Gson,13,Gson-13-buggy,function_1,com.google.gson.stream.JsonReader,com/google/gson/stream/JsonReader.java,private int peekNumber() throws IOException {,641,742,651,11,,,,,
Gson,13,Gson-13-buggy,function_1,com.google.gson.stream.JsonReader,com/google/gson/stream/JsonReader.java,private int peekNumber() throws IOException {,641,742,652,12,2,0,0,0,True
