project,bug_id,folder,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Time,1,Time-1-buggy,function_2,org.joda.time.field.UnsupportedDurationField,org/joda/time/field/UnsupportedDurationField.java,public int compareTo(DurationField durationField) {,226,245,226,1,,,,,
Time,1,Time-1-buggy,function_2,org.joda.time.field.UnsupportedDurationField,org/joda/time/field/UnsupportedDurationField.java,public int compareTo(DurationField durationField) {,226,245,227,2,2,0,1,1,True
Time,1,Time-1-buggy,function_2,org.joda.time.field.UnsupportedDurationField,org/joda/time/field/UnsupportedDurationField.java,public int compareTo(DurationField durationField) {,226,245,228,3,0,2,0,0,False
Time,1,Time-1-buggy,function_2,org.joda.time.field.UnsupportedDurationField,org/joda/time/field/UnsupportedDurationField.java,public int compareTo(DurationField durationField) {,226,245,229,4,,,,,
Time,1,Time-1-buggy,function_2,org.joda.time.field.UnsupportedDurationField,org/joda/time/field/UnsupportedDurationField.java,public int compareTo(DurationField durationField) {,226,245,230,5,3,0,1,1,True
Time,1,Time-1-buggy,function_2,org.joda.time.field.UnsupportedDurationField,org/joda/time/field/UnsupportedDurationField.java,public int compareTo(DurationField durationField) {,226,245,231,6,6,1,1,1,True
Time,1,Time-1-buggy,function_2,org.joda.time.field.UnsupportedDurationField,org/joda/time/field/UnsupportedDurationField.java,public int compareTo(DurationField durationField) {,226,245,232,7,,,,,
Time,1,Time-1-buggy,function_2,org.joda.time.field.UnsupportedDurationField,org/joda/time/field/UnsupportedDurationField.java,public int compareTo(DurationField durationField) {,226,245,233,8,0,3,0,2,False
Time,1,Time-1-buggy,function_2,org.joda.time.field.UnsupportedDurationField,org/joda/time/field/UnsupportedDurationField.java,public int compareTo(DurationField durationField) {,226,245,234,9,0,2,0,0,False
Time,1,Time-1-buggy,function_2,org.joda.time.field.UnsupportedDurationField,org/joda/time/field/UnsupportedDurationField.java,public int compareTo(DurationField durationField) {,226,245,235,10,,,,,
Time,1,Time-1-buggy,function_2,org.joda.time.field.UnsupportedDurationField,org/joda/time/field/UnsupportedDurationField.java,public int compareTo(DurationField durationField) {,226,245,236,11,0,3,0,0,False
Time,1,Time-1-buggy,function_2,org.joda.time.field.UnsupportedDurationField,org/joda/time/field/UnsupportedDurationField.java,public int compareTo(DurationField durationField) {,226,245,237,12,0,3,0,0,False
Time,1,Time-1-buggy,function_2,org.joda.time.field.UnsupportedDurationField,org/joda/time/field/UnsupportedDurationField.java,public int compareTo(DurationField durationField) {,226,245,238,13,0,4,0,2,False
Time,1,Time-1-buggy,function_2,org.joda.time.field.UnsupportedDurationField,org/joda/time/field/UnsupportedDurationField.java,public int compareTo(DurationField durationField) {,226,245,239,14,0,2,0,0,False
Time,1,Time-1-buggy,function_2,org.joda.time.field.UnsupportedDurationField,org/joda/time/field/UnsupportedDurationField.java,public int compareTo(DurationField durationField) {,226,245,240,15,,,,,
Time,1,Time-1-buggy,function_2,org.joda.time.field.UnsupportedDurationField,org/joda/time/field/UnsupportedDurationField.java,public int compareTo(DurationField durationField) {,226,245,241,16,0,4,0,2,False
Time,1,Time-1-buggy,function_2,org.joda.time.field.UnsupportedDurationField,org/joda/time/field/UnsupportedDurationField.java,public int compareTo(DurationField durationField) {,226,245,242,17,0,2,0,0,False
Time,1,Time-1-buggy,function_2,org.joda.time.field.UnsupportedDurationField,org/joda/time/field/UnsupportedDurationField.java,public int compareTo(DurationField durationField) {,226,245,243,18,,,,,
