project,bug_id,folder,add_test_file,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Compress,1,Compress-1-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,344,1,,,,,
Compress,1,Compress-1-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,345,2,3,0,1,1,True
Compress,1,Compress-1-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,346,3,,,,,
Compress,1,Compress-1-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,347,4,2,0,0,0,True
Compress,1,Compress-1-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,348,5,,,,,
Compress,1,Compress-1-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,349,6,3,0,0,0,True
Compress,1,Compress-1-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,350,7,,,,,
Compress,1,Compress-1-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,351,8,,,,,
Compress,1,Compress-1-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java,public void close() throws IOException {,344,352,352,9,1,0,0,0,True
Compress,11,Compress-11-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.ArchiveStreamFactory,org/apache/commons/compress/archivers/ArchiveStreamFactory.java,public ArchiveInputStream createArchiveInputStream(final InputStream in),197,256,197,1,,,,,
Compress,11,Compress-11-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.ArchiveStreamFactory,org/apache/commons/compress/archivers/ArchiveStreamFactory.java,public ArchiveInputStream createArchiveInputStream(final InputStream in),197,256,198,2,,,,,
Compress,11,Compress-11-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.ArchiveStreamFactory,org/apache/commons/compress/archivers/ArchiveStreamFactory.java,public ArchiveInputStream createArchiveInputStream(final InputStream in),197,256,199,3,2,0,1,1,True
Compress,11,Compress-11-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.ArchiveStreamFactory,org/apache/commons/compress/archivers/ArchiveStreamFactory.java,public ArchiveInputStream createArchiveInputStream(final InputStream in),197,256,200,4,0,5,0,0,False
Compress,11,Compress-11-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.ArchiveStreamFactory,org/apache/commons/compress/archivers/ArchiveStreamFactory.java,public ArchiveInputStream createArchiveInputStream(final InputStream in),197,256,201,5,,,,,
Compress,11,Compress-11-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.ArchiveStreamFactory,org/apache/commons/compress/archivers/ArchiveStreamFactory.java,public ArchiveInputStream createArchiveInputStream(final InputStream in),197,256,202,6,,,,,
Compress,11,Compress-11-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.ArchiveStreamFactory,org/apache/commons/compress/archivers/ArchiveStreamFactory.java,public ArchiveInputStream createArchiveInputStream(final InputStream in),197,256,203,7,3,0,1,1,True
Compress,11,Compress-11-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.ArchiveStreamFactory,org/apache/commons/compress/archivers/ArchiveStreamFactory.java,public ArchiveInputStream createArchiveInputStream(final InputStream in),197,256,204,8,0,5,0,0,False
Compress,11,Compress-11-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.ArchiveStreamFactory,org/apache/commons/compress/archivers/ArchiveStreamFactory.java,public ArchiveInputStream createArchiveInputStream(final InputStream in),197,256,205,9,,,,,
Compress,11,Compress-11-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.ArchiveStreamFactory,org/apache/commons/compress/archivers/ArchiveStreamFactory.java,public ArchiveInputStream createArchiveInputStream(final InputStream in),197,256,206,10,,,,,
Compress,11,Compress-11-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.ArchiveStreamFactory,org/apache/commons/compress/archivers/ArchiveStreamFactory.java,public ArchiveInputStream createArchiveInputStream(final InputStream in),197,256,207,11,3,0,0,0,True
Compress,11,Compress-11-buggy_ind1,add_test.java,function_1,org.apache.commons.compress.archivers.ArchiveStreamFactory,org/apache/commons/compress/archivers/ArchiveStreamFactory.java,public ArchiveInputStream createArchiveInputStream(final InputStream in),197,256,208,12,4,0,0,0,True
