project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,,difference between generated patch and developers' fix,fix the bug,new functionality,Is the testcase really trigger the bug,Is the testcase testing the new functionality
Cli,9,Cli-9-buggy_ind2,add_test1.java,org.apache.commons.cli.ParseRequiredTest,testMissingThreeRequiredOptions,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Cli,12,Cli-12-buggy_ind3,add_test2.java,org.apache.commons.cli.GnuParserTest,testPropertiesOptionWithEqual,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Cli,15,Cli-15-buggy_ind1,add_test.java,org.apache.commons.cli2.bug.BugCLI158Test,testMultipleOptionsWithDefaults,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Cli,15,Cli-15-buggy_ind2,add_test1.java,org.apache.commons.cli2.bug.BugCLI158Test,testNoArgumentsAllDefaults,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Cli,18,Cli-18-buggy_ind2,add_test1.java,org.apache.commons.cli.PosixParserTest,testStopAtNonOptionWithKnownOption,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Cli,25,Cli-25-buggy_ind1,add_test.java,org.apache.commons.cli.bug.BugCLI162Test,testLongLineChunkingWithZeroIndent,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Cli,26,Cli-26-buggy_ind2,add_test1.java,org.apache.commons.cli.OptionBuilderTest,testBuilderIsResettedOnNullPointerException,Pass,Not Pass,Not Pass,Not Pass,,,,,,
Closure,6,Closure-6-buggy_ind1,add_test.java,com.google.javascript.jscomp.TypeCheckTest,testEnumToEnumAssignment,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,15,Closure-15-buggy_ind1,add_test.java,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest,testDeleteWithMultipleReferences,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
Closure,18,Closure-18-buggy_ind1,add_test.java,com.google.javascript.jscomp.IntegrationTest,testDependencySortingWithMultipleRequires,Pass,Not Pass,Not Pass,Not Compilable,,,,,,
