project,bug_id,add_test_file,class_fqcn,method_name,result
Lang,1,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testHexNegativeAndHash,Pass
Lang,3,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberInvalidBothExponentMarkers,Pass
Lang,3,add_test1.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberInvalidBothExponentMarkersWithSuffix,Pass
Lang,4,add_test.java,org.apache.commons.lang3.text.translate.LookupTranslatorTest,testLookupTranslatorGreedy,Pass
Lang,4,add_test1.java,org.apache.commons.lang3.text.translate.LookupTranslatorTest,testLookupTranslatorMaxReduction,Pass
Lang,5,add_test.java,org.apache.commons.lang3.LocaleUtilsTest,testUnderscoreWithNumericVariant,Pass
Lang,6,add_test.java,org.apache.commons.lang3.StringUtilsTest,testTranslateSurrogatePairConsumed,Not Compilable
Lang,6,add_test1.java,org.apache.commons.lang3.StringUtilsTest,testTranslateSurrogatePairFollowedByChar,Not Compilable
Lang,7,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberAdditional,Pass
Lang,8,add_test.java,org.apache.commons.lang3.time.FastDatePrinterTest,testNonDSTTimezone,Pass
Lang,8,add_test1.java,org.apache.commons.lang3.time.FastDatePrinterTest,testDSTTimezoneInDST,Pass
Lang,9,add_test.java,org.apache.commons.lang3.time.FastDateParserTest,testUnterminatedQuoteAdditional,Pass
Lang,10,add_test.java,org.apache.commons.lang3.time.FastDateParserTest,testLANG_831_quotes,Pass
Lang,11,add_test.java,org.apache.commons.lang3.RandomStringUtilsTest,testLANG807_CharsArrayValidation,Pass
Lang,12,add_test.java,org.apache.commons.lang3.RandomStringUtilsTest,testStartGreaterThanEnd,Pass
Lang,12,add_test1.java,org.apache.commons.lang3.RandomStringUtilsTest,testCharsArrayWithStartEndZero,Pass
Lang,13,add_test.java,org.apache.commons.lang3.SerializationUtilsTest,testCustomObjectWithPrimitiveClassField,Pass
Lang,14,add_test.java,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest,testEqualsAdditional,Pass
Lang,15,add_test.java,org.apache.commons.lang3.reflect.TypeUtilsTest,dummyMethodForTest,Pass
Lang,16,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberAdditional,Not Compilable
Lang,17,add_test.java,org.apache.commons.lang3.StringEscapeUtilsTest,testLang721,Pass
Lang,19,add_test.java,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest,testDecimalUnfinishedEntity,Pass
Lang,19,add_test1.java,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest,testLargeHexUnfinishedEntity,Pass
Lang,20,add_test.java,org.apache.commons.lang3.StringUtilsTest,testJoin_ArrayChar_NullToString,Pass
Lang,20,add_test1.java,org.apache.commons.lang3.StringUtilsTest,testJoin_Objectarray_NullToString,Pass
Lang,21,add_test.java,org.apache.commons.lang3.time.DateUtilsTest,testIsSameLocalTime_HourBug,Pass
Lang,21,add_test1.java,org.apache.commons.lang3.time.DateUtilsTest,testIsSameLocalTime_DifferentClass,Pass
Lang,22,add_test.java,org.apache.commons.lang3.math.FractionTest,testReducedFactoryGcdOverflow,Pass
Lang,22,add_test1.java,org.apache.commons.lang3.math.FractionTest,testReducedFactoryGcdEvenMin,Pass
Lang,23,add_test.java,Lang.23.input,testSetFormatsByArgumentIndex,Pass
Lang,24,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testIsNumberDecimalLInvalid,Pass
Lang,26,add_test.java,org.apache.commons.lang3.time.FastDateFormatTest,testWeekNumbersVariousLocales,Pass
Lang,27,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumberWithBothExponentChars,Pass
Lang,28,add_test.java,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest,testSupplementaryHexUnescaping,Pass
Lang,28,add_test1.java,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest,testIncompleteEntityMissingSemicolon,Pass
Lang,28,add_test2.java,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest,testIncompleteEntityOnlyAmpersandHash,Pass
Lang,28,add_test3.java,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest,testIncompleteEntityWithHexPrefix,Pass
Lang,28,add_test4.java,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest,testInvalidCodePoint,Pass
Lang,29,add_test.java,org.apache.commons.lang3.SystemUtilsTest,testJavaVersionAsIntMoreParts,Pass
Lang,29,add_test1.java,org.apache.commons.lang3.SystemUtilsTest,testJavaVersionAsIntNonDigitsInterspersed,Pass
Lang,29,add_test2.java,org.apache.commons.lang3.SystemUtilsTest,testJavaVersionAsIntNoDigits,Pass
Lang,30,add_test.java,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest,testContainsAny_LoneHighSurrogateVsPairWithSameHigh,Pass
Lang,30,add_test1.java,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest,testIndexOfAny_LoneHighSurrogateVsPairWithSameHigh,Pass
Lang,30,add_test2.java,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest,testContainsNone_LoneHighSurrogateVsPairWithSameHigh,Pass
Lang,30,add_test3.java,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest,testIndexOfAnyBut_PairVsLoneHighSurrogate,Pass
Lang,31,add_test.java,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest,testContainsAnyCharArraySupplementaryEdgeCases,Pass
Lang,31,add_test1.java,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest,testContainsAnyStringSupplementaryEdgeCases,Pass
Lang,32,add_test.java,org.apache.commons.lang3.builder.HashCodeBuilderTest,testIsRegisteredWhenRegistryNull,Pass
Lang,32,add_test1.java,org.apache.commons.lang3.builder.HashCodeBuilderTest,testUnregisterWhenRegistryNull,Pass
Lang,32,add_test2.java,org.apache.commons.lang3.builder.HashCodeBuilderTest,testRegistryClearedAfterSingleObject,Pass
Lang,33,add_test.java,org.apache.commons.lang3.ClassUtilsTest,testToClass_objectNullElements,Pass
Lang,34,add_test.java,org.apache.commons.lang3.builder.ToStringBuilderTest,testGetRegistryInitialization,Not Compilable
