project,bug_id,add_test_file,class_fqcn,method_name,result
Compress,1,add_test.java,org.apache.commons.compress.archivers.CpioTestCase,testCloseWithExceptionOnOutputStream,Not Compilable
Compress,1,add_test1.java,org.apache.commons.compress.archivers.CpioTestCase,testCloseWithExceptionOnInputStream,Not Compilable
Compress,2,add_test.java,org.apache.commons.compress.archivers.ArTestCase,testArWithZeroByte,Not Compilable
Compress,2,add_test1.java,org.apache.commons.compress.archivers.ArTestCase,testArOddLength,Not Compilable
Compress,3,add_test.java,org.apache.commons.compress.archivers.ArchiveOutputStreamTest,testFinishWithDirectoryEntry_Tar,Not Compilable
Compress,3,add_test1.java,org.apache.commons.compress.archivers.ArchiveOutputStreamTest,testFinishWithFileWithData_Tar,Not Compilable
Compress,3,add_test2.java,org.apache.commons.compress.archivers.ArchiveOutputStreamTest,testFinishWithLongNameGnu_Tar,Not Compilable
Compress,3,add_test3.java,org.apache.commons.compress.archivers.ArchiveOutputStreamTest,testFinishWithLongNameTruncate_Tar,Not Compilable
Compress,4,add_test.java,org.apache.commons.compress.archivers.jar.JarArchiveOutputStreamTest,testDoubleClose,Not Compilable
Compress,4,add_test1.java,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest,testZipFileDoubleClose,Not Compilable
Compress,5,add_test.java,org.apache.commons.compress.archivers.zip.Maven221MultiVolumeTest,testTruncatedStoredEntry,Not Compilable
Compress,6,add_test.java,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testEqualsDifferentSize,Not Pass
Compress,6,add_test1.java,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testHashCodeConsistentWithEquals,Pass
Compress,7,add_test.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseNameUnsignedByte,Not Pass
Compress,8,add_test.java,org.apache.commons.compress.archivers.tar.TarUtilsTest,testParseOctalAdditional,Not Pass
Compress,9,add_test.java,org.apache.commons.compress.archivers.tar.TarArchiveOutputStreamTest,testWriteSingleByte,Not Compilable
Compress,9,add_test1.java,org.apache.commons.compress.archivers.tar.TarArchiveOutputStreamTest,testWriteExactRecord,Not Compilable
